agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
HHS,1CDP (SEDRIC) AIP for Advanced Foodborne Outbreak Investigation (AI Summarization and Receipt Reading),HHS/CDC,deployed,Natural Language Processing,1,1,0,nlp_specific,Palantir AIP,1 CDC Data Platform (1CDP),Palantir Technologies,c) Developed with both contracting and in-house resources,Yes,"This AI solution impacts the process of investigating foodborne disease outbreaks. These foodborne outbreaks require cooperative efforts from CDC staff, FDA, USDA, and local agencies and the AI system is used through a centralized data platform System for Enteric Disease Response, Investigation, and Coordination (also known as SEDRIC). For more information on SEDRIC, please go to our website: https://www.cdc.gov/foodborne-outbreaks/php/foodsafety/tools/index.html","SEDRIC's AIP use case provides CDC epidemiologists the ability to accelerate their investigations of multi-state foodborne disease outbreaks by more effectively leveraging data available in a rich data source, such as receipts from grocery stores, that otherwise requires extensive time and human effort to parse through. In addition, this workflow would free up epidemiologists' time and, potentially, increase the frequency with which both CDC and STLT partners could utilize shopper card, receipts, and free text responses to support investigations. There are two main expected benefits from this use case. The first addresses manually entering receipt information, shopper card information, or other such free text field is traditionally error prone and time intensive for a variety of information. This AI system provides a human-in-the-loop opportunity to review and update data entry points while reducing time spent by staff to gain these insights. Having a set structured output as well increased standardization of this information and eases reporting in situations requiring cooperation from multiple organizations. The second benefit revolves around using the summarization capability, the extensive process of mapping common names of different food items is done automatically, greatly reducing the human labor time to generate dashboards of information regarding current foodborne investigations to serve as a decision point to aid in outbreak response.","The Artificial Intelligence Platform (AIP) available within SEDRIC provides CDC epidemiologists the power to accelerate their investigations of multi-state foodborne disease outbreaks. It can extract structured data from grocery receipts, shopper card records, and free-text responses in order to catalog the food items purchased by affected patients. It can also map those items to SEDRIC-defined vehicles which categorize the items and highlight commonalities across patients, helping to pinpoint potential outbreak vehicles. AIP can summarize these results to provide insights from information pulled from shopper receipts. Given ingredients can be found in multiple food products, and some ingredients such as herbs like coriander/cilantro may go by multiple names or be reported in multiple languages, this summarization tool provides a faster way to gather summary information from receipts on different food items which may be part of a foodborne investigation."
HHS,ABE (AI-driven. Beneficial. Efficient.),HHS/OASH/OIDP,pilot,Generative AI,1,1,0,general_llm,Custom In-House AI,,"ICF, DataSurge",c) Developed with both contracting and in-house resources,Yes,"By centralizing federal HIV program information in a custom Knowledge Base, ABE addresses the challenges of fragmented data and inefficient workflows, supporting operational efficiencies through a reduction in labor force and contracts, and providing the ability to quickly access, summarize, analyze, and create resources.","ABE is expected to deliver key benefits by streamlining operations, reducing costs, and improving data-driven decision-making related to HIV/AIDS programs. ABE will serve as a mechanism to expose other federal partners to the usage of AI within a protected knowledge base, increasing work output efficiencies and fostering federal partnerships through expanded Knowledge Base assets and usage.","generative AI content, images, summarizations, and analysis based on federally approved assets. Knowledge Base is in compliance with Gender Ideology and Preventing Woke AI Executive Orders"
HHS,AHRQ Search,HHS/AHRQ/CQuIPS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,ahrq.gov,RIVA Solutions,c) Developed with both contracting and in-house resources,Yes,"Organization wide search that includes Relevancy Tailoring, Auto-generation Synonyms, Automated Suggestions,  Suggested Related Content, Auto Tagging, and ""Did you mean?"" to allow visitors to find specific content.

This AI use case enhances our agency's efficiency and user experience by optimizing search results, auto-completing queries, suggesting relevant searches and content tags, as well as proposing spelling corrections.","This AI use case aims to optimize search results by adjusting their ranking, ensuring that the most pertinent information is displayed at the top. It also enhances search effectiveness by adding synonyms to queries behind the scenes. It further improves user experience by auto-completing queries as they are being typed, and showing related searches that might offer additional valuable insights. The system also proposes content tags automatically, leveraging machine learning to assess existing content tagging patterns. Additionally, it suggests spelling corrections and reformats search queries based on data from Google Analytics.","This AI use case aims to optimize search results by adjusting their ranking, ensuring that the most pertinent information is displayed at the top. It also enhances search effectiveness by adding synonyms to queries behind the scenes. It further improves user experience by auto-completing queries as they are being typed, and showing related searches that might offer additional valuable insights. The system also proposes content tags automatically, leveraging machine learning to assess existing content tagging patterns. Additionally, it suggests spelling corrections and reformats search queries based on data from Google Analytics."
HHS,AI Agent Orchestrator POC,HHS/CMS/OIT,pilot,Natural Language Processing,0,1,0,agentic,,CEDAR,Noblis,c) Developed with both contracting and in-house resources,Yes,"The AI Agent Orchestrator solves the problem that current chatbots are limited to question-and-answer interactions and cannot orchestrate complex, multi-step analytical workflows that require calling external data science notebooks and tools in the correct sequence to solve sophisticated problems.","The AI Agent Orchestrator will transform CMS's analytical capabilities by enabling any staff member to execute sophisticated, multi-step data science workflows through natural language interactions, eliminating the current barrier of requiring specialized technical expertise to access complex analytical tools and notebooks.",The output is a natural language interface that enables users to easily interact with complex data science tooling and analytical workflows without requiring specialized knowledge of the underlying systems
HHS,AI Audit Resolution Assistant (AIARA),HHS/HRSA,pilot,Agentic AI,1,0,0,general_llm,,IRMS - UiPath Automation Cloud Public Sector,Mindpetal,c) Developed with both contracting and in-house resources,Yes,"The DFI PRF AIARA project leverages AI to streamline the single audit process.  The team utilizes the Robotic Process Automation (RPA) to extract data from the Federal Audit Clearinghouse to create templates for both the audit notification and management decision letters, and to generate a comprehensive report of the auditee and its findings.","Since its launch, the AIARA has successfully processed and resolved 73 audits. Automation has resulted in an estimated total of 276 hours of work saved. The AIARA has significantly enhanced both efficiency and consistency in the audit resolution process.","HRSA utilizes generative AI to streamline the Single Audit resolution process and the creation of Management Decision Letters to formally close out and resolve Single audit findings.  The AI Audit Resolution Assistant (AIARA) includes a vector database comprised of Single audit documents assigned to HRSA, creates a retrieval augmented generation which integrates with a large language model to intelligently summarize audit findings and recommendations, and provides chatbot capability and reduce the cognitive load on HRSA auditors for any audit-specific questions."
HHS,AI Code Assistance  WETG GitHub CoPilot Proof-of-Concept,HHS/CMS/OC,pilot,Generative AI,1,1,1,coding_assistant,GitHub Copilot,,,a) Purchased from a vendor,No,Coding assistance,"Cost savings, improved efficiency and quality",Suggestions
HHS,AI Editing Tool,HHS/FDA/CDER,pilot,Generative AI,0,0,0,general_llm,,,,b) Developed in-house,No,This AI model is designed to detect style and formatting inconsistencies in FDA draft documents by comparing them against the FDA CDER Style Guide standards. It solves the problem of manual quality control inefficiencies and ensures consistent adherence to established documentation standards across all FDA CDER publications.,"It significantly reduces the workload for FDA editors by identifying style and formatting issues; however, human review remains essential, especially for important documents, ensuring both efficiency and quality in FDA communications.",AI-identified style and formatting issues
HHS,AI Harvest Service,HHS/OCIO,pilot,Generative AI,1,0,0,general_llm,,HealthData.gov,Tyler Technologies,a) Purchased from a vendor,No,"The Harvest Service addresses inconsistent or incomplete metadata across distributed HHS open data sources by normalizing descriptions, creating concise summaries, and tagging data assets for improved searchability","Enhanced discoverability of HHS  data from distributed agency-owned systems; improved user accessibility of health- and human-related data; faster identification of relevant data assets for researchers, policymakers, and the public; and increased value of open data investments.",AI-generated concise data asset descriptions and standardized metadata tags integrated into HHS Data Hub asset records; improved open data records surfaced on HealthData.gov for public consumption.
HHS,AI Language Translation Support in Smartling,HHS/CMS/OC,deployed,Generative AI,1,0,0,general_llm,,,,a) Purchased from a vendor,No,Improved translation,"Cost savings, improved efficiency and quality",Suggestion
HHS,AI Workspace,HHS/CMS/OIT,deployed,Natural Language Processing,1,1,1,general_llm,Microsoft Teams,CEDAR,Skyward Solutions,c) Developed with both contracting and in-house resources,Yes,"Hosted development env with access to AI tooling, including LLMs for use in early stage exploration.","AI Workspace provides a hosted development environment with access to AI tooling including LLMs, enabling CMS teams to conduct early-stage AI exploration and experimentation that can lead to innovative solutions","AI Workspace provides a hosted development environment that enables end users to create code, with the organizational impact being rapid exploration of AI ideas to validate technical feasibility, viability, and desirability of potential solutions."
