2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
GitHub Copilot for Code Modernization,Department of Commerce,DOC,BEA - Bureau of Economic Analysis,Mission-Enabling,,,Accelerate and improve the quality of code modernization projects at BEA,"First-draft of code converted from legacy languages into modern, supported, target language. Code is then reviewed and edited by humans prior to use in an application.",Operation and Maintenance,Neither,10/1/2023,1/1/2024,12/1/2024,,Developed with contracting resources.,1331L524F13210282,No,,,No,"GitHub Copilot is used to create a first-draft of code converted from a legacy langauge into a supported, modern, target language.  Code is then reviewed and tested by a human analyst before being incorporated into an application.  Application and outputs are then verified during the SDLC for the product, validating the quality of the code and data outputs prior to approval for use to generate statistics.",No,Yes,Yes,,N/A--We are doing no model training.,"Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",Other,Does not use any demographic variables.,No,No – agency does not have access to source code.,,Yes,BEA-ITS,Less than 6 months,Yes,,Other,N/A--COTS tool used for code conversion.,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,Yes,"Performance evaluation in operational environment: The AI use case has been tested in an operational environment before being fully implemented as a solution, or has been tested in simulated or controlled environment using operational or synthetic data.",If the code produced by this tool is not sufficiently reviewed and tested then the data outputs calculated by the final product may not be accurate and the quality of inputs to BEA's PFEI statistics may be compromised.  Key risk identified through completion of a Risk Analysis performed by the ITSO and CIO team.,Planned or in-progress,"Automated and Regularly Scheduled Updates: Some aspects of the plan to monitor the AI system post-deployment are automated including re-training of models after detecting drift; however, data science teams are still significantly involved in the monitoring and re-deployment process.","Other – Immediate human intervention is not practicable; however, an appropriate fail-safe has been implemented. ",All code generated by GitHub Copilot is reviewed and tested by the analyst prior to incorporation into an application.,N/A - individuals are not interacting with the AI for this use case,,No,"N/A; COTS tool used for code conversion, no individual's information is input into a model.","N/A; COTS tool used for code conversion, no individual's information is input into a model.",,"N/A; COTS tool used for code conversion, no individual's information is input into a model.",,"N/A; COTS tool used for code conversion, no individual's information is input into a model.",
Azure OpenAI Chat Prototype,Department of Commerce,DOC,BEA - Bureau of Economic Analysis,Mission-Enabling,,,"Provide staff with the ability to chat with an LLM model, comparable to ChatGPT, that is contained within BEA's network boundary.",Text and data anlysis,Initiated,Neither,10/12023,,,,Developed with contracting resources.,1331L524F13210282,No,,,No,Outputs from the tool will be reviewed by a human for accuracy and reliability prior to incorporating text into a final document,No,No,Yes,,N/A--We are doing no model training.,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",Other,Does not use any demographic variables.,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,No,No testing: No testing of the model to simulate performance in an operational environment has been conducted thus far.,If the outputs from the chat tool are not accurate and are not reviewed sufficiently by the human writing the prompt then the quality of the end document will be compromised.  ,Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,,N/A - individuals are not interacting with the AI for this use case,,No,N/A; still in initiation phase,None of the above,,No – it is not operationally practical to offer this.,Individuals do not interact with and are not impacted by this use case.,Other,Individuals do not interact with and are not impacted by this use case.
Sentinel One Purple AI,Department of Commerce,DOC,BEA - Bureau of Economic Analysis,Mission-Enabling,,,Faster and more throughout incident response within the BEA cybersecurity program,Log analysis,Initiated,Neither,7/1/2024,,,,Developed with contracting resources.,,No,,,No,"Outputs from the tool will be reviewed by a human for accuracy and reliability; actions based on data provided by the AI will be manual, not automated.",No,No,Yes,,N/A--We are doing no model training.,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",Other,Does not use any demographic variables.,No,No – agency does not have access to source code.,,No,,More than 12 months,Yes,,Other,N/A--COTS tool used for code conversion.,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,No,No testing: No testing of the model to simulate performance in an operational environment has been conducted thus far.,If the outputs of the AI analysis of BEA logs is not accurate then the timeliness and accuracy of BEA's incident response program will suffer,Planned or in-progress,No monitoring protocols have been established: Necessary infrastructure needed to perform monitoring of AI systems in production is not available and/or a plan to monitor models has not yet been established.,No - Some individual decisions or actions require direct human oversight.,,N/A - individuals are not interacting with the AI for this use case,,No,N/A; still in initiation phase,None of the above,,No – it is not operationally practical to offer this.,Individuals do not interact with and are not impacted by this use case.,Other,Individuals do not interact with and are not impacted by this use case.
Real Time Classification for the Economic Census,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Other,Classification,None of the above.,"Two ML models (BEACON and SINCT) are applied in this Economic Census use case to perform real-time classification of Primary Business Activity (PBA), or NAICS, and Products, or NAPCS. For instance, in the 2017 Economic Census, if respondents could not identify their NAICS or NAPCS codes, they were able to provide a short, open-ended description of their business and the products and services they offer, referred to as “write-ins”. There were nearly 400,000 NAICS write-ins and 1,000,000 NAPCS write-ins, out of 3 million and 18 million total reported NAICS and NAPCS codes, respectively. While the number of write-ins is a small share of the total number of reported NAICS and NAPCS codes, these write-ins were previously assigned to a valid code by analysts using manual processes. BEACON and SINCT were developed to improve classification accuracy and reduce processing time and costs by providing real-time feedback to respondents given the business description they provide. In the 2022 Economic Census, as a result of BEACON and SINCT, NAICS and NAPCS write-ins were reduced by 58% and 78% to 168,000 and 220,000 write-ins, respectively.","For PBA code reporting, the respondent has an initial set of NAICS codes to choose from.  If the respondent selects ""Other"" with a write-in, an API call to BEACON returns predictive results from the model with a ranked list of predicted NAICS options from which to select.  For Products, if the respondent selects to ""Add products"", an API call to SINCT provides predictive results of products to add. In both cases, the ML model recommends codes based on scoring attributes, and the respondent is able to choose a relevant NAICS or NAPCS code from those results.",Retired,Neither,,,1/1/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automated Change Detection,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Mission-Enabling (internal agency support),,None of the above.,"As part of the Census Bureau's efforts to maintain and update the Geographic Frame ahead of the 2030 Decennial Census, the Geography Division is using AI to identify changes in the built environment throughout the nation twice a year. With the areas of change we are extracting our own geographic features (roads, building footprints) to support improving coverage across the nation.",We use Google Earth Engine to analyze change in construction using Sentinel-2 imagery and recommend where to use high resolution imagery. The object detection provides roads and building footprints to improve our feature coverage.,Implementation and Assessment,Neither,1/4/2021,5/24/2023,8/1/2023,,Developed with both contracting and in-house resources.,47QTCA19D00MP,Yes,United States Census Bureau,Obtaining Census Bureau statistics online,No,N/A,No,No,Yes,,"The high resolution imagery for training our building footprints and road predictions is from Maxar, USG Plus through National Geospatial-Intelligence Agency Global Enhanced GEOINT Delivery system. We are evaluating extracted features produced from the high resolution imagery and fine-tuning the output with staff to correct any inconsistencies.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Google Cloud Platform and Enterprise Data Lake,6-12 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
School staff information extraction from web page text,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Education & Workforce,,None of the above.,This AI use case examines publicly available information on the web related to staff rosters at public and private schools. The goal is to improve quality and coverage of Teacher and Principal frame.,The AI in this use case predicts whether a link on a webpage leads to a staff directory and extracts person names and teacher titles from webpage text.,Implementation and Assessment,Neither,1/15/2021,1/15/2021,5/10/2023,,Developed with both contracting and in-house resources.,Brite Group,No,,,No,N/A,Yes,No,Yes,,School employment lists and web scraped data.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
Census Bureau Demographic Frame Person-Place Model,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Mission-Enabling (internal agency support),,None of the above.,"The Demographic Frame’s Person-Place Model (PPM) uses machine learning to assign individuals to their most accurate residential locations. This model addresses a critical need for accurate “person-place” associations, enabling the Census Bureau to support a range of essential use cases—from demographic analyses to population estimates. By leveraging machine learning, the PPM generates predicted probabilities for each person-address record, refining location accuracy while accommodating diverse data sources. This innovation strengthens the Census Bureau’s mission to deliver reliable, high-quality data, benefiting both governmental operations and the general public by enhancing data precision, policy-making, and service delivery.","The Person-Place Model (PPM) in the Demographic Frame outputs predicted probabilities indicating the likelihood that a person resides at a specific address. These predictions are generated by a machine learning model that analyzes historical and current data to produce a probability score for each person-address record. These scores do not constitute a final decision or assignment; instead, they provide a flexible basis for determining residential locations based on the desired level of confidence or specific application needs. This output can be used as input to downstream processes, providing robust, data-driven estimates to support various Census Bureau use cases and enhance the accuracy of demographic analyses.",Acquisition and/or Development,Neither,10/28/2021,10/28/2021,,,Developed with both contracting and in-house resources.,1331L523D13OS0003,No,,,,,,,Yes,,American Community Survey data,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.","Age
Race/Ethnicity
Sex/Gender",,,,,No,,Less than 6 months,Yes,,Yes,,Yes,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
Race and Ethnicity Autocoding,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Mission-Enabling (internal agency support),,None of the above.,This AI use case aims to develop an automated methodology for coding race and ethnicity write-in entries. The goal is to improve quality and efficiency in the coding of race and ethnicity write-in entries.,The AI produces a predicted set of standardized race and ethnicity concept codes that align with the write-in response.,Acquisition and/or Development,Neither,12/1/2021,2/15/2022,,,Developed in-house.,,No,,,,,,,Yes,,Response and clerical data.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",Race/Ethnicity,,,,,No,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
Information extraction for web scraped data for Group Quarters frame enhancement,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Mission-Enabling (internal agency support),,None of the above.,This AI use case examines publicly available information on the web related to a variety of Group Quarters (GQ) types. The goal is to improve quality and coverage of GQ frame.,"Prediction label that corresponds to one of the following : extracted capacity of the GQ, extracted address component of the GQ, and extracted concepts, such as dates and building names, identified from pretrained NER models.",Implementation and Assessment,Neither,12/1/2021,5/16/2022,8/16/2024,,Developed with both contracting and in-house resources.,Brite Group,No,,,No,N/A,No,No,Yes,,Address lists and web scraped data.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
Current Population Survey (CPS) Name Screening Tool,Department of Commerce,DOC,CENSUS - U.S. Census Bureau,Mission-Enabling (internal agency support),,None of the above.,This AI use case processes and classifies entries in survey data collect to identify if the name provided is a valid entry. The goal is to support and enhance processing and future data collection efforts to efficiently and accurately identify responses with invalid names.,Classifications for name entries.,Acquisition and/or Development,Neither,3/10/2023,3/29/2023,,,Developed with both contracting and in-house resources.,Brite Group,No,,,,,,,Yes,,Sample of survey response data from the Current Population Survey (CPS),"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,No,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
