slug,agency,ai_use_case,verdict,product_canonical_name,confidence,evidence_text,reasoning,new_vendor,new_product_type,new_is_generative_ai,new_parent_canonical_name
ncua-improving-the-quality-of-written-communications-using-ai-tools,NCUA,Improving the quality of written communications using AI tools.,no_product,,,,"commercial_product filed as 'Various' with no candidates; no specific product named.",,,,
ncua-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NCUA,Logging and analyzing time spent on tasks using AI-powered time management tools.,no_product,,,,"commercial_product filed as 'Various' with no candidates; no specific product named.",,,,
ncua-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,NCUA,Managing and prioritizing internal service or help desk tickets using AI.,no_product,,,,"commercial_product filed as 'Various' with no candidates; no specific product named.",,,,
ncua-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,NCUA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",no_product,,,,"commercial_product filed as 'Various' with no candidates; no specific product named.",,,,
ncua-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NCUA,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,no_product,,,,"commercial_product filed as 'Various' with no candidates; no specific product named.",,,,
ncua-searching-for-agency-information-using-a-knowledge-retrieval-system,NCUA,Searching for agency information using a knowledge retrieval system.,no_product,,,,"commercial_product filed as 'Various'; catalog candidates (Aretec SEARCH, EPA Agency Records Management System, ARC Travel Intelligence) are fuzzy alias matches on 'search'/'agency information' terms, not a product NCUA actually named.",,,,
ncua-summarizing-the-key-points-of-a-lengthy-report-using-ai,NCUA,Summarizing the key points of a lengthy report using AI.,no_product,,,,"commercial_product filed as 'Various' with no candidates; no specific product named.",,,,
ncua-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NCUA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",no_product,,,,"commercial_product filed as 'Various' with no candidates; no specific product named.",,,,
ncua-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NCUA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,no_product,,,,"commercial_product filed as 'Various'; facial-recognition unlock could be any of several OEM implementations (Apple Face ID, Windows Hello, Android biometric unlock) and no specific product is identified.",,,,
ncua-using-ai-assisted-tools-in-word-processors,NCUA,Using AI-assisted tools in word processors.,no_product,,,,"commercial_product filed as 'Various'; catalog candidates (NIAID OSPIDA Scientific Coding Assistance Tool, Everlaw AI Assistant) are unrelated fuzzy matches, not a product named for word-processing use.",,,,
nea-planning-travel-routes-using-ai-driven-map-applications,NEA,Planning travel routes using AI-driven map applications.,link,Google Maps,strong,Googel Maps,"commercial_product is a misspelling of 'Google Maps' ('Googel Maps'); matches catalog canonical name Google Maps (vendor Google, consumer_feature).",,,,
nigc-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NIGC,Curating news articles and updates based on user preferences using AI.,new_product,Law360,strong,Law360,"Named product is Law360, a legal news/research subscription service; the parenthetical '(Lexis Nexis)' identifies its owner (LexisNexis acquired Law360 in 2012). Not in catalog as a distinct product -- the existing 'LexisNexis' entry is the parent/vendor umbrella, not this specific product.",LexisNexis,legal_research,false,LexisNexis
nlrb-searching-for-agency-information-using-a-knowledge-retrieval-system,NLRB,Searching for agency information using a knowledge retrieval system.,link,Microsoft 365 Copilot,inferred,CoPilot,"'CoPilot' is filed without further qualifier; given the use case (searching agency information via a knowledge retrieval system), this is read as Microsoft 365 Copilot (SharePoint/M365 knowledge search integration) rather than GitHub Copilot or Copilot for Security.",,,,
nlrb-using-ai-assisted-tools-in-word-processors,NLRB,Using AI-assisted tools in word processors.,link,Microsoft 365 Copilot,inferred,CoPilot,"'CoPilot' is filed without further qualifier; the word-processor context points to Microsoft 365 Copilot's Word integration rather than GitHub Copilot (coding) or Copilot for Security.",,,,
ntsb-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NTSB,Logging and analyzing time spent on tasks using AI-powered time management tools.,link,Microsoft Viva,strong,Viva Insights,"'Viva Insights' is a module of Microsoft Viva; the catalog carries only the family name 'Microsoft Viva' (no separate 'Viva Insights' entry), so this links to the parent product.",,,,
ntsb-prioritizing-and-categorizing-incoming-emails-using-ai,NTSB,Prioritizing and categorizing incoming emails using AI.,no_product,,,,"commercial_product field is empty; candidate 'Upstream Tech HydroForecast' is an unrelated hydrology-forecasting tool surfaced by fuzzy matching, not a plausible email-triage product.",,,,
pbgc-planning-travel-routes-using-ai-driven-map-applications,PBGC,Planning travel routes using AI-driven map applications.,no_product,,,,"commercial_product filed as 'Native map applications on mobile devices' -- a generic descriptor covering both Apple Maps and Google Maps depending on device OS, not a single identifiable product.",,,,
sec-curating-news-articles-and-updates-based-on-user-preferences-using-ai,SEC,Curating news articles and updates based on user preferences using AI.,no_product,,,,"commercial_product field is empty and no candidates surfaced; no product named.",,,,
treasury-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,Treasury,Creating visual representations of data sets for reports or presentations using AI.,no_product,,,,"commercial_product filed as 'N/A'; no specific product named by Treasury for this use case.",,,,
treasury-curating-news-articles-and-updates-based-on-user-preferences-using-ai,Treasury,Curating news articles and updates based on user preferences using AI.,no_product,,,,"commercial_product filed as 'N/A'; no specific product named by Treasury for this use case.",,,,
treasury-editing-images-videos-or-other-public-affairs-materials-using-ai,Treasury,"Editing images, videos, or other public affairs materials using AI.",no_product,,,,"commercial_product filed as 'N/A'; no specific product named by Treasury for this use case.",,,,
treasury-generating-code-using-ai,Treasury,Generating code using AI.,no_product,,,,"commercial_product filed as 'N/A'; catalog candidates (USDA Recreation One Stop AI, Gemini, SRNS AI Drafting Assistant, Google Chrome Generative AI, OpenAI Codex CLI) are fuzzy matches on 'AI'/'code' terms since Treasury did not name a specific coding tool.",,,,
treasury-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,Treasury,"Generating first drafts of documents, briefing, or communication materials using AI.",no_product,,,,"commercial_product filed as 'N/A'; no specific product named by Treasury for this use case.",,,,
treasury-improving-the-quality-of-written-communications-using-ai-tools,Treasury,Improving the quality of written communications using AI tools.,no_product,,,,"commercial_product filed as 'N/A'; no specific product named by Treasury for this use case.",,,,
treasury-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,Treasury,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",no_product,,,,"commercial_product filed as 'N/A'; no specific product named by Treasury for this use case.",,,,
treasury-planning-travel-routes-using-ai-driven-map-applications,Treasury,Planning travel routes using AI-driven map applications.,no_product,,,,"commercial_product filed as 'N/A'; candidate 'NIH Travel Policy AI Chatbot' is an unrelated fuzzy match (a different agency's chatbot), not a product Treasury named.",,,,
