2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
Form Recognition model for Benefits Forms,Department of Labor,DOL,OWCP,Government Services (includes Benefits and Service Delivery),N/A,None of the above.,Custom machine learning model to extract data from complex forms to tag data entries to field headers. The input is a document or scanned image of the form and the output is a JSON response with key/value pairs extracted by running the form against the custom trained form recognition model.,The AI system output is a recommendation.,Operation and Maintenance,Neither,10/1/2022,10/1/2022,3/1/2023,,Developed with both contracting and in-house resources.,"1605DC19A0004
NNG15SD60B",No,,,No,N/A,Yes,Yes,No,N/A,"No specific dataset. The AI engine came ready off the shelf, and the final product has been tested ad hoc by agency users and their NLP free text data. ","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",N/A,N/A,No,No – agency does not have access to source code.,N/A,Yes,Azure,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
Language Translation,Department of Labor,DOL,Department Wide Initiative,Mission-Enabling (internal agency support),N/A,None of the above.,"To automatically translate unofficial documents into various languages quickly and easily, without the time and expense needed for human translation. ",Language translation of published documents and websites using natural language processing models.,Initiated,Neither,9/1/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Transcription,Department of Labor,DOL,OWCP||VETS||WHD,Mission-Enabling (internal agency support),N/A,None of the above.,Transcription of speech to text for records keeping using natural language processing models.,Text transcription,Operation and Maintenance,Neither,3/22/2023,3/22/2023,3/22/2023,,Developed with contracting resources., NNG15SD60B,No,N/A,N/A,No,N/A,No,No,Other,Agency datasets are not necessary for the development of this use case.,N/A,Documentation is complete,N/A,N/A,No,No – agency does not have access to source code.,N/A,Yes,Azure,Less than 6 months,Yes,N/A,N/A,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Text to Speech Conversion,Department of Labor,DOL,EBSA||OHR,Mission-Enabling (internal agency support),N/A,None of the above.,Text to speech (Neural) for more realistic human sounding applications using natural language processing models.,"

Audio files used on Power point presentations,",Operation and Maintenance,Neither,1/22/2023,1/22/2023,1/22/2023,,Developed with contracting resources.,NNG15SD60B,No,N/A,N/A,No,N/A,No,NO,Other,Agency datasets are not necessary for the development of this use case.,N/A,Documentation is complete,N/A,N/A,No,No – agency does not have access to source code.,N/A,Yes,Azure,Less than 6 months,Yes,N/A,N/A,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Claims Document Processing,Department of Labor,DOL,OWCP,Government Services (includes Benefits and Service Delivery),N/A,None of the above.,To identify if physician's note contains causal language by training custom natural language processing models.,Document ranking by likely relevance and sentences highlighting of potentially causal language.,Retired,"Rights-Impacting
",,,,7/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website Chatbot Assistant,Department of Labor,DOL,OTAA,Mission-Enabling (internal agency support),N/A,None of the above.,"The chatbot helps the end user with basic information about the program, information on who to contact, or seeking petition case status.","

More than AI, it is question and answer bot based on the pre determine question and answers, there is no AI which would give any out put",Operation and Maintenance,Neither,2/22/2023,4/23/2023,5/10/2023,,Developed with both contracting and in-house resources.," NNG15SD22B
1605DC19A0004",NO,N/A,N/A,Yes,"The chatbot’s Question and Answer knowledge base was developed by expert staff members that regularly handle information requests and inquires from the public about the TAA program. These experts identified the most frequently asked questions as well as the relevant answers to these. There is a Feedback form for the website in close proximity to the chatbot window. Users can give feedback on the bot there. The chatbot also provides direct email and phone contact info for the TAA program, where users can let staff know if there are any issues or incorrect/incomplete info.",No,NO,NO,N/A,Frequently asked questions and their answers pertaining to the TAA program.,Documentation is complete,N/A,N/A,Yes,Yes,https://aws.amazon.com/lex/,Yes,AWS / DOL.gov,6-12 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Yes,,,,,,,,,,,,,,,,,,
Data Ingestion of Payroll Forms,Department of Labor,DOL,WHD,Mission-Enabling (internal agency support),N/A,None of the above.,Custom machine learning model to extract data from complex forms to tag data entries to field headers. The input is a document or scanned image of the form and the output is a JSON response with key/value pairs,"
The output is a JSON response with key/value pairs extracted by running the form against the custom trained model.",Retired,Neither,8/1/2023,,,1/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hololens,Department of Labor,DOL,OSHA,Education & Workforce,N/A,None of the above.,AI used to train Inspectors to visually inspect  unsafe areas from a safe location.,"

Pictures of the location",Operation and Maintenance,Neither,8/21/2023,8/21/2023,8/21/2023,,Developed with both contracting and in-house resources., 1605TA20C0001,No,N/A,N/A,No,N/A,N/A,No,No,N/A,Purchased,Documentation is missing or not available,N/A,N/A,No,No – agency does not have access to source code.,N/A,No,N/A,Less than 6 months,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DOL Intranet Website Chatbot Assistant,Department of Labor,DOL,OSPE,Mission-Enabling (internal agency support),N/A,None of the above.,"
Conversational AI Assistant & DOL intranet websites to help answer common procurement questions, as well as specific contract questions.",It will answer question based on the question pertaining to the knowledge base.,Operation and Maintenance,Neither,3/1/2023,8/1/2023,10/1/2024,,Developed with both contracting and in-house resources.,"1605DC19A0004
NNG15SD60B",No,,,No,N/A,No,No,No,N/A,Agency Generated,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",N/A,N/A,No,"Yes – agency has access to source code, but it is not public.",N/A,No,Azure,Less than 6 months,Yes,N/A,Yes,N/A,Yes,N/A,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
Official Document Validation,Department of Labor,DOL,OWCP,Mission-Enabling (internal agency support),N/A,None of the above.,AI detection of mismatched addresses and garbled text in official letters sent to benefits recipients.,"

The output is a recommendation for review of mismatched a addresses and garbled text in official letters sent to benefits recipients.",Retired,Neither,,,,2/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
