use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34225,agentF,custom_system,0,nlp_specific,bureau,medium,Names 'voice to voice translations in at least 21 languages' for LEP noncitizens; mobile-app proof-of-concept under bureau ERO.,,,0,,,,,,,,,,unknown,,mission_critical,0,ICE
34253,agentF,custom_system,0,predictive_analytics,bureau,medium,"Quotes 'anomaly detection' and 'risk and predictive scores' for health surveillance — predictive analytics, not generative.",,,0,,,,,,,,,,unknown,,mission_critical,,OHS
34257,agentF,custom_system,0,nlp_specific,department,high,"Quotes 'topic modeling, sentiment analysis' on DHS Pulse Survey responses; in-house NLP across DHS-wide surveys.",,,0,,,,,,,,,,unknown,,administrative,,DHS
34315,agentF,custom_system,0,classical_ml,bureau,high,'Two ML models (BEACON and SINCT)' classify NAICS/NAPCS write-ins — bespoke classical ML for Census.,,,0,,,,,,,,,,unknown,,mission_critical,1,Census
34353,agentF,generic_use_pattern,1,general_llm,office,low,"'documentation generation, responses to data calls' suggests LLM use for cyber work; details thin.",,,0,,,,,,,,,,unknown,,cybersecurity,,NOAA
34431,agentF,bespoke_application,1,general_llm,bureau,high,'leverages Retrieval-Augmented Generation' with LLM summarization over NREL's data catalog.,,,0,,,,,,,,,,rag_pipeline,,mission_critical,1,NREL
34432,agentF,custom_system,0,nlp_specific,office,high,"'tagging 100,000 Energy.gov webpages' via topic modeling — NLP classification.",,,0,,,,,,,,,,unknown,,administrative,0,Office of Public Affairs
34600,agentF,custom_system,0,computer_vision,bureau,high,'geospatial artificial intelligence methods to map annual land cover' — deep-learning CV for land surface.,,,0,,,,,,,,,,custom_trained,1,research,,USGS
34668,agentF,product_feature,1,general_llm,department,medium,'MetaAI offer search and chatbot assistance with the Facebook application' — embedded gen-AI feature.,,,1,Meta AI,Meta,,,,,,,,inference_only,,administrative,1,
34704,agentF,custom_system,0,classical_ml,office,high,'machine learning model predicts records schedules' — in-house ML classifier.,,,0,,,,,,,,,,unknown,,administrative,,Office of Mission Support
34711,agentF,custom_system,0,predictive_analytics,office,high,'Risk scoring (Ranking from lowest to highest risk) for NPDES facilities' — predictive analytics.,,,0,,,,,,,,,,unknown,,mission_critical,,OECA
34722,agentF,product_deployment,1,general_llm,department,medium,'document repository by Tanjo (tanjo.ai) that leverages AI to improve document discovery' — vendor product.,,,1,Enterprise Brain,Tanjo,,,,,,,,rag_pipeline,,administrative,,GSA
34840,agentF,product_feature,0,classical_ml,office,medium,'native Salesforce AI capabilities' for Recommender/Sentiment — platform-level AI feature.,,,1,Salesforce Einstein,Salesforce,,,,,,,,inference_only,,administrative,,CMS
34858,agentF,bespoke_application,0,nlp_specific,office,medium,'normalizing labor categories' across business proposals — NLP normalization for procurement.,,,0,,,,,,,,,,unknown,,administrative,,OAGM
35011,agentF,custom_system,0,classical_ml,bureau,high,'machine learning algorithms enhance...MSS transaction data' — anomaly detection over financial data.,,,0,,,,,,,,,,unknown,,mission_critical,,Ginnie Mae
35019,agentF,custom_system,0,classical_ml,bureau,high,"'modular, reconfigurable application framework' for planning/scheduling — classical AI planning at JPL.",,,0,,,,,,,,,,unknown,,research,,JPL
35032,agentF,custom_system,0,classical_ml,bureau,high,'ML model to suggest if a purchase may be a taggable asset' — classification on purchase card data.,,,0,,,,,,,,,,unknown,,administrative,,JPL
35036,agentF,product_deployment,1,general_llm,office,high,'Wellsaid has been used to generate placeholder voice over' — COTS generative TTS.,,,1,WellSaid,WellSaid Labs,,,,,,,,inference_only,,administrative,,OLPA
35050,agentF,bespoke_application,1,general_llm,department,high,'draft PD content generated through large language models (LLMs)' informed by curated PD library — RAG over LLM.,,,0,,,,,,,,,,rag_pipeline,,mission_critical,,OPM
35060,agentF,custom_system,0,predictive_analytics,office,high,'numerical scores...likelihood of medical improvements' for continuing disability reviews — predictive scoring.,,,0,,,,,,,,,,unknown,,mission_critical,,Office of Analytics
35099,agentF,custom_system,0,nlp_specific,bureau,high,'custom Natural Language Processing (NLP) model to recommend...tagging' for foreignassistance.gov data.,,,0,,,,,,,,,,unknown,,administrative,,F
35141,agentF,bespoke_application,0,nlp_specific,bureau,high,"'classifies taxpayers' utterances...into intents' with predetermined responses — NLP intent classifier, not generative.",,,0,,,,,,,,,,unknown,,mission_critical,1,IRS
35159,agentF,product_feature,0,computer_vision,bureau,high,'AI masking feature called Redaction Assistant' that detects faces in body-cam footage — Axon COTS CV.,,,1,Redaction Studio,Axon,,,,,,,,inference_only,,mission_critical,,IRS-CI
35299,agentF,bespoke_application,0,computer_vision,bureau,medium,'uses 3D scans to streamline nutrition and mortality data collection' — CV for anthropometric scans.,,,0,,,,,,,,,,unknown,,mission_critical,1,BHA
35371,agentF,bespoke_application,1,general_llm,bureau,high,'generate metadata...through generative AI' for geospatial datasets — gen-AI metadata generation.,,,0,,,,,,,,,,inference_only,,administrative,,NRCS
35391,agentF,product_deployment,0,nlp_specific,bureau,high,'BirdNET quickly scans thousands of hours of forest audio' — pretrained audio classification model.,,,0,BirdNET,,,,,,,,,inference_only,,research,,Forest Service
35410,agentF,custom_system,0,classical_ml,office,high,'isolation forest model' detects erroneous data loads in TCR data — classical anomaly detection.,,,0,,,,,,,,,,unknown,,mission_critical,,CFTC
