row_hash,agency_abbreviation,use_case_name,verdict,notes
d5a60033b0a96b69bb697b8b8502a4e3,EAC,AI Answers in Clearinghouse Network,ingest,"[high] is_withheld=a) No; full narrative (problem statement, vendor 'Civic Roundtable', stage=Pilot). Skipped raw file EAC-2025-ai-inventory.xlsx is the fixed 20-row COTS checklist, not narrative data -- name/vendor absent from it entirely. No related consolidated_us"
87f94f4bd688b00a8c11f9f788356fbb,EAC,Grants Lifecycle Application System,ingest,"[high] is_withheld=a) No; full narrative, vendor 'Groundswell', stage=Deployed. Not present in skipped EAC raw file (COTS checklist has no grants-system entry). No related consolidated row. Genuine gap."
ee3bbed40fba7a8dca51aaaca8c645df,EAC,Internal Generative AI Tools for Staff Productivity,ingest,"[medium] is_withheld=a) No; stage=Pilot; vendors OpenAI/Anthropic/Google/xAI/Perplexity/Microsoft. This is an agency-wide narrative rollup that overlaps in spirit with several EAC consolidated_use_cases checkbox rows marked Y with the same vendor list (drafting docs, i"
d8248d3fae1d5507c377c1d6dd68cab3,EAC,Routing emails from shared inboxes,ingest,"[high] is_withheld=a) No; stage=Pilot; vendors OpenAI/Anthropic/Google/xAI/Perplexity/Microsoft. Related but distinct from EAC consolidated row 'Prioritizing and categorizing incoming emails using AI' (Y, same vendor list) -- that row is about prioritization/categori"
e4787cf55bd57ddd9b17454af1d628ad,FCA,Examination knowledge assistant,ingest,"[high] is_withheld=a) No; real name/description; stage=Pre-deployment; agency FCA already exists in agencies table (id=482, 'Farm Credit Administration') with existing consolidated_use_cases COTS rows (source_file cots-2025-ai-inventory-consolidated.xlsx) -- no per-a"
8d3d341579251a249d19379ac28a8ab5,FCA,Loan information retrieval,ingest,[high] is_withheld=a) No; real name/description; stage=Pre-deployment; agency FCA already exists (id=482); no per-agency raw file -- fill gap in use_cases.
519d3cf490a29472b519ac40e0932a32,FCA,User training in agency learning management system,ingest,[high] is_withheld=a) No; real name/description; stage=Pre-deployment; agency FCA already exists (id=482); no per-agency raw file -- fill gap in use_cases.
b2916edf8a447b76d8ffbd334f45377f,FCC,AI-Enhanced ULS Reverse Engineering,ingest,"[high] is_withheld=a) No; stage=Pilot; vendor 'Microsoft Azure Open AI, Securigence'. Related to FCC consolidated row 'Generating code using AI' (Y, Copilot/AWS Q Developer/Azure OpenAI) but this is a specific named system (ULS = Universal Licensing System) with its "
59a1cb8ec9803c90f9af115dd364c653,FCC,Automated Attachment Intelligence for FCC Licensing Systems,ingest,[high] is_withheld=a) No; stage=Pre-deployment. No related consolidated row (document/attachment extraction is not one of the 20 checklist categories). Not in skipped raw file. Genuine gap.
733365ca46d94d842b3d1c26e9df448c,FCC,Automated Complaint Categorization for Enforcement Bureau,ingest,"[high] is_withheld=a) No; stage=Pre-deployment. No related consolidated row (complaint categorization is agency-specific, not on the 20-item checklist). Not in skipped raw file. Genuine gap."
b49bd1a66f86b64f74cdae5621aad580,FCC,Comment Legal Analysis & Review Assistant,ingest,[high] is_withheld=a) No; stage=Pre-deployment. No related consolidated row. Not in skipped raw file. Genuine gap.
58bf04d2b8452b2956eb1b25ab59dcdb,FCC,ECFS Comment Analytics Deduplication Services (CADS),ingest,"[high] is_withheld=a) No; stage=Retired (reported in prior inventory, discontinued). Still a legitimate historical use case record -- OMB's master file carries it. No related consolidated row. Not in skipped raw file. Genuine gap."
c14893ca80467efde234746d018fe4e3,FCC,SharePoint Copilot for Workflow Automation,ingest,"[high] is_withheld=a) No; stage=Pre-deployment. Related in spirit to FCC consolidated Copilot rows (drafting/writing/summarizing/word-processing, all Y w/ Microsoft Copilot) but this is a specific SharePoint content-governance automation project with its own narrativ"
b7255043537194634ea81e87d04ea5b0,NCUA,ADCo MBS/CMO Modeling,ingest,"[high] Different root cause from the other 23 rows: NOT a slug collision. NCUA's own per-agency raw file (data/raw/NCUA-2025-ai-inventory.csv) is a stale/minimal 3-row snapshot (NCUA 01/02/03: Machine Learning Data Validation, Supervisory Stress Testing, Risk Indicat"
fce74b6ea2a286776fe29dfef1367a38,NCUA,CoStar CRE Modeling,ingest,"[high] Same cause as NCUA-13-2025/ADCo (row above): absent from our stale 3-row NCUA per-agency source entirely; OMB's consolidated file has 3 extra NCUA-12/13/14-2025 entries with no counterpart anywhere in our source. Genuine source-completeness gap, not a matcher "
6df74f6bf7288705e4e1908276b8f494,NCUA,Moody's Stress Test Modeling,ingest,"[high] Same cause as the other two NCUA rows above: absent from our stale 3-row NCUA per-agency source entirely. Genuine source-completeness gap, not a matcher failure. Ingest."
898447616d740c100b2dceb996df549b,NEA,Categorizing Grant Subjects from Grant Applicants,ingest,"[high] is_withheld=a) No; real name/description; stage=Pre-deployment; agency NEA already exists in agencies table (id=484, 'National Endowment for the Arts') with existing consolidated_use_cases COTS rows; no per-agency raw file (no NEA-2025-ai-inventory.* in data/r"
c9f0344a66fb4c09c38ed99be9ec05a7,NEA,"External ""Public Facing"" Chatbot",ingest,[high] is_withheld=a) No; real name/description; stage=Pre-deployment; agency NEA already exists (id=484); no per-agency raw file -- fill gap.
77c0b72585be5e2fcdf2a4ec37546a35,NEA,Managing Cybersecurity Controls,ingest,[high] is_withheld=a) No; real name/description; stage=Pre-deployment; agency NEA already exists (id=484); no per-agency raw file -- fill gap.
912f133acd24c33e8590569513790a2a,NEA,Managing Help Desk Tickets - Self Service,ingest,[high] is_withheld=a) No; real name/description; stage=Pre-deployment; agency NEA already exists (id=484); no per-agency raw file -- fill gap.
f91e75dfcdf0c3c7ac97f583231baaee,NIGC,Adobe Photoshop AI (AI Plugin),ingest,"[high] is_withheld=a) No; real name/description; stage=Deployed; vendor=Adobe; agency NIGC already exists in agencies table (id=485, 'National Indian Gaming Commission') with existing consolidated_use_cases COTS rows; no per-agency raw file (no NIGC-2025-ai-inventory"
7fd77ca85916ac68c4ec4382d6639f6f,NIGC,Articulate,ingest,[high] is_withheld=a) No; real name/description; stage=Deployed; vendor=Articulate; agency NIGC already exists (id=485); no per-agency raw file -- fill gap.
cd8ea639bd14adf38963a58463140e7b,NIGC,Canva,ingest,[high] is_withheld=a) No; real name/description; stage=Deployed; vendor=Canva; agency NIGC already exists (id=485); no per-agency raw file -- fill gap.
ce571c01f218a5a0d2a9810c3052a3e9,NIGC,LexisNexus,ingest,[high] is_withheld=a) No; real name/description; stage=Deployed; vendor=LexisNexus; agency NIGC already exists (id=485); no per-agency raw file -- fill gap.
de85af3c9b6e4c76f7f7198040102e65,NIGC,Microsoft Copilot,ingest,[high] is_withheld=a) No; real name/description; stage=Deployed; vendor=Microsoft; agency NIGC already exists (id=485); no per-agency raw file -- fill gap.
e68212f5826b01f5fa7d9151bb9362ee,OSC,Copilot Studio,ingest,"[high] is_withheld=a) No; stage=Pre-deployment; vendor Microsoft. 'Copilot Studio' is Microsoft's no-code agent-builder product, distinct from the generic 'Microsoft Copilot' (M365) usage recorded in 5 OSC consolidated checkbox rows (transcription, drafting, writing "
6db376e01471683b5e9284e3b06d88d4,OSHRC,Westlaw Edge,ingest,"[high] is_withheld=a) No; real name/description; stage=Deployed; vendor=Thomson Reuters; agency OSHRC already exists in agencies table (id=486, 'Occupational Safety and Health Review Commission') with existing consolidated_use_cases COTS rows; no per-agency raw file "
f3c44c5c758600e697b41b8563839f8b,PBGC,AI-Assisted Contracting Content/Document Creation,ingest,"[high] is_withheld blank in OMB source (not populated for PBGC section); stage=Pre-deployment; sub_agency OMA/Procurement Dept. Related to PBGC consolidated row 'Generating first drafts of documents...' (Y, Microsoft Copilot) but this is procurement-specific narrativ"
0bdb3f2eebece117a3dd3d1935717784,PBGC,AI-Assisted Market Financial Health and Credit Analysis,ingest,[high] is_withheld blank; stage=Deployed; sub_agency ONR. No related consolidated row (financial/credit analysis not on 20-item checklist). Not in skipped raw file. Genuine gap.
9db420b1d7f8b90df3e8a1dde35a5ae6,PBGC,AI-Assisted Recognition and Redaction for Legal/Litigation Matters,ingest,[high] is_withheld blank; stage=Pre-deployment; sub_agency OGC/GLOD. No related consolidated row. Not in skipped raw file. Genuine gap.
d82739f301e101291839130f3fbf8d47,PBGC,AI-Assisted Training Development,ingest,[high] is_withheld blank; stage=Pre-deployment; sub_agency OMA/QMD/LDD. Loosely related to PBGC consolidated Copilot drafting row but training-materials-specific narrative -- not a duplicate. Not in skipped raw file. Genuine gap.
ad2132beb62c422a2b12c7aa78916572,PBGC,AI-Powered General Productivity,ingest,"[medium] is_withheld blank; stage=Pre-deployment; sub_agency Enterprise. Broad narrative overlapping in spirit with PBGC's two Microsoft Copilot consolidated rows (drafting docs Y, summarizing reports Y) but described as an enterprise-wide initiative with its own probl"
7078615a040b734d2a774c075ff09f5e,PBGC,Analysis of Plan Benefits for Standard Terminations,ingest,[high] is_withheld blank; stage=Pre-deployment; sub_agency ONR. No related consolidated row (actuarial/pension analysis not on checklist). Not in skipped raw file. Genuine gap.
05c582306310677904976f356e03a1a1,PBGC,Federal Accounting Statutes and Guidelines Alignment,ingest,[high] is_withheld blank; stage=Pre-deployment; sub_agency OCFO. No related consolidated row. Not in skipped raw file. Genuine gap.
87fe182b2ab7ba4ddf76a7c8b772fbe5,PBGC,IT Security Monitoring,ingest,"[medium] is_withheld blank; stage=Deployed; sub_agency ITIOD-Security Operations. Plausibly related to PBGC consolidated row 'Managing or implementing security controls...' (Y, Zscaler) -- same subject-matter domain -- but this row carries full narrative (problem state"
488c9a81e25fbad6434266b177a2f7cf,PBGC,IT Security and Privacy Control Assessment,ingest,"[high] is_withheld blank; stage=Pre-deployment; sub_agency OIT/Privacy. Distinct from the security-monitoring/Zscaler row (this is a controls/privacy assessment tool, not monitoring). No related consolidated row. Not in skipped raw file. Genuine gap."
991dbd0dd14edd3af8e36c2cc2b9f69e,PBGC,IT Service Management Virtual Agent and Automation,ingest,"[medium] is_withheld blank; stage=Pre-deployment; sub_agency ITIOD/Enterprise. Strongly related to PBGC consolidated row 'Managing and prioritizing internal service or help desk tickets using AI' (Y, ServiceNow Now Assist, 101-1000) -- 'IT Service Management Virtual Ag"
c359d3b57637b403721a638058d0e47e,PBGC,"Intelligent, auto-generated meeting summaries, notes, and tasks",ingest,"[high] is_withheld blank; stage=Pre-deployment; sub_agency PBGC Enterprise. PBGC consolidated row 'Transcribing, summarizing...' is Y with vendor 'Microsoft Teams Premium (with intelligent meeting recap)' -- plausibly the same underlying capability, but this row's na"
23114188d94885abbd02cf05fde76ece,PBGC,Legislative and Regulatory Analysis / Automation (Actuarial/Financial),ingest,"[high] is_withheld blank; stage=Pre-deployment; sub_agency OPEA/PRAD. Note: OMB's own master file has a duplicate entry 'PBGC - 15' with the identical name, already flagged in omb_match_audit as match_status=duplicate_in_omb (not in this agent's row set) -- that dedu"
f7640568bc5472f7580b15ec0ab9fac6,PBGC,Media Content Generation,ingest,"[high] is_withheld blank; stage=Pre-deployment; sub_agency OPEA/COLAD. PBGC consolidated row 'Editing images, videos, or other public affairs materials using AI' is marked N (not used) for PBGC, so no related consolidated row exists. Not in skipped raw file. Genuine "
f42e4a10a7e890bb9874426873d47322,PBGC,Pension Plan Summary Report Assistance,ingest,[high] is_withheld blank; stage=Pre-deployment; sub_agency OBA. No related consolidated row. Not in skipped raw file. Genuine gap.
9b0c1c76f054070a09fbfcfdc2923baf,PBGC,Position Description Analysis and Consolidation,ingest,[high] is_withheld blank; stage=Pre-deployment; sub_agency OMA/HRD. No related consolidated row. Not in skipped raw file. Genuine gap.
f61f67edf2461b726041994273f387df,PBGC,Synthetic Data Generation,ingest,[high] is_withheld blank; stage=Pre-deployment; sub_agency ITIOD/OGC Privacy. No related consolidated row. Not in skipped raw file. Genuine gap.
03398fd7ef4fba8203378e5563089d67,STB,Copilot for Appian,ingest,"[medium] is_withheld=a) No; real name/description; stage=Pre-deployment; source use_case_id is literal 'TBD' (STB did not assign an id) -- need a synthetic use_case_id (e.g. STB-0001) at ingest time. Agency STB already exists in agencies table (id=487, 'Surface Transpo"
923b8aadfcb1760949c685b91395b361,STB,RelativityOne,ingest,[medium] is_withheld=a) No; real name/description; stage=Pre-deployment; source use_case_id is literal 'TBD' -- need synthetic use_case_id (e.g. STB-0002) at ingest time. Agency STB already exists (id=487); no per-agency raw file.
