id	use_case_name	bureau_component	vendor_name	system_name	ai_classification	development_type	entry_type	deployment_scope	scope_detail	architecture_type	ai_sophistication	product_id	is_general_llm_access	is_coding_tool	is_product_capability_entry	tool_product_name	tool_vendor	use_type	is_enterprise_wide	is_cots_commercial	is_microsoft_copilot	is_openai	problem
10241	AI Input in Translation	A/PRI	RWS	Trados	Generative AI	a) Purchased from a vendor	custom_system	bureau	A/PRI	agentic_workflow	agentic		1	0	0			administrative	0	1	0	0	Leveraging machine-based tools to streamline workflows in translation work. Machine output is carefully post-edited by professional human translators to ensure highest quality product.
10242	FOIA Web ML Document Indexer	A/SKS					custom_system	bureau	A/SKS	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10243	AI-Augmented Declassification Review	A/SKS	Deloitte	N/A	Classical/Predictive Machine Learning	c) Developed with both contracting and in-house resources	custom_system	bureau	A/SKS	custom_trained	classical_ml		0	0	0			administrative	0	0	0	0	The amount of documents, particularly cables and emails, that require declassification review increases exponentially in the next few years. Manual review is unsustainable and expensive given the numb
10244	BudgetChat AI Tool	BP	N/A	DOS-O365; Data.State-SBU	Generative AI	b) Developed in-house	custom_system	bureau	BP	unknown	general_llm		1	0	0			administrative	0	0	0	0	Inputting large amounts of data from paper forms into a digital system using AI.
10245	Evaluating Customer Feedback and Sentiments with AI	CA	N/A	PA	Generative AI	b) Developed in-house	custom_system	bureau	CA	custom_trained	general_llm	33	1	0	0	Custom In-House AI	In-House	mission_critical	0	0	0	0	To leverage Natural Language Processing (NLP) and secure Large Language Models (LLM) on unstructured text data to identify actionable insights to drive customer improvement initiatives.
10246	Consular Affairs FaceVACS	CA			Classical/Predictive Machine Learning		custom_system	bureau	CA	unknown	computer_vision		0	0	0			mission_critical	0	0	0	0	To automatically check passport photo quality during the Online Passport Renewal (OPR) process, providing instant feedback to ensure submitted images meet requirements.
10247	Travel.State.Gov (TSG) Enhanced Search and Chatbot	CA					custom_system	bureau	CA	unknown	general_llm		1	0	0			administrative	0	0	0	0	
10248	Travel.state.gov (TSG) Content Refinement with AI Text Editor	CA					custom_system	bureau	CA	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10249	Predictive Analytics Platform	CA					custom_system	bureau	CA	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10250	Innovation and Transformation Measurement and Prediction	CA					custom_system	bureau	CA	unknown	classical_ml		0	0	0			administrative	0	0	0	0	
10251	CodeGen - AI-assisted IT Application Development	CA					custom_system	bureau	CA	unknown	classical_ml		0	0	0			mission_critical	0	0	0	0	
