row_hash,agency_abbreviation,use_case_name,recommended_verdict,confidence,evidence_notes
d5a60033b0a96b69bb697b8b8502a4e3,EAC,AI Answers in Clearinghouse Network,ingest,high,"is_withheld=a) No; full narrative (problem statement, vendor 'Civic Roundtable', stage=Pilot). Skipped raw file EAC-2025-ai-inventory.xlsx is the fixed 20-row COTS checklist, not narrative data -- name/vendor absent from it entirely. No related consolidated_use_cases row (grid has no chatbot/clearinghouse entry). Genuine gap."
87f94f4bd688b00a8c11f9f788356fbb,EAC,Grants Lifecycle Application System,ingest,high,"is_withheld=a) No; full narrative, vendor 'Groundswell', stage=Deployed. Not present in skipped EAC raw file (COTS checklist has no grants-system entry). No related consolidated row. Genuine gap."
ee3bbed40fba7a8dca51aaaca8c645df,EAC,Internal Generative AI Tools for Staff Productivity,ingest,medium,"is_withheld=a) No; stage=Pilot; vendors OpenAI/Anthropic/Google/xAI/Perplexity/Microsoft. This is an agency-wide narrative rollup that overlaps in spirit with several EAC consolidated_use_cases checkbox rows marked Y with the same vendor list (drafting docs, improving writing, summarizing, visualizing data, generating code, searching, curating news -- all 'ChatGPT, Claude, Copilot, Perplexity'). Per guidance, a narrative use case with problem statement/stage is not a duplicate of checkbox rows even when it covers the same tools -- recommend ingest, note the 7 related EAC consolidated rows as context (same vendor set)."
d8248d3fae1d5507c377c1d6dd68cab3,EAC,Routing emails from shared inboxes,ingest,high,"is_withheld=a) No; stage=Pilot; vendors OpenAI/Anthropic/Google/xAI/Perplexity/Microsoft. Related but distinct from EAC consolidated row 'Prioritizing and categorizing incoming emails using AI' (Y, same vendor list) -- that row is about prioritization/categorization, this use case is specifically about routing to inboxes/individuals. Not a duplicate; note related consolidated row. Genuine gap."
b2916edf8a447b76d8ffbd334f45377f,FCC,AI-Enhanced ULS Reverse Engineering,ingest,high,"is_withheld=a) No; stage=Pilot; vendor 'Microsoft Azure Open AI, Securigence'. Related to FCC consolidated row 'Generating code using AI' (Y, Copilot/AWS Q Developer/Azure OpenAI) but this is a specific named system (ULS = Universal Licensing System) with its own narrative/problem statement -- not a duplicate. Not in skipped FCC raw file (fixed COTS checklist, no ULS entry). Genuine gap."
59a1cb8ec9803c90f9af115dd364c653,FCC,Automated Attachment Intelligence for FCC Licensing Systems,ingest,high,is_withheld=a) No; stage=Pre-deployment. No related consolidated row (document/attachment extraction is not one of the 20 checklist categories). Not in skipped raw file. Genuine gap.
733365ca46d94d842b3d1c26e9df448c,FCC,Automated Complaint Categorization for Enforcement Bureau,ingest,high,"is_withheld=a) No; stage=Pre-deployment. No related consolidated row (complaint categorization is agency-specific, not on the 20-item checklist). Not in skipped raw file. Genuine gap."
b49bd1a66f86b64f74cdae5621aad580,FCC,Comment Legal Analysis & Review Assistant,ingest,high,is_withheld=a) No; stage=Pre-deployment. No related consolidated row. Not in skipped raw file. Genuine gap.
58bf04d2b8452b2956eb1b25ab59dcdb,FCC,ECFS Comment Analytics Deduplication Services (CADS),ingest,high,"is_withheld=a) No; stage=Retired (reported in prior inventory, discontinued). Still a legitimate historical use case record -- OMB's master file carries it. No related consolidated row. Not in skipped raw file. Genuine gap."
c14893ca80467efde234746d018fe4e3,FCC,SharePoint Copilot for Workflow Automation,ingest,high,"is_withheld=a) No; stage=Pre-deployment. Related in spirit to FCC consolidated Copilot rows (drafting/writing/summarizing/word-processing, all Y w/ Microsoft Copilot) but this is a specific SharePoint content-governance automation project with its own narrative -- not a duplicate. Not in skipped raw file. Note related consolidated Copilot rows."
e68212f5826b01f5fa7d9151bb9362ee,OSC,Copilot Studio,ingest,high,"is_withheld=a) No; stage=Pre-deployment; vendor Microsoft. 'Copilot Studio' is Microsoft's no-code agent-builder product, distinct from the generic 'Microsoft Copilot' (M365) usage recorded in 5 OSC consolidated checkbox rows (transcription, drafting, writing quality, summarizing, word processing -- all Y/Microsoft Copilot/101-1000). This use case is a specific custom chatbot ('help complainants select case type') built with the agent-builder tool, not the same product/use as the M365 Copilot checkboxes. Not a duplicate; not in skipped OSC raw file. Genuine gap -- note related-but-distinct consolidated Copilot rows."
