use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34628,wave1-E,custom_system,0,computer_vision,office,high,'Custom machine learning model to extract data from complex forms' for OWCP benefits.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,DOL OWCP
34629,wave1-E,generic_use_pattern,0,nlp_specific,department,medium,'automatically translate unofficial documents' via NLP — dept-wide initiative.,,,0,,,,,,,,,,unknown,0,administrative,1,DOL Department Wide
34630,wave1-E,generic_use_pattern,0,nlp_specific,department,medium,'Transcription of speech to text' shared across OWCP/VETS/WHD.,,,0,,,,,,,,,,unknown,0,administrative,0,DOL OWCP/VETS/WHD
34631,wave1-E,generic_use_pattern,0,nlp_specific,department,medium,'Text to speech (Neural) for more realistic human sounding applications'.,,,0,,,,,,,,,,unknown,0,administrative,0,DOL EBSA/OHR
34632,wave1-E,custom_system,0,nlp_specific,office,high,'training custom natural language processing models' for OWCP claims notes.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,DOL OWCP
34633,wave1-E,custom_system,0,nlp_specific,office,high,'chatbot helps the end user' for OTAA petition status — pre-determined Q&A.,,,0,,,,,,,,,,unknown,0,mission_critical,1,DOL OTAA
34634,wave1-E,custom_system,0,computer_vision,office,high,'Custom machine learning model to extract data from complex forms' for WHD payroll.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,DOL WHD
34635,wave1-E,product_deployment,0,computer_vision,office,high,'Hololens... AI used to train Inspectors' — Microsoft MR headset.,,,1,HoloLens,Microsoft,,,,,,,,inference_only,0,mission_critical,0,DOL OSHA
34636,wave1-E,custom_system,0,nlp_specific,office,medium,'Conversational AI Assistant & DOL intranet websites' for procurement Qs.,,,0,,,,,,,,,,unknown,0,administrative,0,DOL OSPE
34637,wave1-E,custom_system,0,nlp_specific,office,medium,'AI detection of mismatched addresses and garbled text' in benefits letters.,,,0,,,,,,,,,,unknown,0,mission_critical,0,DOL OWCP
34638,wave1-E,generic_use_pattern,0,nlp_specific,department,medium,"'using AI to identify data within the document, and... NLP to classify' — dept-wide ERM.",,,0,,,,,,,,,,unknown,0,administrative,0,DOL Department Wide
34639,wave1-E,generic_use_pattern,0,nlp_specific,office,high,'AI is used only for transcription' of EBSA IVR call recordings.,,,0,,,,,,,,,,unknown,0,administrative,0,DOL EBSA
34640,wave1-E,custom_system,0,computer_vision,office,high,'Automatic processing of continuation of benefits form' for OWCP.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,DOL OWCP
34641,wave1-E,bespoke_application,1,general_llm,office,medium,'The GPT will extract the data and into a spreadsheet' — ETA Form Recognizer with GPT.,,,1,,,,,,,,,,inference_only,0,mission_critical,0,DOL ETA
34642,wave1-E,bespoke_application,1,general_llm,office,high,'open source large language model to summarize publicly available case recording'.,,,0,,,,,,,,,,inference_only,0,administrative,0,DOL OSHA
34643,wave1-E,custom_system,0,nlp_specific,bureau,high,'autocoder reads the job title and assigns... SOC codes' for OEWS survey.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,BLS OEWS
34644,wave1-E,custom_system,0,nlp_specific,bureau,high,'BLS receives bulk data from some corporations' classified via ML.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,BLS CPI
34645,wave1-E,custom_system,0,nlp_specific,bureau,high,'assign a reported expense description... to expense classification categories'.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,BLS CE
34646,wave1-E,bespoke_application,1,general_llm,department,high,'Private and secure in-house solution... Generative AI models and semantic search'.,1,,0,,,,,,,,,,rag_pipeline,0,administrative,0,DOL OCIO
34647,wave1-E,custom_system,0,nlp_specific,bureau,high,'Suggest appropriate occupation code... via NLP' for ETA UI data.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,DOL ETA
34648,wave1-E,bespoke_application,1,general_llm,office,medium,'Application of custom Generative AI model to create Notice of Deficiency'.,,,0,,,,,,,,,,fine_tuned,1,mission_critical,0,DOL ETA
34649,wave1-E,product_deployment,0,nlp_specific,office,high,'Amazon Web Services Personal Identifying Information scrubber' — AWS Comprehend.,,,1,Comprehend PII,AWS,,,,,,1,,inference_only,0,mission_critical,0,DOL OSHA
34650,wave1-E,custom_system,0,nlp_specific,office,medium,'chatbot helps the end user with basic information about the Workforce Recruitment Program'.,,,0,,,,,,,,,,unknown,0,mission_critical,1,DOL ODEP
34651,wave1-E,custom_system,0,nlp_specific,office,medium,'AI tool to help perform initial analysis of the incoming 9141 and 9089 applications'.,,,0,,,,,,,,,,unknown,0,mission_critical,0,DOL ETA
34652,wave1-E,product_deployment,1,general_llm,office,medium,'AI-powered algorithms analyze course content and quickly generate test questions'.,,,1,,,,,,,,,,inference_only,0,administrative,0,DOL OSHA
34653,wave1-E,custom_system,0,predictive_analytics,office,high,'Worker PLUS model... evolutionary iteration of the Paid Family and Medical Leave Simulator'.,,,0,,,,,,,,,,custom_trained,1,research,0,DOL CEO
34654,wave1-E,custom_system,0,nlp_specific,bureau,high,'SOII... narratives describing cases of work-related injury and illness... codes'.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,BLS SOII
34655,wave1-E,custom_system,0,classical_ml,bureau,high,'CFOI Record Matching programs' for fatal injury data.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,BLS CFOI
34656,wave1-E,custom_system,0,nlp_specific,office,medium,'Auto-code assigning Occupational Injury and Illness Classification (OIICS)'.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,DOL OSHA
34657,wave1-E,product_deployment,1,coding_assistant,office,high,'Automatically generate software code using Microsoft Copilot'.,,1,1,GitHub Copilot,Microsoft,1,,,,1,,,inference_only,0,it_operations,0,DOL OCIO
34658,wave1-E,custom_system,0,predictive_analytics,bureau,high,'BLS productivity office publishes measures of hours worked' via prediction.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,BLS Productivity
34659,wave1-E,custom_system,0,classical_ml,bureau,high,'establishment-based surveys' using Frame API similarity scoring.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,BLS
34660,wave1-E,custom_system,0,nlp_specific,bureau,high,'Custom machine learning model to predict an expense classification category'.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,BLS CE
34661,wave1-E,custom_system,0,predictive_analytics,bureau,high,'Custom machine learning statistical models to impute missing expenditure values'.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,BLS CE
34662,wave1-E,generic_use_pattern,1,general_llm,office,medium,'The bot will take the transcript and summarize the meeting notes'.,,,1,,,,,,,,,,inference_only,0,administrative,0,DOL OCIO
34663,wave1-E,product_deployment,0,nlp_specific,office,high,"'NIOCCS, a free tool offered by NIOSH... code industry and occupation from text'.",,,0,NIOCCS,NIOSH,,,,,,,,inference_only,0,mission_critical,1,DOL OSHA
34664,wave1-E,product_deployment,0,classical_ml,office,high,'Camtasia... screen recordings and video tutorials' COTS AI features.,,,1,Camtasia,TechSmith,,,,,,,,inference_only,0,administrative,0,DOL OCIO
34665,wave1-E,product_deployment,0,classical_ml,office,high,'Adobe Premiere Pro incorporates several AI components' for video editing.,,,1,Premiere Pro,Adobe,,,,,,,,inference_only,0,administrative,0,DOL OCIO
