service,category,confidence,reasoning,signals,model,input_hash,classified_at,source
*Appsheet,ai_featured,medium,"AppSheet is Google's no-code/low-code app-building platform; it has added AI features (natural-language app generation, automations) but its core function is app development, not AI itself.","[""AppSheet"", ""no-code"", ""Google Workspace""]",claude-sonnet-5,c01d925f3017340e,2026-07-05T02:04:54Z,qc_confirmed
1Kosmos BlockID,ai_featured,medium,"[QC overturn: BlockID is fundamentally a passwordless/decentralized identity (FIDO2, distributed credential) platform; ML biometric liveness/face-match is one embedded auth factor, not the product's core capability, so ai_featured is more defensible than core_ai.] Original: 1Kosmos BlockID is an identity-verification product built on biometric (facial recognition/liveness) matching, an ML-based identity/biometric verification capability explicitly named in the rubric.","[""BlockID"", ""biometric"", ""identity verification""]",claude-sonnet-5,2c284716ad82de28,2026-07-05T01:56:37Z,qc_corrected
AGENCYAMAZONEW,not_ai,low,This string is a FedRAMP package identifier artifact rather than a product name; the underlying host is a CPR-training SaaS platform with no described AI/ML component.,"[""RQI1Stop"", ""CPR training"", ""SaaS""]",claude-sonnet-5,061ed07c9f168e07,2026-07-05T01:56:37Z,qc_confirmed
AI Builder,core_ai,high,"Microsoft Power Platform's AI Builder is a no-code tool for building and running custom ML models (form processing, prediction, object detection) — core ML tooling.","[""AI Builder"", ""Power Platform"", ""ML models""]",claude-sonnet-5,38c81dd688ab542c,2026-07-05T01:56:37Z,qc_confirmed
AI Builder MiddleTier,core_ai,medium,Backend/middle-tier service component supporting Microsoft AI Builder's model training and inference.,"[""AI Builder"", ""MiddleTier"", ""Azure""]",claude-sonnet-5,40132ce8902d2547,2026-07-05T01:56:37Z,qc_confirmed
AI Builder Structured ML,core_ai,high,Explicitly named machine-learning component of Microsoft AI Builder for structured-data models.,"[""AI Builder"", ""Structured ML""]",claude-sonnet-5,fa4d100b6ce9b743,2026-07-05T01:56:37Z,qc_confirmed
AI Builder Unstructured ML,core_ai,high,Explicitly named machine-learning component of Microsoft AI Builder for unstructured-data models (e.g. document/image processing).,"[""AI Builder"", ""Unstructured ML""]",claude-sonnet-5,0213f1195ab529eb,2026-07-05T01:56:37Z,qc_confirmed
AI Copilot,core_ai,medium,"Appian's AI Copilot is a generative-AI chat assistant embedded in the Appian platform, matching the rubric's chat-assistant/copilot core_ai category.","[""AI Copilot"", ""Appian"", ""copilot""]",claude-sonnet-5,517287e0e19040fa,2026-07-05T01:56:37Z,qc_confirmed
AI Protection,not_ai,medium,"[QC overturn: Google Cloud AI Protection is a security-posture/governance suite that discovers, secures, and administers AI workloads rather than shipping AI itself; per rubric-v2 rule 1 (security/governance OF AI) it is not_ai despite the 'AI' name.] Original: Google Cloud's AI Protection is a security-governance suite for discovering and securing AI workloads — security/ML analytics tooling embedded in the broader Google Services security stack, not itself a generative or model-hosting service.","[""AI Protection"", ""Google Services"", ""security""]",claude-sonnet-5,2e6e9ec87e88aec4,2026-07-05T02:04:54Z,qc_corrected
AI Skill,core_ai,medium,"Appian's AI Skill designer lets users build and embed AI-driven skills (e.g. document extraction, classification) into workflows, functioning as an agent/model-building tool.","[""AI Skill"", ""Appian""]",claude-sonnet-5,23e57121213f72ee,2026-07-05T01:56:37Z,qc_confirmed
