agency,use_case_name,verdict,final_ai_sophistication,confidence,reasoning
DOT,Advanced Research and Testing (ART) Network,keep,agentic,medium,"DOT self-classifies as 'Agentic AI'; narrative describes a shared AI research environment whose specific model behavior is thin, so per rule we lean on OMB's own classification."
DOT,AI Operations Laboratory (OPSLAB),keep,agentic,medium,"DOT self-classifies as 'Agentic AI'; shared environment 'with all OCIO-cleared AI functionality' is thin on model behavior, so OMB's own classification carries the call."
DOT,Transportation AI-enabled Network (TrAIN),keep,agentic,medium,"DOT self-classifies as 'Agentic AI'; narrative describes shared deployment environments without detail on model behavior, so OMB's classification carries the call."
DOT,Predictive Analytics Using Autonomous Track Geometry Measurement System (ATGMS) Data,reclassify,predictive_analytics,high,"'Automated machine-learning-based processes for analyzing, predicting, and reporting track locations of concern' with 'time to failure' outputs is predictive maintenance; 'Autonomous' refers to the measurement railcar, not agentic AI. OMB agrees: Classical/Predictive ML."
DOT,Public Comment Analyzer (PCA),reclassify,general_llm,medium,"Despite OMB's 'Agentic AI' label, the narrative is a fixed LLM pipeline — 'categorize comments... detect the sentiment... generate summaries' — with no multi-step planning or tool use."
GSA,ASSIST Auto Copy and Summarize,reclassify,general_llm,high,"'Automate this process to reduce per-contract data entry time' via generative extraction/summarization of acquisition documents; OMB classifies it Generative AI, no agent planning described."
GSA,Slack AI,reclassify,general_llm,high,"Off-the-shelf Slack AI for 'managing long message threads' and 'finding relevant information' — embedded genAI summarization/search, not model-driven multi-step orchestration. OMB: Generative AI."
GSA,FAS Vision Agentforce,keep,agentic,high,"Salesforce Agentforce deployment that handles 'customer inquiries, especially routine ones like order status requests' and 'automate[s] discrepancy case creation' — agent-framework vendor plus autonomous multi-step action; OMB self-classifies Agentic AI."
GSA,ServiceNow Virtual Agent (Curie),reclassify,nlp_specific,medium,"An employee chatbot to 'research IT issues... or find a quick answer' — Q&A only, no multi-step tool use; OMB classifies it NLP, matching ServiceNow's intent-based virtual agent."
GSA,RPA Cloud Connection,reclassify,computer_vision,high,"'Automate the extraction and processing of data from unstructured documents such as invoices, receipts, forms' is RPA plus document OCR/IDP, not agentic planning; OMB classifies it Computer Vision."
VA,Clinical AI Agent,reclassify,general_llm,high,"Despite the 'Agent' name, it 'will generate draft clinical notes based on the clinician-patient conversations' — ambient documentation generation reviewed by clinicians; OMB classifies it Generative AI, not Agentic."
VA,Forescout: AI Behavioral Anomaly Detection w/ Automated Enforcement,reclassify,classical_ml,high,"ML 'learn[s] normal behavior patterns' and on detection 'automatically enforces a response policy' — anomaly detection plus deterministic policy enforcement, not model-driven planning; OMB: Classical/Predictive ML."
VA,Service Period Validator (SPV) POC,keep,agentic,medium,VA self-classifies Agentic AI; the system autonomously produces 'a decision within the automated claims flow' while 'proactively assessing and correcting data quality' — autonomous decisioning with minimal human intervention.
VA,Exam Verification Agent,keep,agentic,high,Explicit multi-agent system: 'deploying multiple specialized AI agents' that 'autonomously evaluate claim evidence and provide a recommendation and a summary of the reasoning'; OMB self-classifies Agentic AI.
VA,Limited Payability Letter Automation,keep,agentic,medium,"OMB self-classifies Agentic AI; the system 'will read the signed and returned Limited Payability letter and automatically prepare a payment transaction' — autonomous perceive-then-act task execution, though it borders on IDP+RPA."
VA,Paid & Due Auto Calculation,keep,agentic,high,'The Agentic AI system will search and collect pertinent information... assist with some of the calculations and offer suggested actions' — multi-step autonomous gather/compute/recommend; OMB self-classifies Agentic AI.
VA,Xtract WDS - OSLE,reclassify,computer_vision,high,'Heat map detection for weapon detection software' producing 'areas of interest in a map of the body' is pure object detection; OMB's Agentic label is a misclassification of a CV screening system.
VA,Smart Pension Automation,keep,agentic,medium,OMB self-classifies Agentic AI; AI autonomously decides which pension 'claims were awarded or off ramped' with 'auditable information on why a decision was made' — multi-step autonomous claims decisioning replacing a constrained Camunda batch system.
VA,AICES,keep,agentic,medium,"OMB self-classifies Agentic AI; system 'indexes structured, semi-structured, and unstructured' records and performs 'evidence-driven triage and workflow automation' to generate SMART Claims with recommendations — multi-step orchestration over evidence."
VA,Smart Ratings Recommendation,keep,agentic,medium,OMB self-classifies Agentic AI; an 'automated solution to complete several pieces of the Rating process' that analyzes claims and proposes ratings for human approval — multi-step autonomous claim analysis with human-on-the-loop.
VA,Silverberry Surgery Planning AI,keep,agentic,high,"'Utilizes agents to perform tasks related to the perioperative process' spanning 'patient preparation and education, sterile processing... intraoperative supply management, post operative planning' — explicit multi-task agents; OMB self-classifies Agentic AI."
VA,Koios,reclassify,computer_vision,high,FDA-cleared device that 'classifies breast ultrasound lesions and automates reporting' — diagnostic image classification; OMB classifies it Computer Vision.
VA,Healthcare Text Anonymizer,reclassify,nlp_specific,high,Output is an 'Excel file with additional column(s) of anonymized text' — PII de-identification of healthcare text is a single-function NLP task; OMB's Agentic label is a misfire.
VA,Deduplication in Record Management,keep,agentic,medium,"OMB self-classifies Agentic AI; the system reads all e-faxed records, 'triages records that need more immediate action,' kicks back 'record requests missing important clerical details,' and summarizes — an autonomous multi-step document workflow, though it leans heavily on classification."
VA,Community Care Records Retrieval,keep,agentic,medium,"OMB self-classifies Agentic AI; system autonomously executes 'requests for community care records or retrieval and ingestion' — multi-step task execution (identify, request, retrieve, ingest) replacing labor-intensive manual administration."
VA,AI-Assisted View Alert Management,reclassify,nlp_specific,high,"Despite OMB's Agentic label, the narrative is explicit supervised classification: 'new AI models trained on annotated message data' that 'apply the following label types to messages' — alert triage labeling, no planning or tool use."
VA,Natural Language Online Workflow (NOW),reclassify,general_llm,medium,"A chatbot that 'gives tailored answers to user questions' and 'outputs step-by-step instructions or links' for consults — guided Q&A without autonomous tool execution; per the rule, an answering chatbot is general_llm despite OMB's Agentic label."
VA,Ambient Scribing with Patient Chart Exploration,reclassify,general_llm,high,"'AI summarization of chart data, and draft clinical notes based on chart data and transcripts' — generative scribing/summarization; OMB classifies it Generative AI."
VA,Claims Adjudication and Financial Decision-Making,keep,agentic,medium,"OMB self-classifies Agentic AI; the platform 'brings the necessary data together, highlights key issues, and streamlines next steps,' producing classifications, eligibility/coding checks, risk flags, and 'draft appeals packages' — multi-step orchestration presented as decision support."
VA,Leveraging Acoustic-Linguistic Analytics and Social Determinants to Enhance Suicide Prevention Efforts in Veterans Crisis Line Interventions,reclassify,nlp_specific,high,"'Multimodal ML models that integrate linguistic, acoustic, and contextual features to identify imminent suicide risk' from VCL call audio — speech/language risk modeling; OMB classifies it NLP."
VA,PowerScribe One,reclassify,computer_vision,high,"Radiology reporting aid whose solutions 'interpret your images and provide the radiologist with different findings, such as lung nodules, fractures, brain bleeds' — image-finding detection plus dictation; OMB classifies it Computer Vision."
VA,Community Care Clinical Documents,keep,agentic,medium,"OMB self-classifies Agentic AI; product 'will automate identification, retrieval, and notification in the context of community care clinical documents' — autonomous multi-step document acquisition replacing a manual process."
VA,EEV/OHI Document Types,reclassify,nlp_specific,medium,"'Increase the speed and accuracy of identifying document types and routing thereof' — document-type classification with rule-based routing, no model-driven planning; OMB's Agentic label is a misfire on workflow automation."
VA,Electronic Mammogram Reporting (eMAMR),reclassify,nlp_specific,high,'Extracted JSON Files: clinical data extracted from incoming fax/PDF images using OpenAI GPT-4o' feeding automated note creation — a document-extraction pipeline (the known mammogram-reporting misfire); OMB classifies it NLP.
VA,Artificial Intelligence Assisted Procurement Tools (AIAPT),reclassify,general_llm,medium,"Procurement assistant producing 'automated compliance checks,' 'forecasts for demand planning,' and dashboards — genAI document/analysis tooling without described agent orchestration; OMB classifies it Generative AI."
VA,SAC AI tools to automate application processing and data reporting,reclassify,nlp_specific,medium,"Power Platform AI Builder 'classifying incoming customer requests by content, intent... then automatically routing each ticket' — NLP classification plus deterministic routing, not model-driven planning, despite OMB's Agentic label."
