usecasename,shorttext14,flexselect16,richtext18,flexselect112,shorttext24
Use Case Name,Bureau,Use Case Topic Area,What is the intended purpose and expected benefits of the AI?,"Is the AI use case rights-impacting, safety-impacting, both, or neither?",Date Retired
Groundwater Modeling,LM HQ - Office of Legacy Management (LM),Science & Space,Predicts flow of ground water containments underground.,Neither,
OpenText for Records Management (Email Auto-Classification),EE HQ - EE Headquarters (EE),Mission-Enabling (internal agency support) ,Reduce time required to classify email records.,Neither,6/1/2023
Applications of Natural Language Processing and Similarity Measures for Similarity Ranking,EHSS HQ -  Office of Environment Health Safety & Security (EHSS),Other,"(1) Demonstrate Capabilities of AI (2) Cost savings by sharing algorithms, approaches and lessons learned of those evaluated and deployed in the ES&H DAMaL Tools.",Neither,
"Data Analytics and Machine Learning (DAMaL) Tools to enhance the analysis of Environment, Safety and Health (ES&H) data:  Classification, Robotic Process Automation and Data Visualization",EHSS HQ -  Office of Environment Health Safety & Security (EHSS),Other,"(1) Data Visualization using AI (2) Improve efficiency of obtaining insights from data (e.g., ES&H data)",Safety-impacting,
"Data Analytics and Machine Learning (DAMaL) Tools for Analysis of Environment, Safety and Health (ES&H) data:  Similarity Based Information Retrieval",EHSS HQ -  Office of Environment Health Safety & Security (EHSS),Other,"(1) Searching for Information using AI (2) Improve efficiency of finding relevant data (e.g., ES&H data)",Safety-impacting,
"Data Analytics and Machine Learning (DAMaL) Tools to enhance the analysis of Environment, Safety and Health (ES&H) data:  Unsupervised Machine Learning Text Clustering",EHSS HQ -  Office of Environment Health Safety & Security (EHSS),Other,"(1) Grouping Reports using AI (i.e., Clustering) (2) Improve efficiency of grouping and highlighting important data (e.g., ES&H data)",Safety-impacting,
Network Security and Analysis,IM-60 - IM Enterprise Operations and Shared Services (IM),Mission-Enabling (internal agency support) ,"Vectra AI is a Structured and Unstructured machine learning (ML) and  Security -Led Artifical Intelligence (AI) tool used to detect patterns, anomalous or previously unseen activities inside petabytes of network and log data within the DOE HQ EITS networking boundary and cloud environments.",Neither,
Fast AI for real-time/online diagnostics and calibration; AI-based autonomous system control/operation optimization (including anomaly/failure detection),SLAC - SLAC National Accelerator Laboratory (SC43 OIM),Science & Space,"AI/ML to improve efficiency and quality of accelerator-based scientific user facility operation, including for light sources. Benefits include higher science throughput in scientific user facilities, greater energy efficiency, new scientific capabilities at Office of Science user facilities.
",Neither,
"AI for system design optimization (e.g., detector, accelerator)",SLAC - SLAC National Accelerator Laboratory (SC43 OIM),Science & Space,"AI/ML models a relatively small data sets in a high dimensional parameter space and provides accurate predictions of future data points. The prediction capability in turn improves the convergence efficiency of the optimization algorithm, which is used for time consuming design optimization.
",Neither,
PARSGPT,PM HQ -  Office of Project Management (PM),Mission-Enabling (internal agency support) ,The value-add is derived from providing an accessible way for PM Analysts to safely interact with LLM technology.,Neither,
