use_case_id_2024,agency_abbreviation,use_case_name,verdict_is_generative_ai,verdict_ai_sophistication,verdict_deployment_scope,verdict_entry_type,verdict_tool,notes,auditor_confidence
34168,DHS,Port of Entry Risk Assessments,correct,correct,correct,correct,correct,Risk assessment ML pipeline on trade/travel data. No product named. All tags align.,high
34184,DHS,ERNIE,correct,correct,correct,correct,correct,"Radiation portal ML model, classical pattern. is_cots=1 but no vendor name in narrative — tool blank is acceptable.",high
34189,DHS,Cyber Threat Analysis (Recorded Future),correct,correct,correct,incorrect,missing,"Recorded Future is named in use_case_name — this is a commercial product deployment, not custom_system. tool_product_name should be 'Recorded Future'. entry_type incorrect.",high
34190,DHS,Vault Access Log (SPVAA),correct,off_by_one,correct,correct,correct,Narrative explicitly says 'facial matching technologies' — computer_vision is a better fit than classical_ml. off_by_one.,high
34192,DHS,CISAChat,correct,correct,correct,correct,correct,"Internal GenAI RAG chatbot, clearly LLM. All tags align.",high
34198,DHS,Advanced Network Anomaly Alerting,correct,correct,correct,correct,correct,Probabilistic anomaly detection pipeline. Classical ML pattern. All tags align.,high
34210,DHS,Commercial Generative AI for Image Generation,correct,off_by_one,correct,correct,correct,"Image generation GenAI — technically computer_vision/diffusion, but general_llm is used for GenAI broadly. off_by_one rather than incorrect. Department scope and generic_use_pattern correct.",medium
34216,DHS,Recovery and Resilience Resource (RRR) Portal,correct,correct,correct,correct,correct,LLM smart-matching wizard for federal resources. Clearly generative. Bureau (FEMA) scope correct. custom_system defensible for planned in-house LLM.,high
34244,DHS,Mobile Device Analytics for Investigative Data,correct,correct,correct,correct,correct,Geo-location clustering ML. Classical pattern. All tags align. (rag_pipeline architecture flag is suspicious but not in audit scope.),high
34333,DOC,FirstNet Authority Communications Topaz Labs Photo Editing,correct,correct,correct,correct,missing,Topaz Labs is a named commercial AI product in the use_case_name. tool_product_name is blank — should capture 'Topaz Labs'. Marking verdict_tool=missing.,high
34337,DOC,WAWENETS,correct,correct,correct,correct,correct,No narrative text. WAWENETS is a known NTIA waveform quality model — classical_ml is reasonable domain knowledge. All tags correct by default (cannot contradict).,low
34347,DOC,Coral Reef Watch,correct,correct,correct,correct,correct,Remote sensing + prediction. computer_vision and pilot scope correct.,medium
34358,DOC,AI Total Precipitable Water estimation,correct,correct,correct,correct,correct,Minimal narrative. Water estimation model → predictive_analytics and pilot correct.,low
34440,DOE,high level synthesis for machine learning (hls4ml),correct,off_by_one,correct,correct,correct,"hls4ml implements ML in embedded hardware — spans prediction, compression, control. predictive_analytics is narrower than the actual use; classical_ml might be more accurate. off_by_one.",medium
34448,DOI,DOIChatGPT AI Chatbot,correct,correct,correct,correct,correct,"Bespoke LLM chatbot on Azure. Govchat/APIM are infrastructure, not AI product names. tool blank is defensible. All tags correct.",high
34457,DOI,CESU project to detect of bird nests using deep learning to support annual colonial bird monitoring,correct,correct,correct,correct,correct,Object detection CV model for bird nests. computer_vision and custom_system correct.,high
34481,DOI,Data Driven Sub-Seasonal Forecasting of Temperature and Precipitation,correct,correct,correct,correct,correct,Sub-seasonal forecasting ML. predictive_analytics and pilot scope correct.,high
34546,DOI,Predicting inundation dynamics of small forested wetlands,correct,correct,correct,correct,correct,Random forest predictive model for wetland hydrology. All tags correct.,high
34547,DOI,Hydrograhy feature extraction from remotely sensed data,correct,off_by_one,correct,correct,correct,Narrative describes ML on elevation+imagery data to predict hydrography. computer_vision is defensible but predictive_analytics is equally valid. off_by_one.,medium
34576,DOI,Machine Learning Image Classification,correct,off_by_one,correct,correct,correct,Random forest ML classifying wetlands/soil moisture — classical_ml or predictive_analytics fits as well as computer_vision. The PLACE project uses satellite imagery so CV is defensible. off_by_one.,medium
34586,DOI,Shoreline modeling,correct,off_by_one,correct,correct,correct,"Uses LSTM, CNN, Transformers for shoreline prediction. CNN justifies computer_vision but the primary task is predictive_analytics. off_by_one.",medium
34591,DOI,Coastal Ecosystem Prediction System,correct,correct,correct,correct,correct,Multi-model ensemble for coastal predictions. predictive_analytics correct.,high
34602,DOI,Data-driven approaches to filling missing time-series data within the San Francisco Bay-Delta,correct,correct,correct,correct,correct,Gap-filling in time-series water quality data using ML/DL. predictive_analytics correct.,high
34616,DOI,Machine Learning Applied to Geotechnical Engineering: Statistical Methods Applied to Seismic Analysis 1,correct,correct,correct,correct,correct,Soil liquefaction prediction ML. predictive_analytics and custom_system correct.,high
34667,DOL,SnagIT,correct,correct,correct,correct,correct,SnagIt by TechSmith is named in use_case_name and text. OCR = computer_vision. tool correct. is_generative_ai=0 defensible despite minor generative output features.,high
34673,DOL,Periscope Mobile App,correct,correct,correct,correct,correct,Periscope discontinued Twitter app. product_feature and classical_ml correct for recommendation system. tool=Periscope/Twitter in narrative.,medium
34707,EPA,Machine learning-assisted literature screening,correct,correct,correct,correct,correct,ML text relevance ranking for literature screening. nlp_specific and custom_system correct.,high
34725,GSA,ServiceNow Virtual Agent (Curie),correct,correct,correct,correct,correct,ServiceNow ML-based NLU chatbot. nlp_specific and product_deployment correct. Tool correctly identified.,high
34748,HHS,Ask HR Policy,correct,correct,correct,correct,correct,RAG LLM for HR policy Q&A. Clearly generative. Bespoke application correct. No specific LLM vendor named in narrative.,high
34805,HHS,ChatCDC - CDC Enterprise Generative AI Chatbot (Ideation),correct,correct,correct,correct,correct,"Azure OpenAI explicitly named in outputs text. tool_product_name=Azure OpenAI, vendor=Microsoft/OpenAI. All tags correct.",high
34829,HHS,Central Data Abstraction Tool-Modernized (Modernized-CDAT)- Intake Process Automation (PA) Tool,correct,off_by_one,correct,correct,correct,"NLP, OCR, ML automation for medical records. computer_vision captures OCR but nlp_specific also fits the text processing. off_by_one. bespoke_application correct after wave3 fix.",medium
34839,HHS,MSP Assignment Bot,correct,off_by_one,correct,correct,correct,BOT for automated case retrieval and assignment — reads like RPA more than classical_ml. The narrative lacks ML vocabulary. off_by_one is charitable; could be incorrect.,medium
34866,HHS,Improved Data Quality Checks,correct,correct,correct,debatable,correct,"Narrative says 'develop a POC classifier model' suggesting in-house build, but tagged product_deployment. No vendor named. entry_type is debatable — bespoke_application might fit better.",medium
34879,HHS,News from commercial publisher such as Google News,correct,correct,correct,incorrect,missing,"Google News is explicitly named in use_case_name — this is a commercial product feature, not custom_system. entry_type should be product_feature. tool_product_name should be 'Google News'.",high
34913,HHS,AI Audit Resolution Assistant,correct,correct,correct,correct,correct,RAG LLM for audit resolution. Explicitly generative. Bespoke application with vector DB. All tags correct.,high
