use_case_id,agency,use_case_name,heuristic_label,llm_label,llm_confidence,development_type,vendor_name,llm_reasoning
7405,DHS,Smartphone Information Forensics Triage,custom_system,custom_system,low,,,no clear signals
7406,DHS,Advanced Analytics for X-ray Images (AAXI),custom_system,custom_system,low,,,no clear signals
7407,DHS,Advance RPM Maintenance Operating Reporter (ARMOR),custom_system,custom_system,low,,,no clear signals
7492,DHS,FLIR 280 HD,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,FLIR,vendor='FLIR'; weak signals overall
7495,DHS,Non-Intrusive Inspection (NII) 3D Imaging Tool,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,ThruWave,development_type='both' + vendor but no build-engineering signals — default to deployment
7496,DHS,Hazard Mitigation Assistance Chatbot,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Ideation,vendor='Ideation'; weak signals overall
7500,DHS,Babel,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Babel Street,development_type='both' + vendor but no build-engineering signals — default to deployment
7501,DHS,Passive Body Scanner,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,ThruVision TAC 16,vendor='ThruVision TAC 16'; weak signals overall
7502,DHS,CBP Translate,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,"Aneesh Technologies, 24X7, Ellumen Inc., Deloitte, NiyamIT","vendor='Aneesh Technologies, 24X7, Ellumen Inc., Deloitte, NiyamIT'; weak signals overall"
7506,DHS,Supervised Traveler Identity Verification Services (Officer Initiated),bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,"CBP procured mobile devices (Apple, Samsung) commercial off the shelf cameras (Logitech)","vendor='CBP procured mobile devices (Apple, Samsung) commercial off the shelf cameras (Logitech)'; weak signals overall"
7507,DHS,Semi-Supervised Traveler Identity Verification Services (Traveler Initiated),bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,NEC,vendor='NEC'; weak signals overall
7508,DHS,3rd Party Traveler Identity Verification Services,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,NEC,vendor='NEC'; weak signals overall
7509,DHS,Traveler Self-Service Mobile Identity Verification,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,NEC (algorithm only),vendor='NEC (algorithm only)'; weak signals overall
7510,DHS,Traveler Identity Verification Services (Vetting),bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,NEC,'both' but text reads deployment-only with 1 deploy-signal(s)
7514,DHS,CBP Link,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,IProov,vendor='IProov'; weak signals overall
7517,DHS,ERNIE,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,"Countering Weapons of Mass Destruction, Department of Homeand Security","vendor='Countering Weapons of Mass Destruction, Department of Homeand Security'; weak signals overall"
7518,DHS,Unified Processing/Mobile Intake,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,NEC (Nippon Electric Company),vendor='NEC (Nippon Electric Company)'; weak signals overall
7525,DHS,AI-Assisted Resume Screening Tool,bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,AIS,'both' but text reads deployment-only with 1 deploy-signal(s)
7526,DHS,Mobile Fortify,bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,NEC is the third‑party vendor CBP uses. ICE accesses these capabilities through CBP and does not contract directly with NEC.,'both' but text reads deployment-only with 1 deploy-signal(s)
7531,DHS,PreCheck Touchless Identity Solution,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,"CBP TVS, NEC Algorithm","vendor='CBP TVS, NEC Algorithm'; weak signals overall"
7532,DHS,Text Analytics Data Science Sentence Similarity Model,bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,Inadev,'both' but text reads deployment-only with 1 deploy-signal(s)
7534,DHS,Verification Match Model,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,IBM,vendor='IBM'; weak signals overall
7535,DHS,I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation),bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Pluribus Digital,vendor='Pluribus Digital'; weak signals overall
7536,DHS,Person-Centric Identity Services Deduplication Model,bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,MetroIBR,'both' but text reads deployment-only with 1 deploy-signal(s)
7538,DHS,The Advanced Trade Analytics Platform (ATAP),bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,"Elder Research Inc, DevTech Systems Inc., Guidehouse","vendor='Elder Research Inc, DevTech Systems Inc., Guidehouse'; weak signals overall"
7542,DHS,Entity Resolution,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Altana,development_type='both' + vendor but no build-engineering signals — default to deployment
7543,DHS,Process Efficiency Traveler Identity for Airline Check-in and Bag Drop,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,NEC,vendor='NEC'; weak signals overall
7544,DHS,Customs Broker License Exam - Proctor Support,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,PDRI,development_type='both' + vendor but no build-engineering signals — default to deployment
7546,DHS,Automated Item of Interest Detection,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Matroid,vendor='Matroid'; weak signals overall
7547,DHS,Vessel Detection,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,JHU APL,vendor='JHU APL'; weak signals overall
7548,DHS,Vault Access Log (SPVAA),bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,NEC,vendor='NEC'; weak signals overall
7553,DHS,Investigative Prioritization Aggregator,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Sandia National Laboratories,vendor='Sandia National Laboratories'; weak signals overall
7562,DHS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Pluribus Digital,vendor='Pluribus Digital'; weak signals overall
7563,DHS,Automated Name and Date of Birth (DOB) Harvesting Service,bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,SAIC and DV United,'both' but text reads deployment-only with 1 deploy-signal(s)
7564,DHS,ELIS Card Photo Validation Service,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,SAIC and DV United,vendor='SAIC and DV United'; weak signals overall
7566,DHS,User Entity and Behavior Analytics (UEBA) for Security Operations (SecOps) Anomaly Identification,bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,Gurucul,'both' but text reads deployment-only with 1 deploy-signal(s)
7567,DHS,Person-Centric Identity Services Information Compilation Check,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,MetroIBR,vendor='MetroIBR'; weak signals overall
7568,DHS,CBP Careers Bot - Leo,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Salesforce Einstein,development_type='both' + vendor but no build-engineering signals — default to deployment
7569,DHS,CBP Employee Experience,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Medallia,development_type='both' + vendor but no build-engineering signals — default to deployment
7570,DHS,Position Description Generation and Evaluation,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Starlo and Deloitte,vendor='Starlo and Deloitte'; weak signals overall
7573,DHS,GenAI for Document Summarization and Content Generation,bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,"Meta, OpenAI, Google, Anthropic",'both' but text reads deployment-only with 1 deploy-signal(s)
7580,DHS,Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,"Nightwing Intelligence Solutions, LLC. Procurement Instrument ID affiliated with this use case: 70QS0124C00000002","vendor='Nightwing Intelligence Solutions, LLC. Procurement Instrument ID affiliated with this use case: 70QS0124C00000002'; weak signals overall"
7581,DHS,OCFO Response Augmentation Suite,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Microsoft (OpenAI Azure Commercial Cloud offerings),vendor='Microsoft (OpenAI Azure Commercial Cloud offerings)'; weak signals overall
7582,DHS,OCFO Code Assist GPT,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Microsoft (OpenAI part of Azure Commercial Cloud offerings),vendor='Microsoft (OpenAI part of Azure Commercial Cloud offerings)'; weak signals overall
7593,DHS,Normalization Services,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Booz Allen,vendor='Booz Allen'; weak signals overall
7595,DHS,ESEC Inquiry (STORM) Summarization,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Microsoft,vendor='Microsoft'; weak signals overall
7596,DHS,AdaptiveMFA,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,Okta,development_type='both' + vendor but no build-engineering signals — default to deployment
7605,DHS,ELIS Evidence Classifier Service,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,SAIC and DV United,vendor='SAIC and DV United'; weak signals overall
7606,DHS,Intelligent Document Processing (IDP) for I-539 Form Digitization,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,CGI Federal under the Records Management Support Services (RMSS); Hyperscience - IDP software OEM,development_type='both' + vendor but no build-engineering signals — default to deployment
7607,DHS,PDF Intake (PDFI) for myUSCIS,bespoke_application,product_deployment,medium,c) Developed with both contracting and in-house resources,Analytica and DV United,'both' but text reads deployment-only with 1 deploy-signal(s)
7608,DHS,AI Interview Simulator for Officer Training,bespoke_application,product_deployment,low,c) Developed with both contracting and in-house resources,"Steampunk, Customer Value Partners LLC (CVP) and Alpha Omega Integration (AOI)","vendor='Steampunk, Customer Value Partners LLC (CVP) and Alpha Omega Integration (AOI)'; weak signals overall"
7866,DOE,AI for Operations Center,custom_system,custom_system,low,Developed in house,,no clear signals
7867,DOE,Natural Language Processing,custom_system,custom_system,low,,,no clear signals
7868,DOE,DOE AI Data Infrastructure System,custom_system,custom_system,low,,,no clear signals
