canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets
ACCRETE ARGUS,ACCRETE AI Government,supply_chain,0,0,,,1,1,"product_queue_review_2026-06: ""ACCRETE AI Government ARGUS ... ARGUS AI Supply Chain Influence"" -- catalog ACCRETE ARGUS."
AIS Resume Screening Tool,AIS,document_ai,0,0,,,1,1,product_queue_review_2026-06: vendor_name 'AIS' on an 'AI-Assisted Resume Screening Tool' - matches catalog 'AIS Resume Screening Tool'.
ARANZ Silhouette Wound Imaging,ARANZ Medical,clinical_decision_support,0,0,,,1,1,via add_product
Abbott OPTIS Imaging,Abbott,clinical_decision_support,0,0,,,1,1,via add_product
Abridge Ambient Scribe,Abridge,transcription,1,0,,,1,1,abridge ambient scribe
Adobe,Adobe,productivity,0,0,,,7,6,adobe | Adobe | Adobe
Adobe Creative Cloud Suite,Adobe,productivity,1,0,Adobe,,4,4,Adobe Suite Applications | adobe | Adobe
Adobe Firefly,Adobe,computer_vision,1,0,Adobe Creative Cloud Suite,Image generation,7,7,Adobe Firefly | Adobe Firefly | Adobe Firefly
Adobe Photoshop,Adobe,computer_vision,1,0,Adobe Creative Cloud Suite,Image editing with generative fill and other AI features,5,4,Photoshop | Adobe Photoshop | adobe photoshop
Adobe Premiere Pro,Adobe,media_analysis,1,0,Adobe Creative Cloud Suite,,2,2,Adobe | Adobe
Adobe Sensei,Adobe,general_llm,1,0,Adobe Creative Cloud Suite,,1,1,adobe sensei
Trunet Biometrics,Advanced Technologies Group,biometrics,0,0,,Advanced Technologies Group Trunet biometric capture and matching system.,1,1,Trunet Systems
Truview,Advanced Technologies Group,data_analytics,0,0,,,1,1,Truview
Agfa DR 800 MUSICA,Agfa HealthCare,clinical_decision_support,0,0,,,1,1,via add_product
AgileMD eCART,AgileMD,clinical_decision_support,0,0,,,1,1,agilemd ecart
Aidoc BriefCase,Aidoc,clinical_decision_support,0,0,,,1,1,aidoc briefcase
ARC Travel Intelligence,Airlines Reporting Corporation,investigative_data,0,0,,ARC's Travel Intelligence Program provides commercial air travel data analytics used for law-enforcement and investigative work.,1,1,Airlines Reporting Corporation Travel Intelligence Program
Airship AI Platform,Airship AI Holdings Inc.,computer_vision,0,0,,,3,2,Unmanned Aerial Systems (UAS) | unmanned aerial systems (uas) | product_queue_review_2026-06: 'Airship ... Outpost uses machine learning to identify the type of conveyance' - Outpost is an Airship AI edge product; catalog carries only the platform-level entry 'Air
Airtable AI,Airtable,productivity,1,0,,Airtable's embedded AI (OpenAI-backed) for low-code databases,2,1,airtable's ai | airtable ai
Alation Data Catalog,Alation,data_catalog,0,0,,,1,1,Alation Data Catalog
Altana Atlas,Altana,supply_chain,0,0,,,2,1,Altana  Entity Resolution | Altana  Entity Resolution for Global Trade Data
Alteryx,Alteryx,ml_platform,1,0,,Self-service analytics platform with embedded AI,3,2,Alteryx | Alteryx | Alteryx
AWS Bedrock,Amazon,general_llm,1,1,Amazon Web Services,Amazon's managed foundation model service,13,9,Amazon Bedrock | AWS Bedrock | AWS Bedrock
AWS Kendra,Amazon,search,0,0,Amazon Web Services,,2,2,AWS Kendra | Amazon
AWS Lex,Amazon,nlp,0,0,Amazon Web Services,,3,3,Lex Natural Language Interface | Amazon | Amazon
AWS Rekognition,Amazon,computer_vision,0,0,Amazon Web Services,,3,3,"aws rekognition | Amazon | User uploads a DICOM image, which is converted and passed to the AWS Rekognition service. Output is a JSON block with predictions on the location of text within an image"
AWS Textract,Amazon,computer_vision,0,0,Amazon Web Services,Amazon's document text-extraction / OCR service,4,4,aws textract | Amazon | Amazon Textract
AWS Transcribe,Amazon,nlp_specific,0,0,Amazon Web Services,Speech-to-text service,3,2,AWS Transcribe | Amazon | aws transcribe
Amazon Alexa,Amazon,nlp,0,0,Amazon,Amazon's voice assistant platform supporting custom skills and voice-driven applications.,1,1,Amazon Alexa Skill
Amazon CodeWhisperer,Amazon,coding_assistant,1,0,Amazon Q,Amazon's AI coding assistant,1,1,aws codewhisperer
Amazon Comprehend,Amazon,nlp,0,0,Amazon Web Services,,1,1,Amazon
Amazon Q,Amazon,general_llm,1,1,Amazon Web Services,Amazon's enterprise AI assistant,12,8,q developer | Amazon Q | q business
Amazon SageMaker,Amazon,ml_platform,0,0,Amazon Web Services,,1,1,amazon sagemaker
Amazon Web Services,Amazon,cloud_platform,0,0,Amazon,,13,9,amazon web services | Amazon | Amazon Web Services
AWS Translate,Amazon Web Services,translation,1,0,Amazon Web Services,Amazon's neural machine translation service for translating text between languages.,1,1,AWS Translate
