canonical_name,verdict,categories,gen_ai,confidence,reason
FS Pro,confirm,none,0,low,Productivity tool with no evidenced capability; the gen-AI hint alone is insufficient per hints discipline.
FTC Sentinel Analytic Sandbox,confirm,none,0,low,Analytics sandbox environment with no described AI capability class.
FTC Sentinel Developer Productivity,confirm,assistant,1,medium,Code-quality/developer-productivity AI embedded in developer workflow fits assistant.
FTC Sentinel Graph Analytics,confirm,none,0,low,Graph/link analytics over complaints maps to no vocabulary category.
Federal Docket Management System,confirm,none,0,low,Docket management system with no evidence of OCR or other vocabulary capability despite the document_ai type.
FirstTwo,confirm,none,0,low,Geospatial OSINT aggregation for lookups is not a vocabulary capability.
Flashpoint,confirm,none,0,low,Threat-intelligence data platform; security intel analytics does not qualify per the CrowdStrike rule.
GAIA AI,confirm,vision,0,low,Computer-vision product per type and name; thin detail justifies low.
GE Healthcare EchoPAC,confirm,vision,0,medium,Automated echocardiogram measurement is medical imaging AI in the vision class.
Gemini,confirm,genai_platform|assistant,1,high,Matches the rubric worked example for Gemini exactly.
Genesys Cloud CX,confirm,chatbot|assistant,1,medium,Contact-center bots plus agent-assist copilot supports both labels.
Ginnie Mae Automated Draft Narrative Reports,confirm,nlp,0,low,Template/analysis-driven NLG reading is plausible on thin evidence; nlp with gen_ai=0 at low stands.
Ginnie Mae Subledger Data Quality ML,confirm,none,0,low,Financial data-quality ML has no vocabulary category.
GitHub Copilot,confirm,assistant,1,high,Rubric-listed assistant example.
Glassbeam Clinsights,confirm,none,0,low,Device machine-data analytics fits no category.
Google,confirm,none,0,low,Bare vendor placeholder with no identifiable product.
Google Agentspace,confirm,search|assistant,1,medium,Agentic enterprise search over org data grounded in Gemini fits search plus assistant.
Google Chrome Generative AI,confirm,assistant,1,medium,Embedded in-browser generative writing/help features are a copilot not a platform.
Google Cloud Platform,confirm,ml_platform|genai_platform,1,low,Umbrella entry credibly covering Vertex-hosted ML and generative models; low is right for the breadth.
Google Distributed Cloud,correct,genai_platform,1,low,Snippets pair it with OpenAI models it hosts on-prem; hosting/serving generative models meets the genai_platform definition even for an infra product.
Google News Brief,confirm,nlp,1,low,Generative news summarization sits in nlp with the gen_ai flag per the rubric.
Google Pixel,confirm,vision,1,low,Face Unlock biometrics is vision; generative photo editing carries gen_ai=1.
Google Vertex AI,confirm,ml_platform|genai_platform,1,high,Data-science platform that also serves generative models; textbook dual label.
Google Workspace,confirm,none,0,low,Suite itself has no capability; Gemini assistant is catalogued separately.
Grammarly,confirm,assistant,1,high,Writing assistant embedded in user workflows with generative compose.
GrantSolutions,confirm,none,0,low,Grants-management platform with no evidenced capability; AI features are separate catalog entries.
GrantSolutions AI Writing Assistant,confirm,assistant,1,high,Generative writing assistant embedded in the GrantSolutions workflow.
GrantSolutions Helpdesk Agent,correct,chatbot,1,medium,A helpdesk support virtual agent is the task-specific dialog product class (chatbot) rather than a workflow copilot.
GrantSolutions Recipient Risk Tool,confirm,none,0,low,Risk-scoring analytics maps to no vocabulary category.
Grok,confirm,genai_platform,1,high,General-purpose LLM chat/API surface.
H2O GPTe,confirm,genai_platform,1,high,h2oGPTe is a rubric-listed genai_platform example.
HHS FITARA Tool,confirm,doc_processing,0,low,Capability inferred only from the document_ai type; low confidence is the honest treatment.
HRSA AI Audit Resolution Assistant,confirm,assistant,1,medium,AI assistant on UiPath resolving audits within a workflow.
Harvey,confirm,assistant,1,high,Domain-specific generative legal assistant.
HealthData.gov AI Harvest Service,confirm,nlp,0,low,Metadata harvesting/classification of datasets is text analytics; generative use unproven.
