use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34225,agentA,bespoke_application,0,nlp_specific,bureau,medium,"Cites 'real-time communication/translation services' for LEP noncitizens; contracted speech/text NLP, not generative.",,,0,,,,,,,,,0,inference_only,,mission_critical,,ICE
34253,agentA,custom_system,0,classical_ml,bureau,medium,Narrative emphasises 'anomaly detection' and 'risk identification and disease prediction' on geospatial data — classical ML.,,,,,,,,,,,,0,unknown,,mission_critical,,OHS
34257,agentA,bespoke_application,0,nlp_specific,department,high,"Performs 'topic modeling, sentiment analysis' on Pulse Survey responses — NLP, in-house built.",,,0,,,,,,,,,0,inference_only,,administrative,,DHS HQ
34315,agentA,custom_system,0,classical_ml,bureau,high,Two ML models 'BEACON and SINCT' classify NAICS/NAPCS codes — predictive classification.,,,0,,,,,,,,,0,inference_only,,mission_critical,,Census Bureau
34353,agentA,generic_use_pattern,1,general_llm,bureau,low,'Promptly analyze cybersecurity architecture' and 'documentation generation' suggest LLM-assisted security workflow.,,,,,,,,,,,,0,inference_only,,cybersecurity,,NOAA
34431,agentA,bespoke_application,1,general_llm,bureau,high,Explicitly 'leverages Retrieval-Augmented Generation' where an 'LLM summarizes for the end user' over GDR catalog.,,,0,,,,,,,,,0,rag_pipeline,,mission_critical,1,NREL
34432,agentA,bespoke_application,0,nlp_specific,office,medium,"Aim is to 'tag 100,000 Energy.gov webpages' — classical topic modeling, not generative.",,,,,,,,,,,,0,inference_only,,administrative,,Office of Public Affairs
34600,agentA,custom_system,0,computer_vision,bureau,high,'Geospatial artificial intelligence methods to map annual land cover' — in-house deep-learning CV for remote sensing.,,,0,,,,,,,,,0,custom_trained,1,mission_critical,,USGS
34668,agentA,product_feature,1,general_llm,team,medium,Narrative names 'MetaAI offer search and chatbot assistance' as embedded Facebook feature DOL cannot disable.,,,1,Meta AI,Meta,,,,,,,0,inference_only,,administrative,1,DOL OCIO
34704,agentA,custom_system,0,classical_ml,department,high,'Machine learning model predicts records schedules' — straightforward in-house classifier.,,,0,,,,,,,,,0,inference_only,,administrative,,EPA
34711,agentA,custom_system,0,predictive_analytics,office,medium,'Risk scoring (Ranking from lowest to highest risk) for NPDES facilities' — predictive analytics scoring model.,,,,,,,,,,,,0,inference_only,,mission_critical,,EPA OECA
34722,agentA,product_deployment,0,nlp_specific,department,medium,"'Document repository by Tanjo (tanjo.ai)' for AI-assisted discovery — purchased COTS, retired.",,,1,Enterprise Brain,Tanjo,,,,,,,0,inference_only,,administrative,,GSA
34840,agentA,product_feature,0,classical_ml,bureau,medium,"Describes 'native Salesforce AI capabilities' for recommender/sentiment in RECON, currently disabled.",,,1,Salesforce Einstein,Salesforce,,,,,,,0,inference_only,,administrative,,CMS
34858,agentA,bespoke_application,0,nlp_specific,office,medium,"Will 'normalize labor categories' across proposals — text similarity / NLP normalization, not generative.",,,,,,,,,,,,0,inference_only,,administrative,,CMS OAGM
35011,agentA,custom_system,0,classical_ml,bureau,high,'Identify data inconsistencies and exceptions' in MSS transactions — anomaly detection ML.,,,,,,,,,,,,0,inference_only,,mission_critical,,Ginnie Mae
35019,agentA,custom_system,0,classical_ml,bureau,high,"'Planning and scheduling applications' framework for mission ops — classical AI planning, not generative.",,,0,,,,,,,,,0,inference_only,,mission_critical,,JPL
