agency,use_case_name,verdict,final_is_general_llm_access,final_is_generative_ai,confidence,reasoning
HHS,AI Assist,set_genai,1,1,high,"Broad task list ('assistance with writing, filling out forms, creating presentations, spreadsheets') spans many workflows, indicating general-purpose chat-style assistance rather than a narrow pipeline."
HHS,AI DevOps - Improving Development and CI/CD Operations,clear_llm_access,0,1,medium,"AI code review confined to the CI/CD pipeline ('detecting bugs, security vulnerabilities... deviations from coding standards') is a coding-only tool, not broad chat access."
HHS,AI Editing Tool,clear_llm_access,0,0,medium,"Narrow style/formatting QC against one style guide ('AI-identified style and formatting issues') is detection/flagging, not open-ended generation or broad access."
HHS,AI Harvest Service,clear_llm_access,0,1,medium,"Metadata-harvesting pipeline ('normalizing descriptions, creating concise summaries, and tagging data assets') is a single workflow, but the summaries/tags it drafts are generated text."
HHS,AI Language Translation Support in Smartling,clear_llm_access,0,1,medium,"Embedded translation feature inside Smartling ('Suggestion' output) is scoped to one workflow, but machine translation is itself a generative task."
HHS,AI Search in Google Vertex (discovery),clear_llm_access,0,0,low,Narrow discovery search tool for one CMS site; narrative too thin ('Improved search'/'Suggestions') to confirm it generates prose versus surfacing results.
HHS,AI Web Content Search Engine Optimization (SEO) in Drupal,clear_llm_access,0,0,medium,"SEO keyword optimization embedded in Drupal is a single-workflow tool producing suggestions, not generated content."
HHS,"AI identification of ""High-Risk"" Health Centers",clear_llm_access,0,0,high,"Predictive analytics/risk modeling ('predictive analytics and risk modeling to generate a prioritized list') is classical scoring, not generative or chat-style."
HHS,AI in Figma Make,clear_llm_access,0,1,medium,"Figma Make is a design-prototyping tool embedded in one app ('Rapid prototyping'), narrow by workflow though the prototypes it produces are AI-generated."
HHS,AI-Enhanced Journal Clubs,clear_llm_access,0,0,medium,"Recommends journal articles for one recurring event ('Recommended journal articles') — a narrow recommender output, not generated prose."
HHS,AI-Generated Pre-Briefs for MAG Hearings and AIRC Sessions,clear_llm_access,0,1,medium,"Compiles structured case pre-briefs for one hearing workflow ('standardized, data-rich case summary'), narrow but it genuinely generates the summary text."
HHS,AI-assisted Platform for Clinical Pharmacology Review,clear_llm_access,0,1,medium,"Scoped to 'selected task groups for clinical pharmacology review' with AI-assisted answers — a single review workflow, though it generates draft answers."
HHS,AI-enabled User Support and Impact Monitoring,clear_llm_access,0,1,medium,"Chatbot scoped to one dataset (DSLD) for user support/impact monitoring, not broadly available — but its chatbot answers are generative."
HHS,AI-generated podcast describing recent advances in methods for analysis of RNA-seq data,clear_llm_access,0,1,high,"One-off content generation ('AI-generated podcast episode synthesizing information from several recent publications') for a single deliverable, not broad chat access."
HHS,ASSIST Tool,clear_llm_access,0,1,medium,"Strategic-alignment analysis tool scoped to one team's operational review ('analysis and recommendations based off of stated operational achievements'), narrow workflow that drafts text."
HHS,Annual Report CMC,clear_llm_access,0,0,high,Deloitte CDEROne document-extraction pipeline ('Support information extraction from unstructured documents') pulls structured facts; it does not generate new content.
HHS,Artificial Intelligence Use Case Pilot in Medical Review on Medicare Fee-For-Service (FFS) Improper Payment Measurement (Comprehensive Error Rate Testing Program) Data,clear_llm_access,0,0,medium,"Scoped to the CERT medical-review workflow producing a 'Recommendation' — narrow decision support, not broad chat or clearly generative output."
HHS,Assessing public comment responses to draft NIOSH wildland fire smoke document,clear_llm_access,0,0,high,"Agency's own classification is NLP, not Generative AI, and the tool synthesizes one document's public comments — a single-document task, not broad access."
HHS,Assist in research on the association between hearing loss and dementia for the NIDCD EARssentials hot topic presentation,clear_llm_access,0,1,medium,"Framed as one person's ('my understanding') aid for a single presentation topic — a one-off use, not broadly available access — though the explanation it produces is generative."
HHS,Auto-Suggest Journal Tool,clear_llm_access,0,0,high,"Matches journals against multiple criteria and returns a ranked list with facts about each journal — a narrow matching/retrieval tool, not generated prose."
HHS,Automating Influenza Vaccine Virus Data Processing,clear_llm_access,0,0,high,"Extracts key phrases, recognizes text, and processes forms from PDFs — a classic OCR/extraction pipeline, not generative or broadly available."
HHS,BDC Website Search,clear_llm_access,0,1,medium,"Aretec SEARCH scoped to one website's content ('BDC website information') is narrow, but it composes natural-language answers with citations, which is generative."
HHS,CMS Chat,set_genai,1,1,high,"Conversational tool that 'generates text-based responses including drafted content for emails and reports, document summaries..., brainstormed ideas, and answers to queries' — textbook broad, arbitrary-prompt chat access."
HHS,Certification and Testing/Program Administration  AI-enabled Internal Processes,set_genai,1,1,medium,"Description spans many unrelated tasks across the certification program (surveillance analysis, meeting materials, Jira tickets, acquisition drafts, communications) via free-form drafting/summarization/retrieval — broader than one workflow."
HHS,Clinical Trial Predictor,clear_llm_access,0,0,high,"Predicts whether a grant application involves a clinical trial from its text — a text classifier, not generative or chat-style despite the general_llm tag."
HHS,Document summarization,keep_current,1,0,low,"Retired use case with no problem statement, benefits, or outputs populated, and ai_sophistication is tagged classical_ml (contradicting the general_llm label) — too thin to adjudicate confidently."
HHS,Driving Efficiency and Expansion of Dietary Supplement Label Database Data through AI,clear_llm_access,0,0,medium,"Automated sourcing/QA pipeline measured by 'increased number of monthly sourced labels' — a narrow data-acquisition tool, not generative chat."
HHS,Executive Order Gap Analysis Tool,clear_llm_access,0,1,medium,Reviews Executive Orders against CMS requirements for one compliance workflow ('Provides recommendations and gap analysis') — narrow but genuinely generates the analysis.
HHS,Generating Metadata for Web Archive Resources,clear_llm_access,0,1,high,"Single-purpose pipeline that produces 'draft metadata about archived web resources' — narrow workflow, clearly generative output."
HHS,HIVE AI Pilot,clear_llm_access,0,1,medium,"Embedded in the HIVE IND-review system for one workflow ('review discipline recommendations,' 'summaries'), narrow but its summaries are generated."
HHS,HRSA Fact Sheets,clear_llm_access,0,1,high,"Single-purpose pipeline generating public-facing 'Program Fact Sheets' — a narrow, non-chat content-generation tool, but clearly generative."
HHS,ITAC SOP Chat,clear_llm_access,0,1,medium,"Aretec SEARCH scoped to one document set (ITAC SOP/policy/as-built docs) is narrow, but it produces natural-language answers with citations — generative."
HHS,Knowledge Management Solution,clear_llm_access,0,1,medium,"Teams-embedded knowledge base for one program's institutional knowledge ('contextual answers and recommendations'), narrow scope though its answers are generated."
HHS,Leveraging AI for the Creation of Synthetic Datasets,clear_llm_access,0,1,medium,"'AI-assisted programming environment' for writing code is a coding-only tool for one project, though the code it produces is generative."
HHS,Medical records summarization,clear_llm_access,0,1,high,"Summarizes medical records for one claims-review workflow — narrow single-purpose pipeline, but clearly generative (summarization)."
HHS,Medicare AI Customer Insights,clear_llm_access,0,0,low,Public-facing customer-insights widget on one CMS platform; narrative too thin ('Improved customer insights'/'Suggestion') to confirm generative output.
HHS,Medicare AI Drug Search,clear_llm_access,0,0,low,"Aretec-powered drug search scoped to Medicare's authenticated experience — a narrow, likely retrieval-style search tool with thin narrative."
HHS,Packaging Materials and Suppliers,clear_llm_access,0,0,high,"Same Deloitte CDEROne extraction-pipeline pattern ('Support information extraction from unstructured documents') as Annual Report CMC — extraction, not generation."
HHS,Protein Modeling with AlphaFold,clear_llm_access,0,0,high,"AlphaFold is a structural-biology prediction model, not an LLM; output is 'protein structure files and...confidence/quality scores,' predictive rather than general-purpose generative AI."
HHS,QPP Admin Bot,clear_llm_access,0,0,medium,"Code-complexity assistant confined to development work ('decrease...lines of code, increase efficiency of code') is a coding-only tool with a generic 'Recommendation' output."
HHS,Real World Data/Evidence,clear_llm_access,0,0,high,"Same Deloitte CDEROne extraction-pipeline pattern for RWD/E submissions — extracts and tags, does not generate new content."
HHS,RefineAI - Enhanced Summary Statements,clear_llm_access,0,1,medium,"Scoped to correcting/merging one ORC panel's summary statements ('proposes grammatical fixes,' merged summary) — narrow workflow, but it edits/generates the merged text."
HHS,"Renamed: Module 3 Facilities Extraction
Previously: Module 3 Faculties",clear_llm_access,0,0,high,"Same Deloitte CDEROne extraction-pipeline family as Annual Report CMC/Packaging Materials — extracts facility data, does not generate content."
HHS,RepoAnalysis,clear_llm_access,0,1,medium,Aretec-powered tool scoped to summarizing undocumented code repos on EDAV ('summary of what the code repository does') — narrow but the summary is generated.
HHS,SRO Handbook Bot,clear_llm_access,0,1,medium,"Aretec SEARCH scoped to one SRO handbook ('policy and handbook searches...using semantic understanding') — narrow, but it returns 'summarized search results,' which is generative."
