use_case_id,agency,use_case_name,platform_named,vendor,deployment_environment,confidence,evidence_url,evidence_quote,notes
7497,DHS,Technical Resource for Mitigation Programs (FEMA HMA),Databricks (Mosaic),N/A,aws_govcloud_or_azure_gov,High,db_row_7497,"The HMA Mitigation Agent code executes within the Mosaic-authorized Databricks workspace and inherits all security controls documented in Mosaic's ATO.",FEMA's enterprise data fabric ('Mosaic') runs on Databricks; ATO covers grants/CUI workloads
7559,DHS,Enhanced Lead Identification and Targeting,Palantir Federal Cloud Service,Palantir,fedramp_high_il5,High,db_row_7559,system_name = 'Palantir Federal Cloud Service' / vendor 'Palantir',ICE component
7589,DHS,AI-Enhanced ICE Tip Processing,Palantir Foundry / Gotham,Palantir,fedramp_high_il5,High,db_row_7589,system_name 'Case Management & Analytics (CMA)' built on Palantir,ICE
7591,DHS,AI-Powered Developer Tools,Palantir AIP,Palantir,fedramp_high_il5,High,db_row_7591,Palantir CMA,ICE
7607,DHS,PDF Intake (PDFI) for myUSCIS,AWS Bedrock,Amazon Web Services,aws_govcloud,High,db_row_7607,"The GenAI powered library utilizes Amazon Bedrock – Anthropic Claude 3.7 Sonnet V1 Foundation Model",USCIS
7627,DHS,Report Analysis and Archive System (RAAS),Custom analytic platform,N/A,unknown,Low,db_row_7627,system_name 'RAAS' (CWMD report analysis & archive),Likely on AWS but not confirmed in row
7538,DHS,Advanced Trade Analytics Platform (ATAP),Custom analytic platform (ATAP),"Elder Research, DevTech, Guidehouse",unknown,Medium,db_row_7538,system_name 'ATAP',CBP trade analytics; vendor mix suggests cloud-hosted
7912,DOE,Databricks AI for Cloud Data Warehouse,Databricks,Databricks,unknown,High,db_row_7912,vendor='Databricks' / system='Databricks AI for Cloud Data Warehouse',PNNL Pacific Northwest National Lab
7960,DOE,DNA-P (NNSA Decision and Analytics Platform) - Pilot,Palantir Foundry,Palantir,fedramp_high_il5,High,db_row_7960,vendor='Palantir' / system='Decision and Analytics Platform (DNA-P)',NNSA HQ enterprise platform
8180,DOE,DNA-P - Deployed,Palantir Foundry,Palantir,fedramp_high_il5,High,db_row_8180,Same as above (production),NNSA
7952,DOE,LANL AI Portal,AWS (FedRAMP),Amazon Web Services,aws_govcloud,High,db_row_7952,system_name references AWS FedRAMP IaaS ATO,Los Alamos National Lab
8124,DOE,LISA Chatbot Pilot,AWS,AWS,aws_govcloud,Medium,db_row_8124,vendor 'AWS' / LLNL,Lawrence Livermore
8154,DOE,HPC OpenAI-Compatible API,On-prem HPC,Open Source,on_prem,High,db_row_8154,system_name 'api.hpc.inl.gov' (Idaho National Lab),INL HPC + OpenAI-compatible API
8164,DOE,Collaborative Machine learning platform for Scientific Discovery,Custom HPC ML platform,N/A,on_prem,Medium,db_row_8164,Brookhaven National Lab,
8169,DOE,Solid-State Electrochemical Interfaces using HPC + ML Tools,On-prem HPC,N/A,on_prem,Medium,db_row_8169,BNL HPC use,
7916,DOE,Lex Natural Language Interface,Azure + on-prem HPC,Microsoft,on_prem_plus_azure,Medium,db_row_7916,system_name 'NREL Stratus System / NREL Azure System',NREL
8205,DOE,Carbon ore data platform (NETL),Custom data platform,N/A,unknown,Low,db_row_8205,NETL,
8474,DOJ,Palantir (via state LE system access),Palantir,Palantir,fedramp_high_il5,Medium,db_row_8474,vendor 'Palantir',Limited scope
8490,DOJ,Databricks (Forecasting / predictive),Databricks,Databricks,unknown,High,db_row_8490,vendor='Databricks'; ATR economic modeling,Antitrust Division
8521,DOJ,Intelligence Data Platform (DEA),PenLink PLX (commercial intel platform),PenLink,unknown,Medium,db_row_8521,DEA intelligence data platform,Surveillance/case-mgmt vs. analyst SQL
8610,DOJ,Informatica CLAIRE,Informatica,Informatica,unknown,Medium,db_row_8610,OIG; data-quality AI,
8673,DOJ,Palantir,Palantir,Palantir,fedramp_high_il5,Medium,db_row_8673,vendor 'Palantir' (redacted component),
8684,DOJ,Knowledge retrieval and synthesis (Azure OpenAI Services),Azure OpenAI,Microsoft,azure_gov,Medium,db_row_8684,vendor=Microsoft Azure OpenAI,
8702,DOJ,Enabling eDiscovery Platform AI,eDiscovery platform,N/A,unknown,Low,db_row_8702,Civil Division,
8726,DOJ,Azure AI Foundry Platform,Azure AI Foundry,Microsoft,azure_gov,High,db_row_8726,system='Azure AI Foundry',
8642,DOJ,USTP AI Assistant,Azure AI Foundry,Microsoft,azure_gov,Medium,db_row_8642,'foundry' token (likely Azure AI Foundry),USTP component
8231,DOI,Google Vertex AI Document workbench,Google Vertex AI,Google,gcp_assured_workloads,High,db_row_8231,vendor='Google' / use case explicit Vertex AI,
8232,DOI,USGS Azure OpenAI ChatGPT,Azure OpenAI,"OpenAI, Microsoft",azure_gov,High,db_row_8232,system_name = 'Azure OpenAI',USGS
8837,DOT,PANDA Data Science Lab (FHWA Turner-Fairbank),Databricks,Databricks,unknown,High,db_row_8837,"Promote usage of AI/ML tools on Databricks platform",Confirmed by FHWA pub: Databricks-based PANDA
8865,DOT,Identification of Similar COS Events,Palantir Foundry,Palantir,fedramp_high_il5,Medium,db_row_8865,palantir+foundry tokens,FAA
8886,ED,Generative AI and Foundation Model Integration,AWS Bedrock,Amazon Web Services,aws_govcloud,High,db_row_8886,system='EDMAPS' / vendor=AWS / 'multi-vendor suite of AI tools & models',Federal Student Aid
8956,EPA,Preparation of Brownfields Success Stories,Azure OpenAI,Microsoft,azure_gov,Medium,db_row_8956,vendor='Azure OpenAI' system='AI-Work',
8963,EPA,Summarize and draft response to comments,Azure OpenAI,Microsoft,azure_gov,Medium,db_row_8963,Same AI-Work platform,
9040,FHFA,Neural Networks for FHFA Modeling Analytics Platform (FMAP),Custom analytics platform (FMAP),N/A,unknown,Medium,db_row_9040,system='FMAP',Internal modeling platform; specifics unclear
9099-9114,FTC,Consumer Sentinel Network analytics suite,Sentinel Network Services + Azure Databricks + Azure ML,"Microsoft, Leidos",azure_gov,High,db_rows_9099_to_9114,"system='Sentinel Network Services'; row 9110 Azure Databricks; row 9113 Azure ML; row 9104 Analytic Sandbox","FTC's consumer-protection analytics environment; clear analyst-accessible platform"
9150,GSA,Elastic ML Threat Detection,AWS SageMaker,Amazon Web Services,aws_govcloud,High,db_row_9150,"utilizing Elastic Machine Learning and Amazon SageMaker",GSA OCIO security analytics
9131,GSA,Content Management Analysis System Pilot,Custom platform,N/A,unknown,Low,db_row_9131,no platform detail in row,
9175-9197,HHS,ACF Discover/Horizon/Upstream/Cares (Palantir),Palantir Foundry,Palantir,fedramp_high_il5,High,db_rows_9175_to_9197,"Multiple ACF systems on Palantir (Discover/Horizon/Upstream/Cares); 'Credal' AI gateway alongside",HHS Administration for Children & Families
9210,HHS,AIP Cyber Incident Ingestion (Tiberius),Palantir AIP,Palantir,fedramp_high_il5,Medium,db_row_9210,vendor='Palantir' system='Tiberius',ASPR-adjacent
9226,HHS,NewsScape (1CDP),Palantir AIP / 1CDP,Palantir,fedramp_high_il5,High,db_row_9226,1CDP platform powers CDC NewsScape,CDC enterprise data platform
9250,HHS,1CDP SEDRIC AIP for Foodborne Outbreak Investigation,Palantir AIP / 1CDP,Palantir,fedramp_high_il5,High,db_row_9250,Same 1CDP,CDC
9316,HHS,AIP Assist (1CDP),Palantir AIP,Palantir,fedramp_high_il5,High,db_row_9316,1CDP,CDC
9317,HHS,CFA Model Studio (1CDP),Palantir Foundry/AIP,Palantir,fedramp_high_il5,High,db_row_9317,"users can develop their models locally, containerize them and deploy them using CFA Model Studio in the platform",CDC — clearest analyst BYO-model environment in entire inventory
9217-9300,HHS,EDAV (Enterprise Data Analytics & Visualization),"Azure (Synapse, OpenAI, DataFactory) + Databricks Genie",Microsoft + Databricks,azure_gov,High,db_rows_9217_to_9300+,"system='EDAV (Enterprise Data Analytics and Visualization Platform)' across 25+ CDC use cases; row 9299 explicitly 'Databricks Genie'",CDC enterprise analytics platform — Azure-based with embedded Databricks
9299,HHS,Databricks Genie for Routine Immunization,Databricks (within EDAV),Databricks,azure_gov,High,db_row_9299,"By using a Large Language Model (LLM) based approach… plain language query capability that generates code",Confirmed Databricks within EDAV
