agency,bureau_component,query,top_url,found_useful,conclusion
NSF,OLPA,"""NSF"" ""OLPA"" Office Legislative Public Affairs directorate",https://www.nsf.gov/od/olpa,yes,"OLPA = Office of Legislative and Public Affairs in NSF Office of the Director"
NSF,TIP-ITE-ENGINES,"NSF TIP directorate ""ITE"" ""ENGINES"" Regional Innovation",https://www.nsf.gov/tip/about-tip,yes,"TIP directorate; ITE = Innovation & Technology Ecosystems Division; ENGINES = Regional Innovation Engines program"
NSF,ENG/CBET,"NSF directorates ""ENG"" Engineering ""CBET"" ""BIO"" ""IOS"" ""CISE"" ""OAD""",https://www.nsf.gov/eng/cbet,yes,"CBET = Division of Chemical, Bioengineering, Environmental and Transport Systems within ENG directorate"
NSF,BIO/IOS,"NSF directorates ""ENG"" Engineering ""CBET"" ""BIO"" ""IOS"" ""CISE"" ""OAD""",https://www.nsf.gov/about/directorates-offices,yes,"IOS = Integrative Organismal Systems division within BIO directorate"
NSF,CISE/OAD,"NSF directorates ""ENG"" Engineering ""CBET"" ""BIO"" ""IOS"" ""CISE"" ""OAD""",https://www.nsf.gov/cise,yes,"CISE = directorate; OAD = Office of the Assistant Director (directorate front office)"
NSF,EDU/DRL,"NSF ""EDU"" directorate ""DRL"" ""SBE"" ""NCSES"" ""TIP"" OCIO",https://ncses.nsf.gov/pubs/ncses24210,yes,"EDU = Directorate for STEM Education (formerly EHR); DRL = Division of Research on Learning"
NSF,SBE/NCSES,"NSF ""EDU"" directorate ""DRL"" ""SBE"" ""NCSES"" ""TIP"" OCIO",https://ncses.nsf.gov/,yes,"NCSES = National Center for Science and Engineering Statistics within SBE"
NSF,OGC,"NSF ""OGC"" Office General Counsel ""OIA"" ""EAC"" Evaluation Assessment",https://www.nsf.gov/about/directorates-offices,yes,"OGC = Office of the General Counsel, direct child of NSF"
NSF,OIA/EAC,"NSF ""OGC"" Office General Counsel ""OIA"" ""EAC"" Evaluation Assessment",https://www.nsf.gov/od/oia/eac,yes,"EAC = Evaluation and Assessment Capability inside Office of Integrative Activities (OIA)"
NSF,TIP & OCIO,"NSF ""EDU"" directorate ""DRL"" ""SBE"" ""NCSES"" ""TIP"" OCIO",https://www.nsf.gov/about/directorates-offices,yes,"Compound string: TIP directorate AND OCIO. Split."
DOE,IM-60,"DOE ""IM-60"" ""Enterprise Operations and Shared Services"" org chart",https://www.energy.gov/cio/articles/ocio-organization-chart-printable-version,yes,"IM-60 is a Deputy CIO sub-unit inside DOE OCIO; internal shared services - skip"
DOE,EHSS HQ,"DOE ""EHSS"" ""Office of Environment Health Safety and Security"" sub-agency",https://www.energy.gov/ehss/about-office-environment-health-safety-security,yes,"EHSS reports to the Deputy Secretary; real DOE office. Add as sub_agency."
DOE,PM HQ,"DOE ""PM HQ"" ""Office of Project Management"" sub-agency",https://www.energy.gov/projectmanagement/office-project-management,yes,"DOE Office of Project Management is the enterprise EPMO; add."
DOE,SWPA,"DOE ""SWPA"" Southwestern Power Administration ""SEPA"" Southeastern Power Administration",https://www.energy.gov/ea/power-marketing-administrations,yes,"SWPA and SEPA are two of four DOE Power Marketing Administrations (siblings of BPA, WAPA already in seed)."
DOE,SEPA,"DOE ""SWPA"" Southwestern Power Administration ""SEPA"" Southeastern Power Administration",https://www.energy.gov/sepa/southeastern-power-administration,yes,"SEPA is a DOE PMA."
DOE,GDO HQ,"DOE ""GDO"" ""Grid Deployment Office"" sub-agency",https://www.energy.gov/gdo/about-grid-deployment-office,yes,"GDO is a DOE office under the Under Secretary for Infrastructure overseeing >$26B."
DOE,HC HQ,"DOE ""HC HQ"" ""Office of the Chief Human Capital Officer"" ""PA HQ"" Public Affairs",https://www.energy.gov/hc/office-chief-human-capital-officer,yes,"HC = Office of the Chief Human Capital Officer; PA = Office of Public Affairs. Both real DOE HQ offices."
DOE,PA HQ,"DOE ""HC HQ"" ""Office of the Chief Human Capital Officer"" ""PA HQ"" Public Affairs",https://www.energy.gov/our-leadership-offices,yes,"PA = Office of Public Affairs. Real DOE HQ office."
USDA,"Food, Nutrition, and Consumer Services","USDA ""Food, Nutrition, and Consumer Services"" mission area FNCS",https://www.fns.usda.gov/about,yes,"FNCS is a USDA mission area umbrella over FNS and CNPP."
USDA,"Office of Safety, Security, and Protection","USDA ""Office of Safety, Security, and Protection"" OSSP",https://www.usda.gov/da/ossp,yes,"OSSP is a USDA staff office under Departmental Administration."
USDA,Departmental Administration,"USDA ""Departmental Administration"" mission area",https://www.usda.gov/about-usda/general-information/staff-offices/departmental-administration,yes,"DA = USDA staff-office umbrella for OSSP, OPEM, OHRM, OO."
USDA,Office Of Homeland Security,"USDA ""Office of Homeland Security"" Department of Agriculture",https://www.usda.gov/about-usda/general-information/staff-offices/departmental-administration/office-homeland-security-ohs,yes,"OHS is a USDA staff office under Departmental Administration; historical name OHSEC."
EPA,AO,"EPA ""AO"" ""Office of the Administrator"" abbreviation",https://www.epa.gov/press-office/office-administrator-ao,yes,"AO is the canonical EPA abbreviation for Office of the Administrator (seed currently uses 'OFA')."
