entry_kind,entry_id,canonical_name,evidence_quote,confidence,_agent
use_case,64752,Invariant Acoustic Signature AI,Acoustic Signature AI for Gunshot Detection,high,agent_a
use_case,64771,TRM Labs Blockchain Analysis Platform,Cryptocurrency Analysis,high,agent_a
use_case,64788,IDEMIA CAT-2/AutoCAT,Credential Authentication Technology with Camera System (CAT-2) and AutoCAT,high,agent_a
use_case,64797,Dataminr First Alert,Public Information Compilation for Travel Threat Analysis (Dataminr),high,agent_a
use_case,64798,Airship AI Platform,Airship Outpost for Conveyance Identification,high,agent_a
use_case,64818,BI SmartLINK,Biometric Check-in for ATD-ISAP (SmartLINK),high,agent_a
use_case,65221,Microsoft Search in Bing,Microsoft Bing Service,high,agent_a
use_case,65228,Microsoft 365 Copilot,Microsoft Co-Pilot,high,agent_a
use_case,65279,GitHub Copilot,GitHub Co-Pilot,high,agent_a
use_case,65342,ChatGPT,QuantomVision,high,agent_a
use_case,65351,Tesseract OCR,Georeference Figures,high,agent_a
use_case,65365,PEST (Parameter Estimation),Groundwater Modeling,high,agent_a
use_case,65438,Microsoft 365 Copilot,CoPilot,high,agent_a
use_case,65703,GitHub Copilot,"Integration of AI, specifically CoPilot for GitHub",high,agent_a
use_case,65710,Microsoft Azure Platform,smart features automatic data indexing,high,agent_a
use_case,65749,Microsoft Azure Platform,Azure Platform/Tools - Network Routing,high,agent_a
use_case,65840,Exiger DDIQ,Exiger Supply Chain Risk Management - DDIQ Research Engine,high,agent_a
use_case,65841,Exiger DDIQ,Exiger Supply Chain Risk Management - DDIQ Due Diligence Analytics,high,agent_a
use_case,65887,AWS Transcribe,"Voicemail Transcription, Translation and Summarization",high,agent_a
use_case,65938,FOIAXpress AI,FOIA Production Tools,high,agent_a
use_case,65955,GitHub Copilot,Code Development,high,agent_a
use_case,66007,Microsoft Azure Platform,Audio Transcription,high,agent_a
use_case,66011,Microsoft HoloLens,AI used to train Inspectors,high,agent_a
use_case,66015,Microsoft Azure Platform,Automatic Document Processing,high,agent_a
use_case,66024,Amazon Comprehend,Using Amazon Web Services Personal Identifying Information scrubber,high,agent_a
use_case,66025,AWS Lex,Workforce Recruitment Program (WRP) Website Chatbot Assistant,high,agent_a
use_case,66117,iCatalyst RPA,IPAC RPA Bot,high,agent_a
