canonical_name,field,current_value,proposed_value,confidence,reasoning
Perplexity,is_generative_ai,0,1,high,"Perplexity synthesizes AI-generated answers with citations from an LLM over retrieved sources; it is not a plain search index, so is_generative_ai=0 misrepresents its core function."
Ask Sage,is_generative_ai,0,1,high,"Ask Sage markets itself explicitly as a generative AI platform for government (chat, code, image, and text generation across 150+ models); gen=0 directly contradicts its stated purpose."
Ask Sage,is_frontier_llm,0,1,medium,"Ask Sage is a model-agnostic gateway to frontier models (GPT-4, Claude, Gemini) for government users, the same gateway role AWS Bedrock and Azure OpenAI play in this dataset, both of which are marked frontier=1."
Azure AI Foundry,is_generative_ai,0,1,high,"Azure AI Foundry (formerly Azure AI Studio) is Microsoft's platform for building and deploying generative AI apps against OpenAI/Meta/Mistral models; gen=0 is inconsistent with the platform's purpose and with its family sibling Azure OpenAI (gen=1)."
Azure AI Foundry,is_frontier_llm,0,1,medium,"Foundry gives direct access to frontier models (e.g., GPT-4o) the same way Azure OpenAI does; the sibling product in the same Microsoft Azure Platform family is marked frontier=1."
USAi (GSA),is_generative_ai,0,1,high,"USAi is GSA's generative AI chat/API suite giving federal employees access to six commercial LLMs for chat, code generation, and document summarization; gen=0 is clearly wrong for a product whose entire purpose is generative AI access."
USAi (GSA),is_frontier_llm,0,1,medium,"USAi provides direct access to frontier commercial models (OpenAI, Anthropic, Google, Amazon, Microsoft, Meta), the same gateway role AWS Bedrock and Azure OpenAI play, both marked frontier=1 in this dataset."
Palantir AIP,is_generative_ai,0,1,high,"Palantir AIP (Artificial Intelligence Platform) orchestrates LLM-powered agents and decision workflows atop Palantir's ontology; it is fundamentally built on generative AI, so gen=0 is wrong."
Palantir AIP,product_type,general_llm,agent_platform,medium,"AIP is not a general chat interface like ChatGPT/Claude/Gemini; it's a platform for building and deploying LLM-powered agents and automated workflows, which fits agent_platform better. No stratum change (both map to general) -- flagged for correctness only."
Credal,is_generative_ai,0,1,high,"Credal is a RAG/LLM-based enterprise agent platform (self-described 'control plane for enterprise agents') deployable into Claude, ChatGPT, and Slack; its core function is generative AI, so gen=0 is wrong."
Grammarly,is_generative_ai,0,1,high,"Since 2023 Grammarly ships GrammarlyGo/Compose/Rewrite, LLM-based features that draft, rewrite, and generate full text from prompts, not just flag grammar errors; gen=0 no longer reflects the shipped product."
Relativity,is_generative_ai,0,1,medium,"RelativityOne's aiR for Review and aiR for Privilege (generative-AI document review) became standard, included features in the platform as of Relativity Fest 2025; gen=0 is outdated for the current product."
Salesforce Einstein,is_generative_ai,0,1,high,"Einstein Copilot/Agentforce (GA since April 2024) added generative capabilities including auto-drafted sales emails and marketing copy; the product's own logged example use case here ('improving the quality of written communications') is itself a generative-writing task, confirming gen=0 is wrong."
