Use Case Name,Bureau,Use Case Topic Area,Intended Purpose and Expected Benefits,Impact Classification
Extreme Load Analysis,Enterprise Planning,Energy & the Environment,"Extreme load analysis involves estimating the likelihood of peaks in energy demand for different months of the year and hours of the day. This will aid in energy forecasting",Neither
Materials Intelligent Catalog Assistant,Supply Chain,Energy & the Environment,"Faster insights, access to information, and reduction of duplicates",Neither
Vegetation Management,Right of Way,Energy & the Environment,"Monitoring of vegetation around transmission line and tower and predictive analytics on when/where to trim.",Neither
CAP Automation,Enterprise Analytics & Innovation,Energy & the Environment,"Use NLP to classify condition reports as C, E, or WO level",Neither
CR intelligent search,Enterprise Analytics & Innovation,Energy & the Environment,"Use NLP to search through CRs. Also tool to include pattern recognition and adding additional safety data to search for and do topic modeling on",Neither
Materials tracking,Supply Chain,Energy & the Environment,"Use predictive analytics and confidence levels to track materials as they go through the supply chain process and risk on being delivered on time",Neither
Heliviewer,Enterprise Analytics & Innovation,Energy & the Environment,"Use of helicopter image data for survey and project insights",Neither
ICI camera,Enterprise Analytics & Innovation,Energy & the Environment,"Use computer vision to detect rate of change of water temperature with thermal image data which is indicative of dam leakage",Neither
GET,Generation Projects & Fleet Strategy,Energy & the Environment,"Groundwater evaluation Tool - The GET Tool is designed to provide statistical analysis of groundwater monitoring data required under State regulatory programs and the federal Coal Combustion Residuals (CCR) rule.",Neither
GMET,Generation Projects & Fleet Strategy,Energy & the Environment,"The Groundwater Modeling Evaluation Tool (GMET) is an R Shiny application that uses Phreeqc geochemical models and analysis to evaluate groundwater chemistry data at each of TVA's CCR sites",Neither
Optiwatt EV Load Model,Commercial Energy Solutions,Energy & the Environment,"Linear model to predict hourly unitized charging load from non-fleet EVs in a typical meteorological year (TMY).",Neither
Cold-Weather Heat Pump Model,Commercial Energy Solutions,Energy & the Environment,"KNN regression to predict hourly unitized impact of an upgraded CWHP in a residential home under historical and forecasted weather conditions.",Neither
EE/DR Smart Thermostat Impact Model,Commercial Energy Solutions,Energy & the Environment,"DR dispatch simulation to demonstrate hourly unitized impact of an EE/DR smart thermostat in a residential home under historical and forecasted weather & load conditions.",Neither
Standard EE/BE Measure Impact Models,Commercial Energy Solutions,Energy & the Environment,"Set of ~200 linear models for other EE & BE measures to predict hourly unitized impact under historical and forecasted weather conditions.",Neither
