_pass_dir,_agent,entry_kind,entry_id,canonical_name,evidence_quote,confidence,_drop_reason
linkage_pass_2026-05,agent_a,use_case,64752,Invariant Acoustic Signature AI,Acoustic Signature AI for Gunshot Detection,high,no signature for old_id=64752 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,64771,TRM Labs Blockchain Analysis Platform,Cryptocurrency Analysis,high,no signature for old_id=64771 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,64788,IDEMIA CAT-2/AutoCAT,Credential Authentication Technology with Camera System (CAT-2) and AutoCAT,high,no signature for old_id=64788 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,64797,Dataminr First Alert,Public Information Compilation for Travel Threat Analysis (Dataminr),high,no signature for old_id=64797 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,64798,Airship AI Platform,Airship Outpost for Conveyance Identification,high,no signature for old_id=64798 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,64818,BI SmartLINK,Biometric Check-in for ATD-ISAP (SmartLINK),high,no signature for old_id=64818 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,65221,Microsoft Search in Bing,Microsoft Bing Service,high,no signature for old_id=65221 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,65228,Microsoft 365 Copilot,Microsoft Co-Pilot,high,no signature for old_id=65228 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,65279,GitHub Copilot,GitHub Co-Pilot,high,no signature for old_id=65279 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,65342,ChatGPT,QuantomVision,high,no signature for old_id=65342 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,65351,Tesseract OCR,Georeference Figures,high,no signature for old_id=65351 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,65365,PEST (Parameter Estimation),Groundwater Modeling,high,no signature for old_id=65365 (not in inputs or backups)
linkage_pass_2026-05,agent_a,use_case,65438,Microsoft 365 Copilot,CoPilot,high,no signature for old_id=65438 (not in inputs or backups)
