canonical_name,alias,kind,replaces,evidence_quote,_agent
Microsoft 365,Microsoft 365,add,,Microsoft 365 | GSS | Microsoft,ws3_aliases
Microsoft Power BI,Power BI,add,,Microsoft Power BI Desktop,ws3_aliases
Azure AI Foundry,AI Foundry,add,,Azure AI Foundry Platform,ws3_aliases
Azure Synapse Analytics,Synapse Analytics,add,,Azure Synapse Analytics,ws3_aliases
SQL Server Management Studio,SSMS,add,,SQL Server Management Studio,ws3_aliases
Microsoft Azure Quantum Elements,Azure Quantum Elements,add,,Microsoft Azure Quantum Elements,ws3_aliases
Microsoft OneDrive,OneDrive,add,,Microsoft OneDrive,ws3_aliases
Microsoft OneNote,OneNote,add,,Microsoft OneNote,ws3_aliases
Microsoft PowerPoint,PowerPoint,add,,Microsoft PowerPoint,ws3_aliases
Microsoft Exchange Server,Exchange Server,add,,Microsoft Exchange Server,ws3_aliases
Microsoft Skype,Skype,add,,Microsoft Skype App,ws3_aliases
Microsoft Viva,Viva,add,,Microsoft Viva,ws3_aliases
