uc_2024_id,uc_2025_id,lineage_status,agency_abbreviation,bureau,name_2024,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,name_2025,problem_statement_2025,expected_benefits_2025,system_outputs_2025,ai_classification_2025,vendor_name_2025,system_name_2025,bureau_2025,entry_type_2025,is_generative_ai_2025,ai_sophistication_2025,deployment_scope_2025,scope_detail_2025,is_enterprise_wide_2025,is_general_llm_access_2025,is_coding_tool_2025,is_cots_commercial_2025,tool_product_name_2025,tool_vendor_2025,is_microsoft_copilot_2025,is_openai_2025,is_anthropic_2025,is_google_2025,is_github_copilot_2025,is_aws_ai_2025,architecture_type_2025,use_type_2025,is_public_facing_2025,entry_type_2024,is_generative_ai_2024,ai_sophistication_2024,deployment_scope_2024,scope_detail_2024,is_enterprise_wide_2024,is_general_llm_access_2024,is_coding_tool_2024,is_cots_commercial_2024,tool_product_name_2024,tool_vendor_2024,is_microsoft_copilot_2024,is_openai_2024,is_anthropic_2024,is_google_2024,is_github_copilot_2024,is_aws_ai_2024,architecture_type_2024,use_type_2024,is_public_facing_2024,confidence_2024,reasoning_2024,tagged_by_agent_2024
34138,132121,renamed,DHS,CBP,AI/LLM to generate testable synthetic data,The purpose of using AI to generate test data for trade partners is to create more realistic data for trade partners to use for testing their systems before releasing new ACE capabilities.  Currently there are many data issues where test data does not accurately reflect real production data which results in unrealistic failures when testing which result in wasted time and resources tracking down false positive errors during testing.  By providing trade partners with more realistic test data the expectation is that testing times will be shorter and enhancements and capabilities can be delivered quicker.,The AI capability would generate test data without PII or other trade sensitive data and allow for more accurate simulation of production data.,None of the above.,,Initiated,AI to generate testable synthetic data,Improve integration with trade partners and reduce implementation time of new capabilties.,The purpose of using AI to generate test data for trade partners is to create more realistic data for trade partners to use for testing their systems before releasing new ACE capabilities.  Currently there are many data issues where test data does not accurately reflect real production data which results in unrealistic failures when testing which result in wasted time and resources tracking down false positive errors during testing.  By providing trade partners with more realistic test data the expectation is that testing times will be shorter and enhancements and capabilities can be delivered quicker.,The AI capability would generate test data without PII or other trade sensitive data and allow for more accurate simulation of production data.,Generative AI,,,CBP,custom_system,0,general_llm,bureau,CBP,0,1,0,0,,,0,0,0,0,0,0,unknown,administrative,0,custom_system,1,general_llm,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0,medium,"""purpose of using AI to generate"" — LLM use, bureau (CBP).",wave1-C
34162,132281,renamed,DHS,CBP,Open-Source News Aggregation,"The platform enables users to make better decisions faster by identifying and forecasting emerging events on a global scale to mitigate risk, recognize threats, greatly enhance indications and warnings, and provide predictive intelligence capabilities. The AI/ML models enable rapid access to automated intelligence assessments by fusing, processing, exploiting and analyzing open sources of data (including news, social media, economic indicators, governance indicators, travel warnings, weather and other sources). This system is an immediate and substantial force multiplier that shifts the traditional approach of monitoring and assessing the operational environment to focus on the forecast of the future geopolitical, socio, and economic environment.","This use case is inactive. Please see the ""intended purpose and expected benefits"" for a full description of this use case.",None of the above.,,Retired,Open-Source Intelligence for Investigations,"The AI is intended to solve the problem of analysts having to manually search and make sense of vast amounts of multilingual, multimodal publicly available online data, which makes it difficult to efficiently identify relevant identifiers, high‑risk content, and patterns needed to support Homeland Security Investigations (HSI) investigations.","These AI tools significantly reduce the time and effort required to sift through large datasets, improve the ability to uncover relevant information, and enhance the overall efficiency and effectiveness of HSI’s investigative operations.","The outputs of these platforms include flagged risk alerts, extracted identifiers, image and sentiment classification, and suggested investigative leads. These platforms do not perform biometric identification, facial recognition for identity verification, autonomous targeting, or automated enforcement actions. All AI-enabled outputs are subject to mandatory human-in-the-loop review prior to any investigative, operational, or enforcement action.",Generative AI,"Penlink, Fivecast",,ICE,product_deployment,0,general_llm,bureau,ICE,0,1,0,1,Aretec SEARCH,Aretec,0,0,0,0,0,0,fine_tuned,cybersecurity,0,custom_system,0,predictive_analytics,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""platform enables users to make better"" — predictive analytics, bureau (CBP).",wave1-C
34167,132157,renamed,DHS,CBP,Data and Entity Resolution,Entity resolution for ES multiple independent valid requirements that may be similar or able to be consolidated.,"""Uses machine learning and human input to leverage all data attributes to resolve entities, rather than traditional brute force rules
Automates process of unifying data sources and resolving entities at enterprise speed""",None of the above.,,Retired,Named Entity Resolution for Investigative Data,"The AI is intended to solve the problem of investigators having to manually identify and normalize entities such as names, locations, and other selectors in large volumes of investigative text data, which is slow and makes it difficult to run accurate, consistent searches.","The benefits of using this AI include increased search accuracy, enhanced data analysis capabilities, and the ability to handle domain-specific entities more effectively.","The outputs of this AI solution are the identified and extracted entities, which investigators use to refine search results and improve investigative workflows. Homeland Security Investigations may use the solution to generate leads, with further action required by investigators and analysts as part of the full investigative process before any action is taken against an individual.",Generative AI,,,ICE,product_deployment,0,general_llm,bureau,ICE,0,1,0,1,Aretec SEARCH,Aretec,0,0,0,0,0,0,inference_only,administrative,0,custom_system,0,classical_ml,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,rag_pipeline,mission_critical,0,medium,"""Entity resolution for ES multiple independent"" — classical ML, bureau (CBP).",wave1-C
34168,132193,renamed,DHS,CBP,Port of Entry Risk Assessments,"CBP utilizes AI to develop, inform, and augment risk assessment processes that evaluate trade and travel data in real-time.? AI methods are applied to CBP data holdings, and the results are used to inform decision making.? These tools are continuously evaluated to ensure accuracy and precision, and support CBP’s core mission as part of the layered risk assessment strategy.","This use case is inactive. Please see the ""intended purpose and expected benefits"" for a full description of this use case.",None of the above.,,Retired,Passenger Security Assessment Model,"This model aids CBP to efficiently identify security risks, especially related to narcotics interdiction, by providing real-time risk assessments that overcome limitations of traditional, time-intensive methods. The model solves the problem by providing CBP personnel with real-time risk assessments and actionable recommendations integrated into existing systems. By analyzing data not typically accessible during initial processing, the model enhances the ability to detect smuggling indicators and prioritize high-risk individuals or vehicles for further inspection. This improves the efficiency and effectiveness of border security operations, enabling CBP to better safeguard the nation while maintaining the flow of legitimate travel and trade.","This model is designed to support CBP personnel in quickly recognizing crossings that may warrant additional scrutiny, thereby enhancing border security and safety.","The outputs include risk assessments and recommendations, which are integrated into existing passenger processing and threat targeting systems, such as the Automated Targeting System (ATS). These notifications equip CBP personnel with actionable insights to address potential security concerns in real-time.",Classical/Predictive Machine Learning,,Automated Targeting System (ATS),CBP,custom_system,0,classical_ml,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,custom_trained,cybersecurity,0,custom_system,0,classical_ml,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0,medium,"""CBP utilizes AI to develop, inform,"" — classical ML, bureau (CBP).",wave1-C
34172,132227,renamed,DHS,CBP,Advanced Trade Analytics Platform (ATAP),"To create efficiencies and unlock key insights in CBP's trade mission execution through the application of data analytics, machine learning, and AI.",Model output is provided in dashboards and other visualization mechansims for operator assessment and action determination.,None of the above.,Developed with contracting resources.,Operation and Maintenance,The Advanced Trade Analytics Platform (ATAP),ATAP aims to provide insights into trends and behaviors in trade activity to support a proactive risk management and enforcement posture in the agency’s mission execution.,"To create efficiencies and unlock key insights in CBP's trade mission execution through the application of data analytics, machine learning, and AI.",Model output is provided in dashboards and other visualization mechansims for operator assessment and action determination.,Classical/Predictive Machine Learning,"Elder Research Inc, DevTech Systems Inc., Guidehouse",ATAP,CBP,bespoke_application,0,classical_ml,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0,custom_system,0,classical_ml,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0,medium,"""To create efficiencies and unlock key"" — classical ML, bureau (CBP).",wave1-C
34175,132230,renamed,DHS,CBP,Unmanned Aircraft Collision Avoidance (Skydio),The platform operates on video feed only which in turn activates the obstacle avoidance on the aircraft where the AI capabilities are housed.  The system supports the streamlined intake process while maintaining the accuracy and reliability of identity verification.,"The pilot of the Skydio X2D will receive a visual alert on the hand controller, indicating a possible collision.",None of the above.,Developed in-house.,Operation and Maintenance,Unmanned Aircraft Collision Avoidance,"The use case solves the problem of navigating complex environments autonomously while ensuring obstacle avoidance in real time. By relying on AI-based 3D scanning functions instead of GPS, the system enhances safety and precision in drone operations, reducing the risk of collisions and enabling efficient, reliable use in diverse mission scenarios. It addresses the challenge of maintaining situational awareness and operational accuracy during unmanned aircraft missions, providing pilots with visual alerts to prevent potential collisions.",The platform operates on video feed only which in turn activates the obstacle avoidance on the aircraft where the AI capabilities are housed.  The system supports the streamlined intake process while maintaining the accuracy and reliability of identity verification.,"The pilot of the sUAS will receive a visual alert on the hand controller, indicating a possible collision.",Computer Vision,Skydio and Xtender,Skydio X2D,CBP,product_deployment,1,agentic,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,unknown,mission_critical,0,custom_system,0,classical_ml,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,custom_trained,mission_critical,0,medium,"""platform operates on video feed only"" — classical ML, bureau (CBP).",wave1-C
34181,132199,renamed,DHS,CBP,Mobile Traveler Identity Verification,"The TVS Biometric matching service is a cloud-based facial biometric matching service that enables CBP to match a passenger’s identity against a trusted source, throughout the travel continuum which improves traveler facilitation and reduces manual identity verification",Provides a match or no match response,None of the above.,Developed with contracting resources.,Operation and Maintenance,Traveler Self-Service Mobile Identity Verification,The use of the Traveler Verification Service (TVS) in these use cases enables biometric identity verification and facilitates travel.,"The TVS Biometric matching service is a cloud-based facial biometric matching service that enables CBP to match a passenger’s identity against a trusted source, throughout the travel continuum which improves traveler facilitation and reduces manual identity verification",Leverages DHS facial matching technologies to provide a match or no match response.,Computer Vision,NEC (algorithm only),Traveler Verification Service,CBP,bespoke_application,0,computer_vision,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,custom_trained,administrative,0,custom_system,0,computer_vision,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0,medium,"""TVS Biometric matching service is a"" — computer vision, bureau (CBP).",wave1-C
34185,132234,renamed,DHS,CBP,Autonomous Surveillance Tower (AST),"AST machine learning assisted system is augmenting the U.S. Border Patrol by enhancing the capabiltiies of individual users when carrying out the domain awareness mission. 
The expected benefit is to have ability of single person to monitor magnitude greater area than could be done with conventional CCTV or human surveillance. The ultimate outcome for the agency and the public is greater availability of the agents to solve and address more complex tasks and allow for better strategic/tactical deployment of existing resources and personnel.","The AI provides alerts when it detects the presence of an IoI (i.e., persons, vehicles, animals) in the image frame.  With regard to persons, this computer vision application is trained to determine if the object in the image frame is a person with a certain of level of confidence and not another object that may be shaped similarly to a person.  After the alert of a detection, a trained agent or user, reviews the image to identify and classify the activity taking place.  The AI merely alerts to the presence of an item it was trained to detect. This is not a biometric system and does not identify or track specific individuals.",None of the above.,Developed with both contracting and in-house resources.,Operation and Maintenance,Autonomous Surveillance Tower,"CBP's limited manpower constrains its ability to manually monitor all areas of the border at all times. To account for this limitation, surveillance and sensor systems assist in monitoring the border.","AST machine learning assisted system is augmenting the U.S. Border Patrol by enhancing the capabiltiies of individual users when carrying out the domain awareness mission. 
The expected benefit is to have ability of single person to monitor magnitude greater area than could be done with conventional CCTV or human surveillance. The ultimate outcome for the agency and the public is greater availability of the agents to solve and address more complex tasks and allow for better strategic/tactical deployment of existing resources and personnel.","The AI provides alerts when it detects the presence of an IoI (i.e., persons, vehicles, animals) in the image frame.  With regard to persons, this computer vision application is trained to determine if the object in the image frame is a person with a certain of level of confidence and not another object that may be shaped similarly to a person.  After the alert of a detection, a trained agent or user, reviews the image to identify and classify the activity taking place.  The AI merely alerts to the presence of an item it was trained to detect. This is not a biometric system and does not identify or track specific individuals.",Classical/Predictive Machine Learning,Anduril,Autonomous Surveillance Towers,CBP,product_deployment,1,agentic,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,unknown,it_operations,0,custom_system,0,computer_vision,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,custom_trained,mission_critical,0,high,"""AST machine learning assisted system is"" — computer vision, bureau (CBP).",wave1-C
34187,132204,renamed,DHS,CBP,CBP One,"TVS uses facial recognition to compare live or uploaded images with CBP's database, enabling real-time identity verification. This automation streamlines border processes, enhances accuracy, and reduces fraud.","The system outputs include identity match confirmation, fraud alerts, and traveler status updates for clearance in processes like boarding or border crossing.",None of the above.,Developed with contracting resources.,Operation and Maintenance,CBP Link,CBP Link utilizes liveness to ensure the photo that TVS it utilizing to conduct facial matching to CBP holdings is of a live person and not a photo of a 2-D image and well as validate the presence of a specific user when collecting geolocation to validate that person is in the required location.,"CBP Link uses liveness detection and TVS uses facial recognition to compare live or uploaded images with CBP's database, enabling real-time identity verification. This automation streamlines border processes, enhances accuracy, and reduces fraud.","CBP Link outputs include identity match confirmation, fraud alerts, and traveler status updates for clearance in processes like boarding or border crossing.",Computer Vision,IProov,Traveler Verification Service,CBP,bespoke_application,0,computer_vision,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,unknown,administrative,0,custom_system,0,computer_vision,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""TVS uses facial recognition to compare"" — computer vision, bureau (CBP).",wave1-C
34191,132266,renamed,DHS,CBP,HTS Classifier,"CBP’s HTS Classifier improves trade compliance and enhances cargo risk assessment by streamlining the classification of goods, enabling better integration with machine learning systems, and refining entity risk evaluations. It identifies potential threats linked to specific cargo types and prior violations by categorizing goods based on their descriptions and attributes. These improvements contribute to faster, more accurate classification and risk-based targeting, which strengthens security and facilitates trade.","The HTS Classifier produce outputs that map cargo commodity descriptions to their most probable tariff codes, enhancing classification accuracy. These outputs integrate seamlessly into broader threat-specific risk models, providing features to support predictive risk assessments in cargo security.",None of the above.,Developed with contracting resources.,Operation and Maintenance,Cargo Classification Tool,"The need to improve data classification, enable better machine learning integration, and facilitate nuanced trade entity risk assessments. By categorizing goods based on their descriptions and characteristics, these classifiers help identify potential threats associated with specific cargo types associated with prior violations.","CBP’s Cargo Classification Tool improves trade compliance and enhances cargo risk assessment by streamlining the classification of goods, enabling better integration with machine learning systems, and refining entity risk evaluations. It identifies potential threats linked to specific cargo types and prior violations by categorizing goods based on their descriptions and attributes. These improvements contribute to faster, more accurate classification and risk-based targeting, which strengthens security and facilitates trade.","The Cargo Classification Tool produces outputs that map cargo commodity descriptions to their most probable tariff codes, enhancing classification accuracy. These outputs integrate seamlessly into broader threat-specific risk models, providing features to support predictive risk assessments in cargo security.",Classical/Predictive Machine Learning,,Automated Targeting System (ATS),CBP,custom_system,0,classical_ml,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,custom_trained,cybersecurity,0,custom_system,0,predictive_analytics,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""CBP’s HTS Classifier improves trade compliance"" — predictive analytics, bureau (CBP).",wave1-C
