queue_id,canonical_product_id,proposed_alias,source_vendor,source_label,llm_confidence,llm_reasoning,review_disposition
848,,Acoustic Signature AI for Gunshot Detection,Invariant Corporation,Invariant Corporation  Acoustic Signature AI for Gunshot Detection,high,Names Invariant Corporation's Acoustic Signature AI for gunshot detection. [moved to hold: Acoustic Signature AI for Gunshot Detection Invariant Corp custom for DHS; agency-wrapper criterion],hold
873,,AIS Resume Screening,AIS,AIS,high,AIS resume screening tool; not in canonical list. [moved to hold: AIS Resume Screening agency-specific deployment; agency-wrapper criterion],hold
877,,Low-Pfa Screening Algorithm,Leidos / Rohde & Schwarz,"Leidos, Rohde & Schwarz  Low Probability of False Alarm (Low-Pfa) Algorithm",high,Leidos/Rohde & Schwarz Low-Pfa screening algorithm; not in canonical list. [moved to hold: Low-Pfa Screening Algorithm Leidos/Rohde & Schwarz custom DHS tool; agency-wrapper criterion],hold
878,,Credential Authentication Technology (CAT-2/AutoCAT),IDEMIA Identity & Security USA,"IDEMIA Identity, Security USA LLC STIP/CAT Credential Authentication Technology with Camera System (CAT-2) and AutoCAT",high,IDEMIA STIP/CAT credential authentication; not in canonical list.,hold
879,,CBP Traveler Verification Service (TVS),NEC,"CBP TVS, NEC Algorithm CBP TVS PreCheck Touchless Identity Solution",high,NEC TVS PreCheck identity solution; not in canonical list.,hold
880,,Text Analytics Sentence Similarity Model,Inadev,Inadev Text Analytics Text Analytics Data Science Sentence Similarity Model,high,Inadev custom text analytics model; not in canonical list.,hold
881,,ARGOS (Automated Real-Time Global Organization Specialist),IBM,IBM ARGOS (Automated Real-Time Global Organization Specialist),high,"IBM ARGOS sentiment analysis tool; not in canonical list. [moved to hold: ARGOS IBM wrapper, DHS-specific agency deployment; agency-wrapper criterion]",hold
882,,Verification Information System (VIS),IBM,IBM Verification Information System,high,IBM Verification Information System; not in canonical list. [moved to hold: Verification Information System (VIS) IBM wrapper for USCIS; agency-wrapper criterion],hold
883,,Customer Profile Management System / IDENT Facial Recognition,Pluribus Digital,Pluribus Digital Customer Profile Management System I-765 - USCIS Facial Recognition through IDENT,high,Pluribus Digital Customer Profile Management/IDENT facial recognition; not in canonical list.,hold
884,,Person Centric Identity Services (PCIS),MetroIBR,MetroIBR Person Centric Identity Services,high,MetroIBR Person Centric Identity Services; not in canonical list.,hold
885,,Automated Biometric Identification System (IDENT/OBIM),NEC,NEC Automated Biometric Identification System (IDENT),high,NEC IDENT/OBIM biometric system; not in canonical list.,hold
886,,Advanced Trade Analytics Platform (ATAP),Elder Research / DevTech / Guidehouse,"Elder Research Inc, DevTech Systems Inc., Guidehouse ATAP The Advanced Trade Analytics Platform (ATAP)",high,Elder Research/DevTech/Guidehouse ATAP; not in canonical list.,hold
888,,Airship Outpost / TECS Cloud,Airship,Airship TECS CLOUD Airship Outpost for Conveyance Identification,high,Airship TECS Cloud / Outpost; not in canonical list.,hold
891,,Traveler Verification Service (TVS),NEC,NEC Traveler Verification Service,high,NEC Traveler Verification Service; not in canonical list.,hold
892,,PDRI Exam Proctor Support,PDRI,PDRI  Customs Broker License Exam - Proctor Support,high,PDRI proctor support; not in canonical list. [moved to hold: PDRI Exam Proctor Support agency-specific custom tool; agency-wrapper criterion],hold
895,,JHU APL Vessel Detection System,Johns Hopkins APL,JHU APL  Vessel Detection,high,JHU APL custom vessel detection; not in canonical list.,hold
896,,Traveler Verification Service (TVS),NEC,NEC Traveler Verification Service,high,NEC Traveler Verification Service; not in canonical list.,hold
898,,Automated Targeting System (ATS),ManTech,ManTech Automated Targeting System (ATS),high,ManTech Automated Targeting System (ATS); not in canonical list. [moved to hold: agency-wrapper / same product as queue_id=899 already held],hold
899,,Automated Targeting System (ATS),ManTech,ManTech Automated Targeting System (ATS),high,ManTech ATS Trade Entity Risk Model; same ATS product proposal.,hold
900,,Repository for Analytics in a Virtualized Environment (RAVEn),Sandia National Laboratories,Sandia National Laboratories Repository for Analytics in a Virtualized Environment,high,Sandia RAVEn analytics environment; not in canonical list.,hold
