parent_agency,sub_agency_slug,sub_agency_name,sub_agency_abbr,level,subtree_use_cases,rating,key_systems,scope_or_users,confidence,key_evidence,notes
DHS,dhs-cbp,U.S. Customs and Border Protection,CBP,sub_agency,83,Enterprise,ChatCBP|Custom GenAI coding assistant|DHSChat (HQ-overlay),CBP-wide (~60K agents/officers); ChatCBP went into production May 2025,high,db_subtree;FedScoop on chatCBP (https://fedscoop.com/customs-and-border-protection-taps-chatcbp-to-assist-workforce/);DHS use-case inventory CBP page,ChatCBP is a CBP-built FOUO assistant (RAG + SharePoint integration). Component-level Enterprise.
DHS,dhs-ice,U.S. Immigration and Customs Enforcement,ICE,sub_agency,51,Enterprise,ICE Enterprise AI Assistant|Palantir AIP/CMA|DHSChat overlay,ICE-wide via ICE Enterprise AI Assistant; Palantir AIP for investigators,medium,db_subtree;round1_by_agency.md (DHS row),Round-1 DHS rollup names ICE Enterprise AI Assistant; LES vendor masking limits public visibility.
DHS,dhs-tsa,Transportation Security Administration,TSA,sub_agency,26,Inherited,DHSChat (HQ pilot at TSA),TSA staff covered under DHSChat 10-component pilot expansion,medium,db_subtree;round1_by_agency.md,TSA does not appear to have its own component LLM; rides DHSChat.
DHS,dhs-uscis,U.S. Citizenship and Immigration Services,USCIS,sub_agency,24,Enterprise,PAiTH|Claude (component access),USCIS staff via PAiTH,medium,db_subtree;round1_by_agency.md (DHS row names PAiTH at USCIS),PAiTH named in round-1 as USCIS's component LLM.
DHS,dhs-fema,Federal Emergency Management Agency,FEMA,sub_agency,22,Broad,FEMA OCFO GPT|ReadyAI|OpenAI API (Azure Commercial),FEMA OCFO GPT for finance staff; ReadyAI for emergency-prep content,medium,db_subtree;DHS use-case inventory FEMA page,FEMA has multiple Azure OpenAI deployments. FEMA OCFO GPT is the closest to a general staff assistant; ReadyAI is content-focused.
DHS,dhs-mgmt,Management Directorate,MGMT,office,10,Enterprise,DHSChat|LIGER (FPS via LMI),DHS HQ ~19K users; FPS uses LIGER,high,db_subtree;round1_by_agency.md;HSToday on DHSChat;Nextgov on DHSChat,DHS HQ rolled out DHSChat agency-wide for HQ staff; FPS adds LIGER on top.
DHS,dhs-cisa,Cybersecurity and Infrastructure Security Agency,CISA,sub_agency,7,Enterprise,CISAChat,CISA workforce (~3K),medium,db_subtree;round1_by_agency.md (DHS row names CISAChat on Microsoft),CISAChat is component-level enterprise FOUO.
DOC,doc-noaa,National Oceanic and Atmospheric Administration,NOAA,sub_agency,157,Limited,Gemini|Amazon Q|GitHub Copilot,Pilot/individual-use scope; no NOAA-wide chatbot named,low,db_subtree,NOAA has 157 use cases but only 16 LLM-tagged and 0 enterprise-LLM-tagged. Bureau-wide rollout not confirmed.
DOC,doc-census,U.S. Census Bureau,Census,sub_agency,17,None reported,—,No general LLM identified,low,db_subtree,One LLM-tagged use case in subtree; no named general assistant.
DOC,doc-uspto,U.S. Patent and Trademark Office,USPTO,sub_agency,15,Limited,Claude|ServiceNow Now Assist,Bureau-level pilot use only,low,db_subtree,Claude tagged but only 2 LLM use cases; not a USPTO-wide rollout.
