use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34129,wave1-C,custom_system,0,computer_vision,bureau,high,"""Utilizes AI/ML to generate high resolution,"" — computer vision, bureau (CBP).",0,0,1,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34130,wave1-C,custom_system,0,computer_vision,bureau,high,"""CBP uses this tool to conduct"" — computer vision, bureau (CBP).",0,0,1,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,1,CBP
34131,wave1-C,custom_system,0,classical_ml,bureau,high,"""system enhances CBP's capability to monitor,"" — classical ML, bureau (CBP).",0,0,1,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34132,wave1-C,custom_system,0,classical_ml,bureau,medium,"""tool significantly reduces the amount of"" — classical ML, bureau (CBP).",0,0,1,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34133,wave1-C,custom_system,0,computer_vision,bureau,high,"""model will identify irregularities or deviations"" — computer vision, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34134,wave1-C,custom_system,0,computer_vision,bureau,high,"""AAXI aims to address the problem"" — computer vision, bureau (CBP).",0,0,1,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34135,wave1-C,custom_system,0,classical_ml,bureau,medium,"""Automated Data Annotation system is used"" — classical ML, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,custom_trained,1,mission_critical,0,CBP
34136,wave1-C,custom_system,0,classical_ml,bureau,high,"""Customs and Border Patrol (CBP) Office"" — classical ML, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34137,wave1-C,custom_system,0,computer_vision,bureau,high,"""system uses advanced sensor technology to"" — computer vision, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34138,wave1-C,custom_system,1,general_llm,bureau,medium,"""purpose of using AI to generate"" — LLM use, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34139,wave1-C,custom_system,0,computer_vision,bureau,high,"""Anomaly Detection COV Structure is an"" — computer vision, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34140,wave1-C,custom_system,0,computer_vision,bureau,high,"""Anomaly Detection Homogenous Cargo is an"" — computer vision, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34141,wave1-C,custom_system,0,computer_vision,bureau,high,"""Anomaly Detection POV Structure is an"" — computer vision, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34142,wave1-C,custom_system,0,nlp_specific,bureau,medium,"""Visitors to the U"" — specialized NLP, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34143,wave1-C,custom_system,0,computer_vision,bureau,high,"""capability will automate cross-border maritime threat"" — computer vision, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
34144,wave1-C,custom_system,0,classical_ml,bureau,medium,"""initial use case is to integrate"" — classical ML, bureau (CBP).",0,0,,,,0,0,0,0,0,0,0,inference_only,0,mission_critical,0,CBP
