agency_abbr,agency_name,agency_type,searched,date_searched,ai_landing_page_url,ai_strategy_year,compliance_plan_year,genai_policy_year,caio_status,other_policy_count,total_documents,gaps,notes
CFTC,Commodity Futures Trading Commission,Independent,yes,2026-05-21,https://www.cftc.gov/ai,,2025,,Named: Janaka Perera,0,1,No separate M-25-21 AI Strategy or genAI policy found,"M-25-21 Compliance Plan (Sept 2025, Janaka Perera CAIO) downloaded. CFTC also has a Dec 2024 Staff Advisory on AI for regulated entities (excluded - external regulatory guidance, not internal agency AI policy)."
CSOSA,Court Services and Offender Supervision Agency,Independent,yes,2026-05-21,https://www.csosa.gov/,,2025,2025,Designated (Chief AI Officer designated - not publicly named),0,2,No public M-25-21 AI Strategy,"CSOSA posted its M-25-21 Compliance Plan (Oct 2025) and Policy Statement 2040 on Artificial Intelligence (effective Dec 20 2025), an agency AI acceptable-use policy. No separate M-25-21 AI strategy found."
DHS,Department of Homeland Security,Cabinet,yes,2026-05-21,https://www.dhs.gov/ai,2025,2025,,Designated: DHS CIO serves as Chief AI Officer,2,4,None - DHS published both required M-25-21 artifacts plus extensive supporting guidance,"Strong coverage: M-25-21 AI Strategy + Compliance Plan (Sept 2025), Directive 139-08 (Jan 2025), and the GenAI Public Sector Playbook (Jan 2025). genai_policy_year left blank - 139-08/Playbook are governance/guidance, not a single internal acceptable-use policy."
DOC,Department of Commerce,Cabinet,yes,2026-05-21,https://www.commerce.gov/ai,2025,,,Unknown,0,1,M-25-21 Compliance Plan not found as a distinct document; CAIO not publicly named; no genAI policy found,M-25-21 AI Strategy Plan (Sept 2025) confirmed public but commerce.gov is Cloudflare-protected; could not download via curl/WebFetch; recorded as Link only. NIST is the major AI component but operates under its own programs.
DoD,Department of Defense,Cabinet,yes,2026-05-21,https://www.war.gov/Spotlights/Artificial-Intelligence/,2026,,,Designated (CDAO leads AI; agency-level CAIO not publicly named under M-25-21 - DoD exempt),2,3,No M-25-21 compliance plan (DoD is exempt from M-25-21); no public agency-wide generative AI acceptable-use policy found,DoD/Department of War is exempt from M-25-21 but published its own AI Strategy memo (Jan 9 2026) plus a companion innovation-ecosystem memo and DoDI 5400.19. CDAO is the de facto AI lead. Earlier DoD Responsible AI Strategy (2022) predates the 2023 scope window.
DOE,Department of Energy,Cabinet,yes,2026-05-21,https://www.energy.gov/topics/artificial-intelligence,2025,2025,2025,"Named: Helena Fu (acting CAIO; Director, Office of Critical and Emerging Technologies)",1,5,None - full M-25-21 set plus genAI policy and reference guide found.,"Strong coverage: M-25-21 strategy + compliance plan (both 9/23/2025), 2024 M-24-10 plan, DOE P 203.1 genAI policy (12/29/2025), and a genAI reference guide. CAIO and AI Governance Board described in the strategy doc."
DOI,Department of the Interior,Cabinet,yes,2026-05-21,https://www.doi.gov/ai/policy,2025,2025,2026,Designated (named in compliance plan; not separately announced publicly),0,5,No standalone CAIO announcement or governance board charter posted.,"Strong coverage: M-25-21 strategy + compliance plan (Sept 2025), 2024 M-24-10 plan, Feb 2026 generative AI policy, and a Feb 2026 Joint AI Acquisition Memorandum (M-25-22 procurement)."
DOJ,Department of Justice,Cabinet,yes,2026-05-21,https://www.justice.gov/ai,,2024,,Designated (CAIO designated; Emerging Technology Board governs - not publicly named),1,2,No public M-25-21 AI Strategy; no public M-25-21 Compliance Plan - only the M-24-10 plan is posted on justice.gov/ai,DOJ has not publicly posted its M-25-21 AI Strategy or M-25-21 Compliance Plan. justice.gov/ai lists only the M-24-10 Compliance Plan (Oct 2024) and a 2024 DAG memo. compliance_plan_year=2024 reflects the M-24-10 plan only.
DOL,Department of Labor,Cabinet,yes,2026-05-21,https://www.dol.gov/ai,2025,2025,,Named: Mangala Kuppa,0,1,No standalone compliance plan or genAI policy posted,"DOL published a single 16-page ""AI Strategies"" document for M-25-21 (Sept 2025) that covers both strategy and compliance content. Issued by Deputy Secretary Keith Sonderling. Downloaded via Wayback (dol.gov blocks curl)."
DOT,Department of Transportation,Cabinet,yes,2026-05-21,https://www.transportation.gov/AI,2025,2025,,"Designated (CDAIO; AI Governance Board chaired by Deputy Secretary, CDAIO vice-chair)",0,3,No standalone generative AI policy posted; no separate CAIO announcement document; FAA/component-agency AI-use policies not separately posted.,"DOT issues its AI strategy in three parts: Part I (Use Case Strategic Alignment) and Part II (AI Maturity Assessment) = the M-25-21 strategy; Part III = the M-25-21 compliance plan (all dated 10/3/2025). transportation.gov blocks scripted downloads (Akamai 403); all three captured as render-proxy text. FAA Roadmap for AI Safety Assurance excluded as external aviation-certification guidance, not an agency AI-use policy."
EAC,Election Assistance Commission,Independent,yes,2026-05-21,https://www.eac.gov/AI,,2025,,Designated (not named publicly; EAC AI governance/CAIO function referenced in compliance plan),1,3,Standalone EAC AI Strategy not published separately (strategy/vision content is embedded within the M-25-21 Compliance Plan); standalone generative AI policy not found,"EAC posts both the M-25-21 Compliance Plan v1.0 (Sept 2025) and the older M-24-10 Compliance Plan (Aug 2024) on eac.gov/AI, plus an outward-facing AI in Action case-studies guide for election officials (March 2026)."
ED,Department of Education,Cabinet,yes,2026-05-21,https://www.ed.gov/about/ed-overview/artificial-intelligence-ai-guidance,,2024,,Designated (not public),1,3,No public M-25-21 AI Strategy or M-25-21 Compliance Plan found. No public CAIO announcement or generative AI policy.,"ED has a 2024 M-24-10 compliance plan, a July 2025 AI grant-funds Dear Colleague Letter, and the May 2023 OET report. Notably MISSING the M-25-21 strategy/compliance plan that other departments published."
EPA,Environmental Protection Agency,Independent,yes,2026-05-21,https://www.epa.gov/data/artificial-intelligence,2025,2025,,Designated (not separately announced publicly),0,2,No 2024 M-24-10 compliance plan found publicly; no standalone genAI policy or CAIO announcement.,M-25-21 AI strategy and compliance plan (both Sept 2025) found and downloaded; hosted at epa.gov/data. No earlier M-24-10 plan located online.
FCC,Federal Communications Commission,Independent,yes,2026-05-21,https://www.fcc.gov/ai,,2025,,Named: Arpan Sura (Chief AI Officer),0,1,M-25-21 AI Strategy (180-day) not found as a separate public document; standalone generative AI policy not found,FCC posts its M-25-21 AI Compliance Plan (Sept 2025) on fcc.gov/ai. FCC CDN blocks curl/wget (TLS fingerprinting); document downloaded via Python requests.
FDIC,Federal Deposit Insurance Corporation,Independent,yes,2026-05-21,https://www.fdic.gov/ai,,2025,,Named: Michael W. Simon,0,1,No separate M-25-21 AI Strategy; genAI policy not separately posted,"M-25-21 Compliance Plan (Sept 2025, Michael W. Simon CAIO) downloaded. Plan references updating the FDIC IT Acceptable Use Policy to cover generative AI."
FERC,Federal Energy Regulatory Commission,Independent,yes,2026-05-21,https://www.ferc.gov/media/accelerating-federal-use-ai-through-innovation-governance-and-public-trust,,2025,,Designated (not public),0,1,No M-25-21 AI strategy posted publicly; no genAI policy; no 2024 M-24-10 plan; no CAIO announcement. FERC posts only its compliance plan.,"FERC published only an M-25-21 compliance plan (dated 9/30/2025). No separate 180-day AI strategy document is public - a gap against the M-25-21 strategy requirement. FERCs other AI activity is external rulemaking on data-center grid interconnection, out of scope here."
FHFA,Federal Housing Finance Agency,Independent,yes,2026-05-21,https://www.fhfa.gov/reports/fhfa-ai-compliance-plan,,2025,,Named: Tracy Stephan,0,2,No separate M-25-21 AI Strategy or genAI policy found,"M-25-21 Compliance Plan (Sept 2025, Tracy Stephan CAIO) and prior M-24-10 Compliance Plan (Sept 2024) both downloaded."
FRB,Federal Reserve Board,Independent,yes,2026-05-21,https://www.federalreserve.gov/ai.htm,,2025,,Named: Anderson Monken (Chief Artificial Intelligence Officer),0,2,"No public AI strategy (Fed is not a CFO Act agency, so not required to publish a 180-day AI strategy); internal AI policy and generative AI guidance kept on intranet, not public",The Federal Reserve Board is an independent agency. It voluntarily files and publicly posts a biennial compliance plan satisfying M-25-21 sec 3(b)(ii) and AI in Government Act sec 104; both the M-25-21 (Sept 2025) and M-24-10 (Sept 2024) plans are public. AI Program established early 2024; oversight moved to the Chief Data Officer in late 2025.
FRTIB,Federal Retirement Thrift Investment Board,Independent,yes,2026-05-21,https://www.frtib.gov/ai/,,,,Unknown,1,1,"No public M-25-21 AI Strategy or Compliance Plan, no CAIO announcement, no generative AI policy. The referenced internal ""AI Plan - 09/2024"" is not posted publicly.","Weakest coverage: only the AI program web page is public. It mentions an internal AI Plan (09/2024) and NIST AI RMF use, but no formal strategy/compliance-plan document is published."
FTC,Federal Trade Commission,Independent,yes,2026-05-21,https://www.ftc.gov/ai,,2025,,Named: Mark D. Gray (Chief Artificial Intelligence Officer),0,1,M-25-21 AI Strategy (180-day) not found as a separate public document; standalone generative AI policy not found,FTC posts its M-25-21 Compliance Plan on ftc.gov/ai (the page titles it the FTC AI Compliance Plan; the PDF filename is FTC-AI-Use-Policy.pdf).
GPO,Government Publishing Office,Independent,yes,2026-05-21,https://www.gpo.gov/,,,,Unknown (CIO Sam Musa leads AI program; no public CAIO designation),0,0,"No public AI strategy, compliance plan, or generative AI policy found","GPO is a LEGISLATIVE-branch agency and is not subject to OMB M-24-10/M-25-21. News coverage (Nextgov, GPO testimony) confirms GPO created an internal AI-specific policy and adheres to the NIST AI RMF, but no formal AI policy document is posted publicly on gpo.gov."
GSA,General Services Administration,Independent,yes,2026-05-21,https://www.gsa.gov/artificial-intelligence/resources,2025,2025,2026,Named: Zachary Whitman,1,3,"GSA publishes M-25-21 strategy/compliance as web pages, not PDFs","Full set: M-25-21 AI Strategy + Compliance Plan (web pages, Sept 2025) + CIO 2185.1C AI directive (Mar 2026, supersedes 2185.1A/B, includes genAI governance). Strategy/compliance saved as HTML; directive + FedScoop PDF mirror also saved."
HHS,Department of Health and Human Services,Cabinet,yes,2026-05-21,https://www.hhs.gov/programs/topic-sites/ai/strategy-implementation/index.html,2025,2025,2025,Named: Clark Minor (acting CAIO),0,6,No standalone CAIO designation document or AI governance board charter posted publicly.,"Strong coverage: M-25-21 AI strategy (Dec 2025), M-25-21 compliance plan, M-24-10 compliance plan, Jan 2025 HHS AI Strategic Plan (health/HHS/public health), plus component genAI policies from CMS and ACF. hhs.gov hard-blocks curl; department docs pulled via Wayback Machine / mirrors."
HUD,Department of Housing and Urban Development,Cabinet,yes,2026-05-21,https://www.hud.gov/ai,2025,2025,,Unknown,2,5,"No public CAIO designation, generative AI policy, or M-24-10 plan found.","Full M-25-21 set: AI Strategy + Compliance Plan (Sept 2025), plus AI Technical Requirements and AI Definitions guidance. HUD OIG filed its own separate M-25-21 compliance plan."
NARA,National Archives and Records Administration,Independent,yes,2026-05-21,https://www.archives.gov/ai,,2025,,Named: Gulam Shakir (Chief Artificial Intelligence Officer),0,1,M-25-21 AI Strategy (180-day) not posted as a standalone document; standalone generative AI policy not found,"NARA posts its M-25-21 Compliance Plan (Sept 18 2025) on archives.gov/ai. Governance via the Enterprise Architecture Governance Board (EAGB). Strategic Framework 2026-2030 mentions AI but is a general agency strategic plan, not an AI strategy."
NASA,National Aeronautics and Space Administration,Independent,yes,2026-05-21,https://www.nasa.gov/artificial-intelligence/,,2024,,"Named: David Salvagnini (CDO/CAIO, named 2024); Kevin Murphy acting CAIO since Nov 2025",1,2,M-25-21 AI Strategy (180-day) and M-25-21 Compliance Plan not posted publicly; standalone generative AI policy not found,NASA AI landing page links only White House/OMB memos. Public artifacts: M-24-10 compliance plan (2024) and AI Strategy Board (AISB) charter NC 1000.61 (eff. Jan 2025). NASA AISB charter says the board reviews/approves a NASA AI Strategy but no public M-25-21 strategy document was located.
NCUA,National Credit Union Administration,Independent,yes,2026-05-21,https://ncua.gov/ai,,2025,,Named: Amber Gravius,0,1,"No public M-25-21 AI Strategy, M-24-10 plan, CAIO announcement, or generative AI policy found.","NCUA published its M-25-21 AI Compliance Plan (Sept 2025) as a web page, developed under CAIO Amber Gravius. No separate AI strategy document."
NLRB,National Labor Relations Board,Independent,yes,2026-05-21,https://www.nlrb.gov/ai,,2025,,Named: David K. Gaston,0,2,No public M-25-21 AI Strategy or generative AI policy found.,NLRB has an M-25-21 compliance plan (Sept 2025) and a Sept 2024 CAIO Statement Letter (serving as M-24-10 compliance documentation). David K. Gaston named first CAIO.
