slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
sba-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,SBA,"Creating visual representations of data sets for reports or presentations using AI.",employees,office_staff,component,general,medium,"Perplexity/Tableau AI for report visuals reads as a small analyst group; band 1-100 vs 6,000 headcount is far below enterprise scale."
sba-curating-news-articles-and-updates-based-on-user-preferences-using-ai,SBA,"Curating news articles and updates based on user preferences using AI.",employees,occupation:comms,component,comms,high,"Meltwater is a media-monitoring platform used by comms/public-affairs shops; band 1-100 of 6,000 headcount fits one office, not enterprise rollout."
sba-generating-code-using-ai,SBA,"Generating code using AI.",employees,occupation:developers,component,technical,high,"GitHub Copilot/Amazon Q Developer for code generation maps to developer occupation; band 1-100 of 6,000 headcount matches a small dev team."
sba-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,SBA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"Band lower bound 5,001 is ~83% of the 6,000 headcount, consistent with an enterprise Microsoft 365 Copilot drafting rollout."
sba-improving-the-quality-of-written-communications-using-ai-tools,SBA,"Improving the quality of written communications using AI tools.",employees,all_staff,enterprise,general,high,"Same enterprise productivity-suite pattern as the drafting use case; band 5,001+ approaches the full 6,000-person headcount."
sba-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,SBA,"Logging and analyzing time spent on tasks using AI-powered time management tools.",employees,office_staff,component,general,low,"Perplexity is a general search/chat tool, an odd fit for 'time management tools'; band 1-100 of 6,000 treated as a small pilot group, confidence low due to the product/narrative mismatch."
sba-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,SBA,"Managing and prioritizing internal service or help desk tickets using AI.",employees,all_staff,enterprise,excluded_not_seats,medium,"Band 5,001+ spans nearly all of the 6,000-person agency (everyone who can submit a ticket), but ServiceNow AIOps does backend triage/categorization rather than giving each employee an AI seat."
sba-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,SBA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Matches the CrowdStrike/Defender worked example exactly: Microsoft Defender/SentinelOne/Wiz are endpoint security agents counted per device, not people using an AI tool."
sba-planning-travel-routes-using-ai-driven-map-applications,SBA,"Planning travel routes using AI-driven map applications.",public_users,unknown,enterprise,excluded_not_seats,medium,"Per the map-app worked example, consumer navigation AI (Apple Maps) isn't an AI seat regardless of whether the 1,001-5,000 band counts staff phones or general use."
sba-prioritizing-and-categorizing-incoming-emails-using-ai,SBA,"Prioritizing and categorizing incoming emails using AI.",employees,office_staff,component,general,medium,"Small band (1-100 of 6,000) for email triage via a general chat tool reads as limited office-staff use, not enterprise-wide."
sba-scheduling-and-managing-social-media-posts-using-ai,SBA,"Scheduling and managing social media posts using AI.",employees,occupation:comms,component,comms,high,"Sprout Social is a social-media management platform used by comms staff; band 1-100 of 6,000 fits one office."
sba-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,SBA,"Scheduling internal-to-government meetings or appointments or setting reminders using AI.",employees,all_staff,enterprise,general,high,"Band 5,001+ covers most of the 6,000-person workforce, consistent with an enterprise Copilot scheduling feature."
sba-searching-for-agency-information-using-a-knowledge-retrieval-system,SBA,"Searching for agency information using a knowledge retrieval system.",employees,all_staff,enterprise,general,high,"Same enterprise-chat pattern; band 5,001+ approaches the full headcount of 6,000."
sba-summarizing-the-key-points-of-a-lengthy-report-using-ai,SBA,"Summarizing the key points of a lengthy report using AI.",employees,office_staff,component,general,medium,"Small band (1-100 of 6,000) for report summarization via general chat tools indicates limited office-staff use."
sba-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,SBA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,high,"Meeting-transcription accessibility via Copilot at band 5,001+ of 6,000 headcount reads as an enterprise M365 feature rollout."
sba-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,SBA,"Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID unlocks a device, not an AI seat for a person; band counts phones/devices, consistent across every Face ID row in this batch."
sba-using-ai-assisted-tools-in-word-processors,SBA,"Using AI-assisted tools in word processors.",employees,all_staff,enterprise,general,high,"Band 5,001+ of 6,000 headcount matches an enterprise Copilot/Gemini word-processing rollout."
state-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,State,"Creating visual representations of data sets for reports or presentations using AI.",employees,office_staff,component,general,medium,"NotebookLM (general research) and HeyGen (video, comms-leaning) are a mixed toolset for report visuals; band 1-100 of 77,000 is a tiny pilot group, kept general since the narrative doesn't specify a PA function."
state-curating-news-articles-and-updates-based-on-user-preferences-using-ai,State,"Curating news articles and updates based on user preferences using AI.",employees,office_staff,component,general,medium,"Unlike SBA's Meltwater (a media-monitoring platform), State uses general chat assistants (ChatGPT/Claude/Gemini/NotebookLM/Perplexity) for personalized news curation, reading as individual employee use (band 1,001-5,000 of 77,000) rather than a dedicated comms function."
state-editing-images-videos-or-other-public-affairs-materials-using-ai,State,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"'Editing images, videos, or other public affairs materials' with HeyGen explicitly names the PA/comms function."
state-generating-code-using-ai,State,"Generating code using AI.",employees,occupation:developers,component,technical,high,"Code-generation use case maps to developer occupation regardless of the general_llm product label, per the population-overrides-product rule."
state-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,State,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,component,general,medium,"Band 5,001-10,000 is ~7-13% of the 77,000 headcount, a subset of office staff drafting with general chat tools, not enterprise-wide."
state-improving-the-quality-of-written-communications-using-ai-tools,State,"Improving the quality of written communications using AI tools.",employees,office_staff,component,general,medium,"Same fractional-of-headcount reasoning as the drafting use case (5,001-10,000 of 77,000)."
state-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,State,"Managing and prioritizing internal service or help desk tickets using AI.",employees,single_component,component,excluded_not_seats,medium,"Band 101-1,000 is a small slice of the 77,000-person agency, reading as IT/help-desk staff who triage tickets rather than the whole submitting population; ServiceNow does backend categorization, not a person-facing seat."
