use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34225,agentD,bespoke_application,0,nlp_specific,bureau,medium,"""voice to voice translations"" via vendor-developed mobile apps under research/development at ICE ERO.",,,0,,,,,,,,,,inference_only,0,mission_critical,0,ICE ERO
34253,agentD,custom_system,0,predictive_analytics,bureau,medium,"""anomaly detection"" and ""risk and predictive scores"" for health threat surveillance.",,,0,,,,,,,,,,custom_trained,1,mission_critical,0,DHS Office of Health Security
34257,agentD,custom_system,0,nlp_specific,department,high,"""topic modeling, sentiment analysis"" NLP built in-house on DHS Pulse Survey responses.",,,0,,,,,,,,,,custom_trained,1,administrative,0,DHS OCHCO
34315,agentD,custom_system,0,classical_ml,bureau,high,"""Two ML models (BEACON and SINCT)"" classify NAICS/NAPCS write-ins in real time.",,,0,,,,,,,,,,custom_trained,1,mission_critical,1,Census Bureau
34353,agentD,generic_use_pattern,1,general_llm,office,low,"""Promptly analyze cybersecurity architecture, documentation"" suggests LLM-aided analysis, in-house, initiated stage.",,,0,,,,,,,,,,unknown,0,cybersecurity,0,NOAA cybersecurity
34431,agentD,bespoke_application,1,general_llm,bureau,high,"""Retrieval-Augmented Generation"" with LLM summarization of data catalog content.",,,0,,,,,,,,,,rag_pipeline,0,mission_critical,1,NREL
34432,agentD,custom_system,0,nlp_specific,office,medium,"""reading and tagging 100,000 Energy.gov webpages"" via topic-modeling tags.",,,0,,,,,,,,,,custom_trained,1,administrative,0,DOE Public Affairs
34600,agentD,custom_system,0,computer_vision,bureau,high,"""geospatial artificial intelligence methods to map annual land cover"" — DL imagery model built in-house.",,,0,,,,,,,,,,custom_trained,1,mission_critical,1,USGS
34668,agentD,product_feature,1,general_llm,office,medium,"""MetaAI offer search and chatbot assistance with the Facebook application"" — embedded GenAI feature.",,,1,Meta AI,Meta,,,,,,,,inference_only,0,administrative,1,DOL OCIO PR/comms
34704,agentD,custom_system,0,classical_ml,department,high,"""the machine learning model predicts records schedules"" — in-house records classifier.",,,0,,,,,,,,,,custom_trained,1,administrative,0,EPA
34711,agentD,custom_system,0,predictive_analytics,office,high,"""Risk scoring (Ranking from lowest to highest risk) for NPDES facilities"" predictive model.",,,0,,,,,,,,,,custom_trained,1,mission_critical,0,EPA OECA
34722,agentD,product_deployment,1,general_llm,department,medium,"""document repository by Tanjo (tanjo.ai) that leverages AI to improve document discovery.""",,,1,Enterprise Brain,Tanjo,,,,,,,,rag_pipeline,0,administrative,0,GSA
34840,agentD,product_feature,0,classical_ml,office,medium,"""native Salesforce AI capabilities"" for Recommender/Sentiment within RECON (now retired).",,,1,Salesforce Einstein,Salesforce,,,,,,,,inference_only,0,administrative,0,CMS OC
34858,agentD,bespoke_application,0,nlp_specific,office,medium,"""normalizing labor categories"" across historical proposals via custom ML.",,,0,,,,,,,,,,custom_trained,1,administrative,0,CMS OAGM
35011,agentD,custom_system,0,classical_ml,bureau,high,"""machine learning algorithms"" detect MSS data anomalies for Ginnie Mae monthly reporting.",,,0,,,,,,,,,,custom_trained,1,mission_critical,0,Ginnie Mae
35019,agentD,custom_system,0,classical_ml,bureau,high,"""reconfigurable application framework... planning and scheduling"" for spacecraft missions, hybrid built.",,,0,,,,,,,,,,custom_trained,0,mission_critical,0,NASA JPL
35032,agentD,custom_system,0,classical_ml,bureau,medium,"""uses ML model to suggest if a purchase may be a taggable asset"" — classifier on purchase card data.",,,0,,,,,,,,,,custom_trained,1,administrative,0,NASA JPL
35036,agentD,product_deployment,1,general_llm,office,high,"""Wellsaid has been used to generate placeholder voice over"" — COTS generative TTS.",,,1,WellSaid,WellSaid Labs,,,,,,,,inference_only,0,administrative,0,NSF OLPA
