agency,use_case_name,bureau,current_scope,proposed_scope,proposed_is_enterprise_wide,confidence,reasoning,evidence_url
DHS,"Commercial Generative AI for Code Generation",DHS,department,enterprise_wide,1,high,"Narrative: 'DHS employees are permitted to use commercially available generative AI' — a department-wide permission covering all DHS employees. Same row is tagged enterprise_wide in 2025.",https://www.dhs.gov/news/2023/11/14/dhs-announces-new-policies-and-measures-promoting-responsible-use-artificial
DHS,"Commercial Generative AI for Image Generation",DHS,department,enterprise_wide,1,high,"Same department-wide commercial GenAI permission as the text/code rows — all DHS employees.",https://www.dhs.gov/news/2023/11/14/dhs-announces-new-policies-and-measures-promoting-responsible-use-artificial
DHS,"Commercial Generative AI for Text Generation (AI Chatbot)",DHS,department,enterprise_wide,1,high,"The Nov 2023 DHS conditional approval of ChatGPT/Bing/Claude/DALL-E for all employees; tagged enterprise_wide in the 2025 inventory for the same use case.",https://www.dhs.gov/news/2023/11/14/dhs-announces-new-policies-and-measures-promoting-responsible-use-artificial
DOI,"DOIChatGPT AI Chatbot",OCIO,department,enterprise_wide,1,high,"'Create for DOI users a secure space to chat with an LLM' — OCIO-operated chatbot offered to DOI users department-wide (GovChat deployment inside DOI's boundary).",
DOI,"DOIChatGPT API Management Instance",OCIO,department,enterprise_wide,1,medium,"Infrastructure backbone providing secured Azure OpenAI access for projects department-wide; enterprise service layer rather than a single-office tool.",
DOI,"Proposal for the I-NEPA System: Leveraging Artificial Intelligence (AI) for Enhanced Efficiency in E","OS - Office of the Secretary of the Interior",department,enterprise_wide,1,medium,"Explicitly spans NEPA actions 'throughout the Department of the Interior' — cross-bureau department-wide system, though its user base is environmental-review staff rather than all employees.",
DOJ,"Percipio Skillsoft CAISY",Department-wide,department,enterprise_wide,1,high,"Filed as Department-wide workforce training tool ('customize learning environments for the workforce').",
DOJ,ServiceNow,Department-wide,department,enterprise_wide,1,high,"Department-wide IT helpdesk automation serving all DOJ staff who file IT requests.",
DOJ,"Westlaw (AI assisted legal research)",Department-wide,department,enterprise_wide,1,high,"Filed Department-wide; Westlaw legal-research licensing spans DOJ litigating components — DOJ's workforce is attorney-heavy.",
DOL,"Generative AI Assistant",OCIO,department,enterprise_wide,1,medium,"OCIO-operated in-house GenAI solution offered for business use cases across DOL (summarization/analysis/comparison); continued in 2025 as the AI Center's Generative AI Assistant.",
DOT,"DOT Generative AI (GenAI) Policy","CAIO, OST-P, OCIO, OST-R",department,enterprise_wide,1,medium,"DOT-wide GenAI policy (Ideation). Department-wide by definition, though it is a policy effort rather than a deployed tool — flag for the analysis layer.",
EPA,GovChat,"Office of Mission Support",department,enterprise_wide,1,high,"'Provide a generative AI chatbot tool to EPA staff' on the EPA network — agency-wide internal chatbot in O&M, operated by the Office of Mission Support.",
GSA,"Elastic Machine Learning Threat Detection - Phase 2",GSA,department,office,0,high,"DOWNGRADE: tool is for GSA SOC analysts only (scope_detail 'GSA SOC') — a security-operations team tool mislabeled department-wide.",
HHS,"AI-Assisted Real-time Collaboration",HHS,department,enterprise_wide,1,medium,"Generic real-time collaboration AI filed at HHS department level, O&M; no component restriction stated.",
HHS,"Report Summarization by commercial GenAI platform",HHS,department,enterprise_wide,1,high,"Department-level permission to use commercial GenAI (ChatGPT/Gemini) for non-sensitive summarization — parallel to the DHS commercial-GenAI rows.",
HHS,"Transcription in Zoom and Teams",HHS,department,enterprise_wide,1,high,"Zoom/Teams meeting transcription available department-wide, O&M.",
NARA,"Develop a Natural Language Based Chat Interface (like ChatGPT) to Interact With the Archival Documents","",department,enterprise_wide,1,low,"Planned agency-wide (and public-facing) archival chat interface; not bureau-scoped, but it is a Planned public research tool rather than an employee productivity tool — flag for the analysis layer.",
