agency,use_case_name,flagged_dimension,current_2025_value,verdict,corrected_value,confidence,reasoning
DHS,Open-Source Intelligence for Investigations,ai_sophistication,general_llm,keep_2025,general_llm,medium,"Agency's own 2025 ai_classification is 'Generative AI' and narrative describes making 'sense of vast amounts of multilingual, multimodal publicly available online data' — LLM-class multimodal platform; 'image and sentiment classification' is only one component, so neither computer_vision nor the 2024 predictive_analytics tag (which described the retired Open-Source News Aggregation forecasting predecessor) fits better than general_llm."
DHS,Recovery and Resilience Resource (RRR) Portal,is_generative_ai,0,fix_2025,1,high,2025 row retired/empty; 2024 narrative: 'smart matching wizard functionallity via AI large language model (LLM)' and 'The smart matching wizard will be an AI LLM' — explicit LLM system.
DHS,Burlington Finance Center Voice Bot,is_generative_ai,0,keep_2025,0,high,2025 narrative explicitly disavows genAI: 'The BFC Voice Bot will be deterministic and will not use Generative AI.' The 2024 genai marker was the same disavowal phrase; 2025 tag of 0 is correct.
DHS,ESEC Inquiry (STORM) Summarization,is_generative_ai,0,fix_2025,1,high,2025 narrative: 'employs Generative Artificial Intelligence (Gen-AI) technology to automate the creation of document summaries'; agency ai_classification is 'Generative AI'.
DHS,Conversation Training and Feedback Simulator,is_generative_ai,0,fix_2025,1,high,"2025 row retired/empty; 2024 narrative: 'uses a large language model (LLM) as part of an interactive, dialogue-style training functionality' producing 'Text responses to questions'."
DOC,FAQ for SMaRT,is_generative_ai,0,keep_2025,0,high,"2025 narrative empty; 2024 narrative explicitly: 'The answers it provides back to the public are census-approved answers, and not generative AI answers' — LLM embeddings used only for semantic similarity ranking, not generation. 2025 tag of 0 is correct."
DOC,Statistical package syntax development and debugging,is_generative_ai,0,fix_2025,1,high,2025 row empty; 2024 narrative: 'I utilized ChatGPT to generate SPSS syntax' — generative code production via ChatGPT.
DOC,Natural Language Search for data.census.gov,is_generative_ai,0,fix_2025,1,high,2025 row empty; 2024 narrative: 'natural language search interface powered by an LLM that uses a RAG architecture' — 'retrieval augmented generation' to generate answers.
DOC,Streamline Spectrum Activities,is_generative_ai,0,fix_2025,1,medium,2025 row empty; 2024 narrative: 'using Azure and CoPilot capabilities' with 'OSM CoPilot provides General office productivity outputs' — Microsoft Copilot is a generative-AI product.
DOI,"Extracting robust, searchable data from narrative geologic descriptions [2024 INV#WO0000000109022]",is_generative_ai,0,fix_2025,1,high,2025 agency ai_classification is 'Generative AI'; narrative (2024 continuation): 'using natural language processing and large language models to parse readily queryable information out of thousands of descriptions'.
