agency,use_case_name,bureau_component,current_scope,proposed_scope,proposed_is_enterprise_wide,confidence,reasoning,evidence_url
DHS,Commercial Generative AI for Code Generation,DHS,enterprise_wide,enterprise_wide,1,high,KEEP: was genuinely department-wide permission; row is Retired in 2025 (DHS canceled commercial GenAI May 2025 in favor of DHSChat) so it will not count toward live-enterprise stats anyway.,https://fedscoop.com/dhs-restricts-commercial-generative-ai-tools/
DHS,Commercial Generative AI for Image Generation,DHS,enterprise_wide,enterprise_wide,1,high,KEEP: same department-wide permission family; Retired in 2025.,
DHS,Commercial Generative AI for Text Generation (AI Chatbot),DHS,enterprise_wide,enterprise_wide,1,high,KEEP: same department-wide permission family; Retired in 2025.,
DOC,USAi.gov,OS,enterprise_wide,enterprise_wide,1,high,"KEEP: GSA's government-wide USAi platform 'deployed... to provide employees with secure, role-appropriate access' across Commerce bureaus — textbook enterprise deployment.",https://www.gsa.gov/about-us/newsroom/news-releases
DOE,AI-Form and Questionnaire Assistant,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),enterprise_wide,bureau,0,high,"DOWNGRADE: 'Enterprise System Boundary' here is the Savannah River SITE enterprise — one contractor-run site (~11k workers), not the Department of Energy's workforce. Site-wide ≠ DOE-wide.",
DOE,AccessAI,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),enterprise_wide,bureau,0,high,DOWNGRADE: SRS site-scoped RAG gateway; site-wide ≠ DOE-wide.,
DOE,Ask Alan,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),enterprise_wide,bureau,0,high,DOWNGRADE: SRS site-scoped training tool.,
DOE,Ask CAS,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),enterprise_wide,bureau,0,high,DOWNGRADE: SRS site-scoped issues-management tool.,
DOE,Ask HR,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),enterprise_wide,bureau,0,high,DOWNGRADE: SRS site-scoped HR tool (SRNS contractor workforce).,
DOE,Ask IT,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),enterprise_wide,bureau,0,high,DOWNGRADE: SRS site-scoped IT-help tool.,
DOE,DIRECTIVES,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),enterprise_wide,bureau,0,high,"DOWNGRADE: SRS site-scoped RAG over DOE/NNSA directives — used at the site, not deployed DOE-wide.",
