use_case_id,agency,use_case_name,prior_corrected_value,final_is_general_llm_access,final_deployment_scope,decision,confidence,search_attempted,search_query,evidence_url,evidence_quote,notes
7405,DHS,Smartphone Information Forensics Triage,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7413,DHS,Synthetic data for improved Automated Threat Recognition (ATR) in checkpoint screening,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7414,DHS,Electronic Evidence/Video Recording Transcription and Summarization Tool,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7415,DHS,USCIS Document Translation Service,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7421,DHS,CBP Common AI Service(CCAIS) Image Analysis and Data Correlation,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7435,DHS,Forced Labor Virtual Consultant,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7437,DHS,Source Code Development Tool,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7438,DHS,Open Metadata,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7439,DHS,Automated Incident Creation (IT),0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7440,DHS,TRM Classification Tool,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7441,DHS,FOIA processing automated redaction (RedactAI),0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7442,DHS,Speech Assist Virtual Interview Assistant,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7444,DHS,CodeGen,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7452,DHS,Individual Assistance Document Translation,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7453,DHS,Grants Manager Artificial Intelligence ChatBot,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7459,DHS,SEVP Response Center Chatbot - SID (SEVIS Interactive Dialog),0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7460,DHS,Digital Records Manager (DRM) User Assistance Chatbot,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7467,DHS,Named Entity Resolution for Investigative Data,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7472,DHS,CFO Navigator,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7480,DHS,Contract Requirement Automation,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
7481,DHS,TSA Case Handling Platform,0,0,bureau,confirm,high,0,,,,Narrow workflow tool / specific dataset chatbot / classifier / extraction pipeline — not general-purpose LLM access.
