agency,use_case_name,bureau_component,scope_detail,deployment_scope,is_enterprise_wide,estimated_user_count,stage_of_development,tool_product_name,problem_statement,expected_benefits,ref_id_unstable
DHS,"Commercial Generative AI for Code Generation",DHS,,enterprise_wide,1,,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",,"","",132319
DHS,"Commercial Generative AI for Image Generation",DHS,,enterprise_wide,1,,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",,"","",132318
DHS,"Commercial Generative AI for Text Generation (AI Chatbot)",DHS,,enterprise_wide,1,,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",,"","",132317
DOC,USAi.gov,OS,,enterprise_wide,1,,,,"The Department is deploying USAI.gov, a government-wide generative AI capability provided by the General Services Administration (GSA), designed to provide employees with secure, role-appropriate access to advanced large-language-model tools. USAI.gov enables bureaus to rapidly pilot and scale AI use cases—ranging from document drafting and data summarization to policy analysis—within a controlled",,132537
DOE,"AI-Form and Questionnaire Assistant","SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO)",,enterprise_wide,1,,"Pre-deployment – The use case is in a development or acquisition status.",,"""To automate and enhance the completion of standard  forms and questionnaires used onsite at SRNS. This AI aims to reduce time, effort, errors, and enhance context understanding, consistent formatting, and independent outputs from the system.""","Reduced development time, reduced errors and rework,  better context understanding, and improved standardization and formatting, reducing time spent on forms by half.",132843
DOE,AccessAI,"SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO)",,enterprise_wide,1,,"Pre-deployment – The use case is in a development or acquisition status.",,"GenAI-RAG on corporate content","Productivity Tool",132860
DOE,"Ask Alan","SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO)",,enterprise_wide,1,,"Pre-deployment – The use case is in a development or acquisition status.",,"GenAI/AI interactive learning","Productivity Tool",132707
DOE,"Ask CAS","SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO)",,enterprise_wide,1,,"Pre-deployment – The use case is in a development or acquisition status.",,"GenAI-RAG to support issues management","Productivity Tool",132663
DOE,"Ask HR","SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO)",,enterprise_wide,1,,"Pre-deployment – The use case is in a development or acquisition status.",,"GenAI-RAG on HR content","Productivity Tool",132839
DOE,"Ask IT","SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO)",,enterprise_wide,1,,"Pre-deployment – The use case is in a development or acquisition status.",,"GenAI-RAG on IT content","Productivity Tool",132751
