use_case_id_2024,tagged_by_agent,quality_flags_json,reasoning,confidence,entry_type,is_generative_ai,ai_sophistication,deployment_scope,is_general_llm_access,is_coding_tool,tool_product_name,tool_vendor
34138,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34162,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024"", ""tagging_error_2025""]",ai_sophistication LLM-class shift predictive_analytics→general_llm; 2024 tagged predictive_analytics; narrative + 2025 indicate LLM-class; 2025 marks general_llm but narrative is computer-vision,medium,product_deployment,0,general_llm,bureau,1,0,Aretec SEARCH,Aretec
34167,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",ai_sophistication LLM-class shift classical_ml→general_llm; 2024 tagged classical_ml; narrative + 2025 indicate LLM-class,medium,product_deployment,0,general_llm,bureau,1,0,Aretec SEARCH,Aretec
34175,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic,medium,,,,,,,,
34185,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift computer_vision→agentic,medium,,,,,,,,
34223,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34225,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
34248,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift nlp_specific→general_llm,medium,,,,,,,,
34273,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift nlp_specific→general_llm,medium,,,,,,,,
34287,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift nlp_specific→general_llm,medium,,,,,,,,
34291,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift computer_vision→general_llm; 2024 missed generative AI signals present in narrative,medium,bespoke_application,1,general_llm,bureau,0,0,,
34294,wave2a-renamed-split,"[""material_divergence""]",scope bureau→enterprise_wide (≥2 tiers),medium,,,,,,,,
34341,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
34357,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
34362,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
34372,wave2a-renamed-split,"[""material_divergence"", ""tagging_error_2024""]",ai_sophistication LLM-class shift predictive_analytics→general_llm; 2024 tagged predictive_analytics; narrative + 2025 indicate LLM-class,medium,custom_system,0,general_llm,bureau,1,0,,
34405,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0,medium,,,,,,,,
34408,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau,high,,,,,,,,
34427,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence"", ""tagging_error_2024""]",ai_sophistication LLM-class shift classical_ml→general_llm; scope pilot→bureau (≥2 tiers); scope rollout pilot→bureau; 2024 tagged classical_ml; narrative + 2025 indicate LLM-class,medium,bespoke_application,0,general_llm,pilot,1,0,,
34466,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=1 vs 2025=0; ai_sophistication LLM-class shift general_llm→classical_ml,medium,,,,,,,,
34514,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift classical_ml→agentic,medium,,,,,,,,
34533,wave2a-renamed-split,"[""material_divergence""]",is_generative_ai 2024=0 vs 2025=1; ai_sophistication LLM-class shift predictive_analytics→agentic,medium,,,,,,,,
34641,wave2a-renamed-split,"[""drift_legitimate"", ""material_divergence""]",ai_sophistication general_llm→agentic (LLM→agentic uplift); general_llm→agentic = maturity uplift,high,,,,,,,,
34726,wave2a-renamed-split,"[""material_divergence""]",ai_sophistication LLM-class shift computer_vision→general_llm,medium,,,,,,,,
