canonical_name,vendor,product_type,is_generative_ai,proposed_parent_canonical_name,linking_use_case_ids,linking_consolidated_ids,confidence,reasoning,_agent
CBP Translate,U.S. Customs and Border Protection,translation,0,,64761,,medium,"DHS CBP-built translation system. development_type=contracting+in-house; vendor list is integrators, not AI product vendor. Treat as custom government product.",agent_a
Traveler Verification Service,U.S. Customs and Border Protection,biometrics,0,,64765,,high,"DHS CBP TVS — federal-built facial biometric matching. Vendor field lists hardware vendors (Apple, Samsung, Logitech), which are not the AI product.",agent_a
ERNIE Radiological Detection,DHS Countering Weapons of Mass Destruction,computer_vision,0,,64776,,medium,DHS CWMD-built. Specific named federal system (ARDIS-C). Not COTS.,agent_a
Consular Consolidated Database Facial Recognition,U.S. Department of State,biometrics,0,,64779,,medium,DoS-owned Consular Consolidated Database FR service consumed by DHS. Distinct gov product.,agent_a
AIS Resume Screening Tool,AIS,document_ai,0,,64784,,low,Vendor 'AIS' is the company; development_type contracting+in-house; specific tool. Limited public info — flag low confidence on vendor canonicalization.,agent_a
Rohde & Schwarz QPS Walk-Through Scanner,Rohde & Schwarz,computer_vision,0,,64787,,medium,TSA Advanced Imaging Technology — Rohde & Schwarz QPS is the COTS scanner. Leidos is integrator.,agent_a
USCIS Text Analytics,U.S. Citizenship and Immigration Services,nlp,0,,64790,,medium,USCIS-built text analytics platform; Inadev is integrator. Federal product.,agent_a
USCIS Verification Match Model,U.S. Citizenship and Immigration Services,nlp,0,,64792,,medium,USCIS-built; IBM is contracting integrator. Discrete federal product.,agent_a
USCIS Customer Profile Management System Facial Recognition,U.S. Citizenship and Immigration Services,biometrics,0,,64793,,medium,USCIS-built; Pluribus is integrator. Federal product. IDENT is downstream.,agent_a
Person-Centric Identity Services Deduplication Model,U.S. Citizenship and Immigration Services,nlp,0,,64794,,medium,USCIS-built; MetroIBR is integrator.,agent_a
Advanced Trade Analytics Platform,U.S. Customs and Border Protection,data_analytics,0,,64796,,medium,CBP-built; Elder Research/DevTech/Guidehouse are integrators.,agent_a
PDRI Remote Proctor,PDRI (Pearson),computer_vision,0,,64802,,low,PDRI is a Pearson subsidiary providing assessment services. Specific remote-proctor product.,agent_a
ATS Passport Anomaly Model,U.S. Customs and Border Protection,nlp,0,,64808,,medium,Custom CBP/ATS-built; ManTech integrator. Federal product.,agent_a
ATS Trade Entity Risk Model,U.S. Customs and Border Protection,data_analytics,0,,64810,,medium,Custom CBP/ATS-built; ManTech integrator.,agent_a
RAVEn Investigative Prioritization Aggregator,U.S. Homeland Security Investigations,data_analytics,0,,64811,,medium,HSI's RAVEn platform; Sandia builds models for HSI. Federal-owned.,agent_a
RAVEn Translation and Transcription Service,U.S. Homeland Security Investigations,translation,0,,64812,,medium,HSI/RAVEn capability; Booz Allen integrator.,agent_a
CANDA UEBA,CANDA Solutions,security_tool,0,,64819,,medium,CANDA Solutions provides the COTS UEBA tool deployed for DHS VIEW.,agent_a
Biometrics Enrollment Tool,U.S. Citizenship and Immigration Services,biometrics,0,,64820,,medium,USCIS-built BET; Pluribus integrator. Distinct from IDENT/IDEMIA.,agent_a
ELIS Name and DOB Harvesting Service,U.S. Citizenship and Immigration Services,nlp,0,ELIS,64821,,medium,USCIS ELIS-resident service; SAIC/DV United integrators.,agent_a
ELIS Card Photo Validation Service,U.S. Citizenship and Immigration Services,computer_vision,0,,64822,,medium,USCIS ELIS service.,agent_a
ClassifAI,DHS / Starlo,document_ai,1,,64828,,medium,Specific named generative-AI HR tool (ClassifAI) built by Starlo+Deloitte for DHS.,agent_a
