queue_id,use_case_id,source_text,decision,mapped_canonical_product,proposed_new_product_name,proposed_vendor,confidence,search_attempted,search_query,evidence_url,notes
3141,7493,Invariant Corporation  Acoustic Signature AI for Gunshot Detection The AI will be used to make confidence determinations between non gunshot acoustic activity and actual gunshot activity to reduce false alerts to agents monitoring the User Interface.,seed_new_alias,,Invariant Acoustic Signature AI,Invariant Corporation,high,no,,db_row_7493,already proposed in earlier round; product_type=audio_analysis
3142,7502,"Aneesh Technologies, 24X7, Ellumen Inc., Deloitte, NiyamIT CBP Translate CBP Translate Assist officers and agents with immediate interpretation needs when human translators are not available.",service_contractor_only,,,,medium,no,,db_row_7502,leading contractor names; no recognizable product
3143,7506,"CBP procured mobile devices (Apple, Samsung) commercial off the shelf cameras (Logitech) Traveler Verification Service Supervised Traveler Identity Verification Services (Officer Initiated) Biometric Entry processing fulfills a Congressional mandate.",service_contractor_only,,,,medium,no,,db_row_7506,leading contractor names; no recognizable product
3144,7512,"TRM Labs  Cryptocurrency Analysis Identification of transactions that may have been made with a designated entity, company, or location that may be using crypto to circumvent financial reporting. This tool will help CBP identify business and travelers who may be using cryptocurrency to conceal illicit transactions not reported within the U.S. financial system.",seed_new_alias,,TRM Labs Blockchain Analysis Platform,TRM Labs,high,no,,db_row_7512,already proposed in earlier round; product_type=blockchain_analytics
3145,7517,"Countering Weapons of Mass Destruction, Department of Homeand Security Automated Radiological Data Integration System - Cloud (ARDIS-C) ERNIE ERNIE is used to analyze Radiation Portal Monitor (RPM) data to enhance the detection of radioactive materials. It provides a more efficient review of stream of commerce radiation portal monitor data and provides real-time risk assessments and alerts for potential threats",agency_internal_system_name,,,,medium,no,,db_row_7517,agency program/system acronym; vendor is contractor without product name
3146,7520,Department of State  Consular Consolidated Database (CCD) Facial Recognition (FR) On Demand Report (VISA Only) On-demand facial recognition services.,service_contractor_only,,,,medium,no,,db_row_7520,leading contractor names; no recognizable product
3147,7522,"Law Enforcement Sensitive (LES) Law Enforcement Sensitive (LES) Facial Recognition for Locating Vulnerable Populations The use case addresses the challenge of identifying and locating members of vulnerable populations, such as unaccompanied minors who have crossed the border, whose identities and locations are unknown to law enforcement.",service_contractor_only,,,,high,no,,db_row_7522,no product name; redacted/N/A/internal-only string
3148,7523,Law Enforcement Sensitive (LES) Law Enforcement Sensitive (LES) Facial Recognition for National Security Investigations This use case addresses the challenge of identifying individuals of interest in authorized national security investigations.,service_contractor_only,,,,high,no,,db_row_7523,no product name; redacted/N/A/internal-only string
3149,7524,"Law Enforcement Sensitive (LES) Law Enforcement Sensitive (LES) Facial Recognition for Investigations of Transnational Criminal Organizations The problem this use case solves is the challenge of identifying unknown individuals involved in transnational criminal activities, such as violent crimes, drug trafficking, human smuggling, and financial fraud.",service_contractor_only,,,,high,no,,db_row_7524,no product name; redacted/N/A/internal-only string
3150,7525,AIS  AI-Assisted Resume Screening Tool This use case intends to solve the problem of human bias during resume reviews and the time-intensive process of reviewing candidate resumes.,service_contractor_only,,,,medium,no,,db_row_7525,leading contractor names; no recognizable product
3151,7528,Law Enforcement Sensitive (LES) Law Enforcement Sensitive (LES) Facial Recognition for Investigations of Child Sexual Exploitation and Abuse This use case intends to solve the problem of identifying unknown victims and offenders depicted in child sexual abuse material.,service_contractor_only,,,,high,no,,db_row_7528,no product name; redacted/N/A/internal-only string
3152,7529,"Leidos, Rohde & Schwarz  Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening. Increase passenger throughput via improve detection performance and decreasing alarm rates and passengers touch rates by 50%",service_contractor_only,,,,medium,no,,db_row_7529,leading contractor names; no recognizable product
3153,7530,"IDEMIA Identity, Security USA LLC STIP/CAT Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor) Improving the detection of imposters.",seed_new_alias,,IDEMIA CAT-2/AutoCAT,IDEMIA,high,no,,db_row_7530,pattern match; product_type=biometrics
3154,7532,"Inadev Text Analytics Text Analytics Data Science Sentence Similarity Model The Text Analytics capability employs machine learning and data graphing techniques to identify patterns that may indicate potential fraud, national security, and/or public safety concerns by scanning the digitized narrative sections of the associated applications and looking for common language patterns.",service_contractor_only,,,,medium,no,,db_row_7532,leading contractor names; no recognizable product
