queue_id,canonical_product_id,proposed_alias,source_vendor,source_label,llm_confidence,llm_reasoning,review_disposition
847,,FLIR 280 HD,Teledyne FLIR,FLIR 280 HD,high,"Names FLIR 280 HD, a Teledyne FLIR thermal imaging camera not in canonical list.",seed_now
849,,Clearview AI,Clearview AI,Clearview AI Traveler Verification System,high,Names Clearview AI facial recognition.,seed_now
850,,ThruWave NII 3D Imaging Tool,ThruWave,ThruWave  Non-Intrusive Inspection (NII) 3D Imaging Tool,high,Names ThruWave millimeter wave 3D imaging tool.,seed_now
851,,Ideation ReadyAI,Ideation,Ideation ReadyAI,high,Names Ideation ReadyAI chatbot platform.,seed_now
852,,LIGER Generative AI Toolkit,"LMI Consulting, LLC","LMI Consulting, LLC  LIGER Generative AI Toolkit",high,Names LMI Consulting's LIGER Generative AI Toolkit.,seed_now
853,,Babel Street Babel,Babel Street,Babel Street Babel Street Babel,high,Names Babel Street's Babel platform.,seed_now
854,,ThruVision TAC 16,ThruVision,ThruVision TAC 16 Passive Body Scanner,high,Names ThruVision TAC 16 passive body scanner.,seed_now
861,,NexisXplore,LexisNexis,NexisXplore,high,NexisXplore open source/social media analysis tool; not in canonical list.,seed_now
863,,Traffic Jam,Marinus Analytics,Marinus Analytics Traffic Jam,high,Marinus Analytics Traffic Jam; not in canonical list.,seed_now
864,,iProov,iProov,IProov,high,iProov liveness detection used by CBP Link; not in canonical list.,seed_now
865,,Rekor,Rekor,Rekor,high,Rekor license plate recognition for TECS Mod; not in canonical list.,seed_now
868,,NEC NeoFace,NEC,NEC (Nippon Electric Company),high,NEC (Nippon Electric Company) facial recognition for TVS; not canonical.,seed_now
875,,Motorola License Plate Recognition,Motorola,Motorola,high,Motorola license plate capture and analysis; not in canonical list.,seed_now
889,,Skydio X2D,Skydio,Skydio and Xtender Skydio X2D,high,Skydio X2D drone; not in canonical list.,seed_now
893,,Autonomous Surveillance Tower,Anduril,Anduril Autonomous Surveillance Towers,high,Anduril Autonomous Surveillance Towers; not in canonical list.,seed_now
894,,Matroid I4 Viewer,Matroid,Matroid I4 Viewer,high,Matroid I4 Viewer; not in canonical list.,seed_now
897,,KESTREL,Maxar,Maxar KESTREL Aircraft Landing Location Predictor (KESTREL),high,Maxar KESTREL platform; not in canonical list.,seed_now
902,,CaseGuard,CaseGuard,Case Guard  AI-Assisted Audio/Video Redaction,high,CaseGuard redaction tool; not in canonical list.,seed_now
904,,Altana Atlas,Altana,Altana  Entity Resolution for Global Trade Data,high,Altana platform for global trade; not in canonical list.,seed_now
905,,TRM Labs Blockchain Analysis Platform,TRM Labs,TRM Labs  Blockchain Analysis,high,TRM Labs blockchain analysis platform; not in canonical list.,seed_now
906,,Palantir Federal Cloud Service,Palantir,Palantir Palantir Federal Cloud Service,high,Palantir Federal Cloud Service; not in canonical list.,seed_now
