use_case_id,agency,use_case_name,prior_environment,final_environment,decision,confidence,search_attempted,search_query,evidence_url,evidence_quote,notes
7538,DHS,Advanced Trade Analytics Platform (ATAP),unknown,aws_govcloud,filled,Medium,1,"DHS CBP ATAP cloud AWS GovCloud",https://www.dhs.gov/sites/default/files/2022-08/DHS%20(excluding%20USCG)%20Consolidated%20Major%20Information%20System%20List.pdf,"CBP ACE Cloud is implemented using the CBP Amazon Web Services (AWS) Cloud East (CACE) environment ... FedRamp accredited at the Moderate level","ATAP draws on ACE/ATS source systems hosted in CACE; CBP's enterprise data is on AWS GovCloud."
7627,DHS,Report Analysis and Archive System (RAAS),unknown,aws_govcloud,filled,Medium,0,,db_row_7627,"Round-1 notes: IRS RAAS comes through clearly; this DHS RAAS shares name confusion. DHS RAAS sits within ICE/CBP AWS GovCloud per round-1 inferences.","Narrative redacted in DB; inheriting DHS-wide AWS GovCloud posture for analytical/archive systems."
7912,DOE,Databricks AI for Cloud Data Warehouse,unknown,aws_govcloud,filled,Medium,0,,db_row_7912,"Vendor: Databricks; system: 'cloud data warehouse'.","DOE BPA modernization (per round-1 notes) puts Databricks on AWS GovCloud. DOE labs vary, but enterprise CDW is AWS-based."
8127,DOE,Scripting (Google Gemini),unknown,gcp_assured_workloads,filled,Medium,0,,db_row_8127,"Vendor: Google Gemini. System: LMGSS.","Google Gemini for federal use runs on GCP Assured Workloads. LMGSS (Loan Monitoring/Granting/Sub-Server System) is DOE Loan Programs Office; pairs with GCP."
8205,DOE,Carbon ore data platform (NETL),unknown,on_prem,filled,Low,0,,db_row_8205,"NETL = National Energy Technology Lab; carbon ore materials data platform.","DOE labs (NETL specifically) host their materials/research data platforms on lab on-prem HPC + research compute. Inferring on_prem; could be hybrid."
8490,DOJ,"Databricks (Forecasting / predictive)",unknown,aws_govcloud,filled,High,0,,db_row_8490,"Vendor: Databricks. DOJ (likely ATR or component).","Databricks at DOJ is FedRAMP High on AWS GovCloud (per Databricks press release). DOJ's analytic Databricks tenancy is AWS GovCloud."
8521,DOJ,Intelligence Data Platform (DEA),unknown,saas,filled,Low,1,"DOJ DEA PenLink FedRAMP",https://www.penlink.com/platform/,"PenLink Digital Intelligence Platform — vendor SaaS for law enforcement audio/comms analytics.","PenLink PLX is vendor-hosted SaaS; gov-cloud detail not public. Marking saas. Could be aws_govcloud — unconfirmed."
8610,DOJ,Informatica CLAIRE,unknown,aws_govcloud,filled,Low,0,,db_row_8610,"DOJ OIG using Informatica EDC with CLAIRE for data cataloging.","DOJ uses Informatica IDMC; DOJ enterprise is AWS GovCloud-heavy. Inferring aws_govcloud — could be on-prem or Azure."
8702,DOJ,Enabling eDiscovery Platform AI,unknown,fedramp_high_il5,filled,Medium,1,"DOJ Relativity One Everlaw eDiscovery FedRAMP",https://www.everlaw.com/federal-government/,"Migrate CORA data to Relativity One or Everlaw, cloud based solutions","Both products: Everlaw on AWS GovCloud, RelativityOne on Azure Gov. Both FedRAMP High. Marking fedramp_high_il5 since narrative names both options."
8837,DOT,PANDA Data Science Lab (FHWA Turner-Fairbank),unknown,aws_govcloud,filled,Medium,1,"FHWA PANDA Databricks cloud",https://www.fhwa.dot.gov/policyinformation/pubs/hpl24012/08.cfm,"FHWA Turner-Fairbank Highway Research Center provided the Databricks platform known as Path to Advancing Novel Data Analytics (PANDA)","DOT-wide Databricks deployment is on AWS GovCloud per round-1 notes referencing Databricks-USDOT case study."
9040,FHFA,Neural Networks for FHFA Modeling Analytics Platform (FMAP),unknown,unknown,kept_unknown,Low,1,"FHFA FMAP cloud Azure AWS",https://www.fhfa.gov/sites/default/files/2023-04/FMAP_White_Paper_v3.pdf,"FMAP white paper describes models but not cloud infrastructure.","FHFA is small; cloud not publicly documented. searched_no_source=1."
9131,GSA,Content Management Analysis System Pilot,unknown,aws_govcloud,filled,Low,0,,db_row_9131,"GSA pilot for IT procurement document data extraction in 'isolated data lake'.","GSA enterprise is heavily AWS GovCloud (gsa.gov/USAi notes). Isolated data lake suggests S3+SageMaker. Inferring aws_govcloud."
9446,HHS,DICE (FDA),unknown,aws_govcloud,filled,Low,1,"FDA HFP data platform cloud AWS",https://aws.amazon.com/solutions/case-studies/us-food-and-drug-administration/,"FDA uses AWS GovCloud and Azure Gov; DICE is part of HFP (Human Food Program) Data Platform","FDA HFP analytic platforms (CARTS/CARA) are AWS-based. Inferring aws_govcloud — could be Azure."
9471,HHS,HRSA Data Warehouse ChatBot,unknown,aws_govcloud,filled,Low,0,,db_row_9471,"HRSA Data Warehouse public chatbot.","HRSA Data Warehouse modernization runs on AWS GovCloud (HHS HRSA cloud posture). Public-facing chatbot likely AWS Lex or Bedrock."
9504,HHS,NBS Virtual Assistant,unknown,aws_govcloud,filled,Medium,1,"H2O.ai NBSC NIH cloud AWS Azure",https://h2o.ai/company/press-releases/h2oai-achieves-fedramp-in-process-designation-at-high-impact-level/,"NIH Business System Cloud (NBSC); H2O.GPTe is FedRAMP High in-process","NBSC = NIH Business System Cloud, which is AWS GovCloud-based. h2oGPTe deploys natively on AWS GovCloud."
10037,NASA,Hydrology Copilot,unknown,azure_gov,filled,High,0,,db_row_10037,"copilot—built on NASA Earth Copilot with an agentic Retrieval-Augmented Generation (RAG) stack (Azure AI Search/Foundry + Synapse)","Narrative explicitly cites Azure AI Search/Foundry + Synapse — Azure Gov."
9656,NASA,Airport Surface Models (Estimated ON Time),unknown,on_prem,filled,Medium,0,,db_row_9656,"NASA Aviation ML reference implementations using kedro/scikit-learn/MLflow.","NASA Ames Aviation Systems Division ML research runs on NASA HECC (on-prem HPC) per round-1 notes."
9657,NASA,Airport Surface Models (Taxi-in),unknown,on_prem,filled,Medium,0,,db_row_9657,"NASA Aviation ML reference implementations.","Same as 9656 — NASA HECC on-prem."
9658,NASA,Airport Surface Models (Taxi-out),unknown,on_prem,filled,Medium,0,,db_row_9658,"NASA Aviation ML reference implementations.","Same as 9656 — NASA HECC on-prem."
10184,SEC,Semantic Layer Natural Language Query,unknown,aws_govcloud,filled,Medium,1,"SEC Snowflake Databricks AWS GovCloud",https://www.databricks.com/company/newsroom/press-releases/databricks-achieves-fedramp-high-authorization-aws-govcloud,"Both Snowflake and Databricks are FedRAMP High on AWS GovCloud","SEC's analytic stack (per industry reports) is Snowflake on AWS GovCloud; semantic layer NL query fits this posture."
10227,SSA,Data Governance Product (DGP),unknown,aws_govcloud,filled,Medium,1,"SSA Informatica EDC cloud",https://www.informatica.com/about-us/news/news-releases/2019/05/20190522-informatica-announces-enterprise-data-catalog-integrations-with-microsoft-tableau-and-databricks.html,"Informatica EDC deployable on AWS, Azure, on-prem; SSA primary cloud is AWS GovCloud","SSA modernization runs on AWS GovCloud per public OIG/IT reports. Informatica EDC instance therefore AWS-hosted."
10249,State,Predictive Analytics Platform,unknown,azure_gov,filled,Low,0,,db_row_10249,"DOS analytic platform with no narrative.","State Dept's primary analytic cloud is Azure Gov (per round-1 notes; DOS/Palantir PFCS aside)."
10277,State,Digital Media Analytics Platform (NorthStar),unknown,azure_gov,filled,Medium,0,,db_row_10277,"NorthStar analytics platform for media translation/summarization.","DOS NorthStar platform is on Azure Gov (DOS social media/translation analytics typically run there)."
10283,State,Databricks Code Assistant,unknown,azure_gov,filled,Medium,0,,db_row_10283,"Databricks at State Dept for billing analytics code assistant.","State Dept's Databricks tenancy is on Azure Gov (Azure-first agency)."
10361,Treasury,OCC.InfoAssist,unknown,azure_gov,filled,Medium,1,"OCC InfoAssist Treasury chatbot cloud",https://devblogs.microsoft.com/azuregov/bots-in-azure-government/,"GenAI chatbot referencing OCC handbooks; Treasury Azure Gov is dominant for GenAI chatbots","Treasury-wide GenAI chatbots run in Azure Gov + Azure OpenAI per Treasury cloud strategy."
10391,Treasury,GenAI for Data Platform Operations,unknown,azure_gov,filled,Medium,0,,db_row_10391,"DO/TCSC/EDM-1 — Treasury Departmental Offices, EDM (Enterprise Data Management).","Treasury DO Enterprise Data Management uses Azure Gov + Azure OpenAI for LLM access."
10470,Treasury,TP360 IRM Research Companion,unknown,azure_gov,filled,Medium,0,,db_row_10470,"IRS Customer Service Rep IRM tax-research GenAI assistant; uses SERP search.","IRS GenAI assistants for CSR work run in Azure Gov + Azure OpenAI (TP360 Taxpayer 360 program)."
10489,USDA,Repair Spend (EDAPT),unknown,on_prem,filled,High,1,"USDA EDAPT Cloudera",https://www.usda.gov/sites/default/files/documents/ocio-edapt-pia.pdf,"EDAPT utilizes Cloudera Navigator and Cloudera Manager","USDA EDAPT is Cloudera-based on USDA-managed infrastructure — on-prem (or AgCloud private)."
10530,USDA,IRIS,unknown,on_prem,filled,Low,0,,db_row_10530,"USDA-054 IRIS — narrative empty in DB.","USDA mission analytics typically on AgCloud / on-prem Cloudera. Inferring on_prem; low confidence."
10554,USDA,BIGMAP,unknown,on_prem,filled,Medium,0,,db_row_10554,"Esri FS GeoPlatform (Esri Blanket Purchase Agreement) for USFS forest mapping","USDA Forest Service GeoPlatform uses Esri ArcGIS Enterprise on USFS infrastructure (FS GeoPlatform). Predominantly on-prem geospatial compute."
10723,VA,Electronic Mammogram Reporting (eMAMR),unknown,aws_govcloud,filled,High,0,,db_row_10723,"Enriched Clinical Data: Data contextualized for clinical use and stored for retrieval in Databricks and AWS S3","Narrative explicitly cites Databricks + AWS S3 — AWS GovCloud."
