use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34739,wave1-A,bespoke_application,1,general_llm,office,high,In-house wrapper/RAG over foundation model: 'leverages LLMs to help users more' → general_llm.,,,1,,,,,,,,,0,inference_only,0,administrative,,ACF
34740,wave1-A,bespoke_application,1,general_llm,bureau,high,In-house wrapper/RAG over foundation model: 'Items) LLM helps find related' → general_llm.,,,1,,,,,,,,,0,inference_only,0,administrative,,ACF
34741,wave1-A,product_deployment,0,predictive_analytics,office,medium,Named product deployment: 'we predict that their grant is' → predictive_analytics.,,,1,,,,,,,,,0,unknown,0,administrative,,ACF
34742,wave1-A,product_deployment,0,classical_ml,bureau,medium,"Named product deployment: 'In accordance with the Ms L vs ICE settlement, the U.S' → classical_ml.",,,1,,,,,,,,,0,unknown,0,administrative,,ACF
34743,wave1-A,product_deployment,0,classical_ml,office,medium,Named product deployment: 'The Office of Refugee Resettlement (ORR) has amassed a large backlog of' → classical_ml.,,,1,,,,,,,,,0,unknown,0,mission_critical,,ACF
34744,wave1-A,product_deployment,0,classical_ml,office,medium,Named product deployment: 'The Office of Refugee Resettlement (ORR) conducts monitoring visits at least monthly' → classical_ml.,,,1,,,,,,,,,0,unknown,0,administrative,,ACF
34745,wave1-A,custom_system,0,classical_ml,pilot,medium,In-house classical_ml system: 'The Office of Refugee Resettlement (ORR) Unaccompanied Children Bureau provides a safe'.,,,,,,,,,,,,0,unknown,0,administrative,,ACF
34746,wave1-A,bespoke_application,1,general_llm,office,high,In-house wrapper/RAG over foundation model: 'model (LLM) was used to tag' → general_llm.,,,,,,,,,,,,0,inference_only,0,administrative,,ACF
34747,wave1-A,bespoke_application,1,general_llm,office,medium,In-house wrapper/RAG over foundation model: 'The Office of External Affairs (OEA) is responsible for sharing information from' → general_llm.,,,,,,,,,,,,0,inference_only,0,administrative,,ACF
34748,wave1-A,bespoke_application,1,general_llm,bureau,medium,In-house wrapper/RAG over foundation model: 'using LLMs to analyze the que' → general_llm.,,,1,,,,,,,,,0,inference_only,0,administrative,,ACF
34749,wave1-A,product_deployment,0,nlp_specific,bureau,medium,Named product deployment: 'rvice that utilizes natural language' → nlp_specific.,,,1,,,,,,,,,0,unknown,0,mission_critical,,ACF
34750,wave1-A,bespoke_application,1,general_llm,bureau,medium,In-house wrapper/RAG over foundation model: 'using LLMs to analyze the que' → general_llm.,,,1,,,,,,,,,0,inference_only,0,administrative,,ACF
34751,wave1-A,bespoke_application,1,general_llm,bureau,high,In-house wrapper/RAG over foundation model: 'using LLMs to analyze the que' → general_llm.,,,1,,,,,,,,,0,inference_only,0,administrative,,ACF
34752,wave1-A,bespoke_application,1,general_llm,bureau,medium,"In-house wrapper/RAG over foundation model: 'a unified platform, large language' → general_llm.",,,,,,,,,,,,0,inference_only,0,administrative,,ACF
34753,wave1-A,custom_system,0,classical_ml,bureau,medium,"In-house classical_ml system: 'ACF staff often conduct surveys and interviews, which generate qualitative data that'.",,,0,,,,,,,,,0,custom_trained,1,administrative,,ACF
34754,wave1-A,product_deployment,0,classical_ml,bureau,medium,"Named product deployment: 'tically, leveraging machine learning to' → classical_ml.",,,1,,,,,,,,,0,unknown,0,administrative,,AHRQ
34755,wave1-A,bespoke_application,1,general_llm,bureau,medium,In-house wrapper/RAG over foundation model: 'Chatbot This use case intro' → general_llm.,,,1,,,,,,,,,0,inference_only,0,administrative,,AHRQ
34756,wave1-A,bespoke_application,1,general_llm,pilot,medium,In-house wrapper/RAG over foundation model: 'Chatbot For the Patient Saf' → general_llm.,,,,,,,,,,,,0,inference_only,0,administrative,,AHRQ
34757,wave1-A,custom_system,0,classical_ml,pilot,medium,In-house classical_ml system: 'The Division of Scientific Review (DSR) is aiming to enhance diversity in'.,,,,,,,,,,,,0,unknown,0,administrative,,AHRQ
34758,wave1-A,custom_system,0,classical_ml,pilot,medium,In-house classical_ml system: 'As a feature to clinical dashboards available on a secured page on'.,,,,,,,,,,,,0,unknown,0,administrative,,AHRQ
34759,wave1-A,product_deployment,0,computer_vision,bureau,medium,Named product deployment: 'PDF images into text. It also' → computer_vision.,,,1,,,,,,,,,0,unknown,0,administrative,,AHRQ
34760,wave1-A,bespoke_application,1,general_llm,bureau,medium,In-house wrapper/RAG over foundation model: 'ploaded SCCT media Large Language' → general_llm.,,,1,,,,,,,,,0,inference_only,0,mission_critical,,ASPR
34761,wave1-A,product_deployment,0,classical_ml,bureau,medium,Named product deployment: 'Optimization models are needed to identify efficient preparedness and responses' → classical_ml.,,,1,,,,,,,,,0,unknown,0,mission_critical,,ASPR
34762,wave1-A,product_deployment,0,classical_ml,bureau,medium,"Named product deployment: 'Public health authorities, first responders and others across the emergency management' → classical_ml.",,,1,,,,,,,,,0,unknown,0,mission_critical,1,ASPR
34763,wave1-A,bespoke_application,1,general_llm,bureau,medium,"In-house wrapper/RAG over foundation model: 'cal clustering, and large language' → general_llm.",,,1,,,,,,,,,0,inference_only,0,administrative,,ASPR
34764,wave1-A,product_deployment,1,general_llm,bureau,high,Named product deployment: 'scratch every time Large language' → general_llm.,,,1,Microsoft Copilot,Microsoft,1,,,,,,0,inference_only,0,administrative,,ASPR
34765,wave1-A,bespoke_application,1,general_llm,bureau,medium,In-house wrapper/RAG over foundation model: 'order fulfillment and predict futu' → general_llm.,,,1,,,,,,,,,0,inference_only,0,mission_critical,,ASPR
34766,wave1-A,product_deployment,0,classical_ml,bureau,medium,Named product deployment: 'constrained regression model is used to' → classical_ml.,,,1,,,,,,,,,0,unknown,0,administrative,,ASPR
34767,wave1-A,product_deployment,0,classical_ml,bureau,medium,Named product deployment: 'Publicly available information can enhance the ability to identify supply chain' → classical_ml.,,,1,,,,,,,,,0,unknown,0,administrative,1,ASPR
34768,wave1-A,product_deployment,0,nlp_specific,bureau,medium,Named product deployment: 'Model Rising Trend Entity Extraction' → nlp_specific.,,,1,,,,,,,,,0,unknown,0,administrative,1,ASPR
34769,wave1-A,bespoke_application,1,general_llm,bureau,medium,"In-house wrapper/RAG over foundation model: 'mes together, and a Large' → general_llm.",,,1,,,,,,,,,0,inference_only,0,administrative,,ASPR
34770,wave1-A,bespoke_application,1,general_llm,pilot,medium,In-house wrapper/RAG over foundation model: 'on relevant events. Large language' → general_llm.,,,1,,,,,,,,,0,inference_only,0,mission_critical,,ASPR
34771,wave1-A,product_deployment,0,predictive_analytics,bureau,medium,Named product deployment: 'to predict if the product fall' → predictive_analytics.,,,1,,,,,,,,,0,unknown,0,administrative,,ASPR
34772,wave1-A,bespoke_application,1,general_llm,bureau,medium,In-house wrapper/RAG over foundation model: 'process. Utilizing large language models' → general_llm.,,,1,,,,,,,,,0,inference_only,0,administrative,,CDC
34773,wave1-A,bespoke_application,1,general_llm,bureau,medium,In-house wrapper/RAG over foundation model: 'eports (APRs) using Large Language' → general_llm.,,,0,,,,,,,,,0,inference_only,0,administrative,,CDC
34774,wave1-A,custom_system,0,classical_ml,bureau,medium,In-house classical_ml system: 'urvey analysis. The machine learning'.,,,0,,,,,,,,,0,custom_trained,1,mission_critical,1,CDC
34775,wave1-A,bespoke_application,1,general_llm,bureau,high,In-house wrapper/RAG over foundation model: 'generation (RAG) to return informat' → general_llm.,,,0,,,,,,,,,0,rag_pipeline,0,administrative,,CDC
34776,wave1-A,bespoke_application,1,general_llm,bureau,medium,In-house wrapper/RAG over foundation model: 'source LLMs to identify simila' → general_llm.,,,0,,,,,,,,,0,inference_only,0,administrative,0,CDC
34777,wave1-A,bespoke_application,1,general_llm,bureau,medium,"In-house wrapper/RAG over foundation model: 'The Through APIs, large' → general_llm.",,,0,,,,,,,,,0,inference_only,0,mission_critical,,CDC
34778,wave1-A,bespoke_application,1,general_llm,bureau,high,In-house wrapper/RAG over foundation model: 'generation (RAG) to return informat' → general_llm.,,,0,,,,,,,,,0,rag_pipeline,0,administrative,,CDC
34779,wave1-A,bespoke_application,1,general_llm,bureau,medium,"In-house wrapper/RAG over foundation model: 'The physical environment, such as sidewalk availability, in areas may be correlated' → general_llm.",,,,,,,,,,,,0,inference_only,0,mission_critical,,CDC
34780,wave1-A,product_deployment,1,general_llm,bureau,high,Named product deployment: 'by leveraging the AI capabilit' → general_llm.,,,,Azure OpenAI,Microsoft/OpenAI,,1,,,,,0,rag_pipeline,0,administrative,1,CDC
34781,wave1-A,product_deployment,0,nlp_specific,bureau,medium,Named product deployment: 's machine learning/ natural language' → nlp_specific.,,,1,,,,,,,,,0,unknown,0,mission_critical,,CDC
34782,wave1-A,bespoke_application,1,general_llm,bureau,medium,In-house wrapper/RAG over foundation model: 'Models (LLMs) to surface releva' → general_llm.,,,,,,,,,,,,0,inference_only,0,administrative,,CDC
34783,wave1-A,product_deployment,0,classical_ml,bureau,medium,Named product deployment: 'Policy and documentation awareness and evaluation The web application will: 1) save' → classical_ml.,,,1,,,,,,,,,0,unknown,0,administrative,,CDC
34784,wave1-A,custom_system,0,computer_vision,bureau,medium,In-house computer_vision system: 'aerial imagery to identify faile'.,,,0,,,,,,,,,0,custom_trained,1,mission_critical,,CDC
34785,wave1-A,bespoke_application,1,general_llm,bureau,high,In-house wrapper/RAG over foundation model: 'GenAI (generative artificial intellig' → general_llm.,,,1,,,,,,,,,0,inference_only,0,administrative,1,CDC
34786,wave1-A,custom_system,0,nlp_specific,bureau,medium,In-house nlp_specific system: 'Transcribing Cognitive Interv'.,,,0,,,,,,,,,0,custom_trained,0,administrative,,CDC
34787,wave1-A,bespoke_application,1,general_llm,bureau,high,In-house wrapper/RAG over foundation model: 'an LLM based Topic Modelin' → general_llm.,,,0,,,,,,,,,0,inference_only,0,administrative,,CDC
34788,wave1-A,bespoke_application,0,predictive_analytics,bureau,medium,In-house wrapper/RAG over foundation model: 'to predict the future behavior' → predictive_analytics.,,,,,,,,,,,,0,custom_trained,1,mission_critical,,CDC
34789,wave1-A,product_deployment,1,general_llm,pilot,high,Named product deployment: 'a GPT-4 model and Azure AI' → general_llm.,1,,,Azure OpenAI,Microsoft/OpenAI,,1,,,,,0,rag_pipeline,0,administrative,,CDC
34790,wave1-A,product_deployment,1,general_llm,pilot,high,Named product deployment: 'a GPT-4 model and Azure AI' → general_llm.,1,,,Azure OpenAI,Microsoft/OpenAI,,1,,,,,0,rag_pipeline,0,administrative,,CDC
34791,wave1-A,custom_system,0,classical_ml,bureau,medium,In-house classical_ml system: 'CDC’s Enterprise Data Catalog provides an internal single centralized inventory of'.,,,0,,,,,,,,,0,custom_trained,1,administrative,,CDC
34792,wave1-A,custom_system,0,classical_ml,bureau,medium,In-house classical_ml system: 'geography classification Epidemiologi'.,,,0,,,,,,,,,0,custom_trained,1,mission_critical,,CDC
34793,wave1-A,bespoke_application,1,general_llm,bureau,medium,In-house wrapper/RAG over foundation model: 'counts. Then uses a large' → general_llm.,,,0,,,,,,,,,0,inference_only,0,mission_critical,1,CDC
34794,wave1-A,bespoke_application,1,general_llm,bureau,high,In-house wrapper/RAG over foundation model: 'an LLM based Topic Modelin' → general_llm.,,,0,,,,,,,,,0,inference_only,0,administrative,,CDC
34795,wave1-A,custom_system,0,nlp_specific,pilot,medium,In-house nlp_specific system: 'reusable NLP pipeline for clinic'.,,,,,,,,,,,,0,unknown,1,mission_critical,,CDC
34796,wave1-A,custom_system,0,nlp_specific,pilot,medium,In-house nlp_specific system: 'The model will help surveillance epidemiologists working at CDC to determine whether'.,,,,,,,,,,,,0,unknown,0,administrative,,CDC
34797,wave1-A,bespoke_application,1,general_llm,pilot,high,In-house wrapper/RAG over foundation model: 'The RAG system can potentia' → general_llm.,,,,,,,,,,,,0,rag_pipeline,0,administrative,,CDC
34798,wave1-A,bespoke_application,1,general_llm,pilot,high,In-house wrapper/RAG over foundation model: 'Generation (RAG) to identify releva' → general_llm.,,,,,,,,,,,,0,rag_pipeline,0,administrative,1,CDC
34799,wave1-A,custom_system,0,classical_ml,pilot,medium,In-house classical_ml system: 't a CDC guideline). Machine'.,,,,,,,,,,,,0,unknown,0,administrative,,CDC
34800,wave1-A,bespoke_application,1,general_llm,pilot,high,In-house wrapper/RAG over foundation model: 'Evaluating Generative AI for polio contai' → general_llm.,,,,,,,,,,,,0,rag_pipeline,0,mission_critical,,CDC
34801,wave1-A,product_deployment,1,general_llm,pilot,high,Named product deployment: 'the ChatGPT interface through E' → general_llm.,,,,ChatGPT,OpenAI,,1,,,,,0,fine_tuned,1,mission_critical,1,CDC
34802,wave1-A,bespoke_application,1,general_llm,pilot,high,In-house wrapper/RAG over foundation model: 'School LLM initial abstract re' → general_llm.,,,,,,,,,,,,0,inference_only,0,administrative,,CDC
34803,wave1-A,product_deployment,1,general_llm,bureau,high,Named product deployment: 'red by Azure OpenAI Large' → general_llm.,,,,Azure OpenAI,Microsoft/OpenAI,,1,,,,,0,inference_only,0,administrative,,CDC
