ACCRETE ARGUS | ACCRETE AI Government
AFRL Voice Recorder Transcription | Air Force Research Laboratory
AIS Resume Screening Tool | AIS
APT Analytics | DOE
ARANZ Silhouette Wound Imaging | ARANZ Medical
ARC Travel Intelligence | Airlines Reporting Corporation
ASCVD Risk Estimator | American College of Cardiology
ATLAS (Forest Service) | USDA Forest Service
ATS Passport Anomaly Model | U.S. Customs and Border Protection
ATS Trade Entity Risk Model | U.S. Customs and Border Protection
AWS Bedrock | Amazon
AWS Kendra | Amazon
AWS Lex | Amazon
AWS Rekognition | Amazon
AWS Textract | Amazon
AWS Transcribe | Amazon
AWS Translate | Amazon Web Services
Abbott OPTIS Imaging | Abbott
Abridge Ambient Scribe | Abridge
Adobe | Adobe
Adobe Creative Cloud Suite | Adobe
Adobe Firefly | Adobe
Adobe Photoshop | Adobe
Adobe Premiere Pro | Adobe
Adobe Sensei | Adobe
Advanced Trade Analytics Platform | U.S. Customs and Border Protection
Agfa DR 800 MUSICA | Agfa HealthCare
AgileMD eCART | AgileMD
Aidoc BriefCase | Aidoc
Airship AI Platform | Airship AI Holdings Inc.
Airtable AI | Airtable
Alation Data Catalog | Alation
AlphaFold | Google DeepMind
Altana Atlas | Altana
Alteryx | Alteryx
Amazon | Amazon
Amazon Alexa | Amazon
Amazon CodeWhisperer | Amazon
Amazon Comprehend | Amazon
Amazon Connect | Amazon Web Services
Amazon Q | Amazon
Amazon SageMaker | Amazon
Amazon Web Services | Amazon
Amped Software | Amped Software
Appian AI | Appian
Apple Face ID | Apple
Apple Intelligence | Apple
Apple Maps | Apple
Apple News | Apple
Aretec EDP | Aretec
Aretec NEAT | Aretec Inc
Aretec SEARCH | Aretec
Articulate 360 AI Assistant | Articulate
Asana | Asana
Ask Sage | Ask Sage Inc.
AttackIQ | AttackIQ
Autonomous Surveillance Tower | Anduril
AveriSource | AveriSource
Avicenna.AI CINA | Avicenna.AI
Aware Biometrics | Aware
Axon | Axon Enterprise
Axon Evidence | Axon
Axon FUSUS | Axon
Azure AI Document Intelligence | Microsoft
Azure AI Foundry | Microsoft
Azure AI Translator | Microsoft
Azure Data Factory | Microsoft
Azure OpenAI | Microsoft
Azure Speech | Microsoft
Azure Synapse Analytics | Microsoft
BD Pyxis MedStation | Becton Dickinson
BI SmartLINK | BI Incorporated
BLS Expenditure Classification Autocoder | Bureau of Labor Statistics
BMC Helix ITSM | BMC
BSEE Corrosion Classifier | Bureau of Safety and Environmental Enforcement
Babel Street Babel | Babel Street
Bates White Economic Consulting AI | Bates White
Beckman Coulter DxH 800 | Beckman Coulter
Benefits Manager Virtual Assistant | Benefits Manager
BillieGPT | U.S. Department of Veterans Affairs
Bio-Rad BioPlex 2200 | Bio-Rad Laboratories
BioRender | BioRender
Biometrics Enrollment Tool | U.S. Citizenship and Immigration Services
Biosense Webster CARTO 3 | Biosense Webster (Johnson & Johnson)
Biotronik Home Monitoring | Biotronik
Bloomberg Government | Bloomberg
Bloomberg Law AI | Bloomberg
Boston Dynamics Spot | Boston Dynamics
Boston Scientific Preventice BodyGuardian | Boston Scientific (Preventice)
Brainlab Cirq Alignment | Brainlab
Brainlab Cranial Navigation | Brainlab
Brainlab Elements | Brainlab
Brainlab Elements Spine | Brainlab
BriefCatch | BriefCatch
Broadcom Code for Z | Broadcom
Butterfly iQ Ultrasound | Butterfly Network
Buzzsprout CoHost AI | Buzzsprout
C3 AI | C3.ai
CANDA UEBA | CANDA Solutions
CBP Translate | U.S. Customs and Border Protection
CISAChat | DHS CISA
CMS AI Agent Orchestrator | CMS / Noblis
CMS ELMO Chatbot | CMS / Peraton
CMS IDR Support Bot | CMS / GDIT
CMS Integrated Data Repository Customer Analytic Environment | CMS / GDIT
CMS Medicare AI Customer Insights | CMS / commonFont
COREII | DOE Idaho National Lab
CWTSatoTravel | CWTSatoTravel
Calendly | Calendly
Canon Alphenix Angio Workstation | Canon Medical Systems
Canon Aplio Ultrasound | Canon Medical Systems
Canon Aquilion ONE AiCE | Canon Medical Systems
Canon Cartesion Prime PET/CT | Canon Medical Systems
Canva | Canva
CareCentra | CareCentra
CareView Patient Safety System | CareView Communications
Carestream CS 9600 | Carestream Dental
CargoNet | Verisk
CaseGuard | CaseGuard
CathWorks FFRangio | CathWorks
Cell Hawk | LeadsOnline
CellaVision DM1200 | CellaVision
Cellebrite Media Classifier | Cellebrite
Chainalysis | Chainalysis
ChatGPT | OpenAI
Chiral Wildlife Deterrent System | Chiral Software
Circle CVI42 | Circle Cardiovascular Imaging
Cisco | Cisco
Cisco Identity Services Engine | Cisco
Cisco Secure Network Analytics | Cisco
Citrix | Citrix
ClassifAI | DHS / Starlo
Claude | Anthropic
Claude Code | Anthropic
Clearview AI | Clearview AI
Cloudflare Turnstile | Cloudflare
CoCounsel | Thomson Reuters
Cofense PhishMe | Cofense
Cogitativo | Cogitativo
Cognitec FaceVACS | Cognitec Systems
Cohesity | Cohesity
Commonlook Online | Commonlook
Conductor Conduit AI | Conductor
Consular Consolidated Database Facial Recognition | U.S. Department of State
Cortechs NeuroQuant | Cortechs.ai
Credal | Credal
CrewAI | CrewAI
Critical Mention | Critical Mention
Crowdstrike Falcon | Crowdstrike
CryoSPARC | Structura Biotechnology
Cursor | Anysphere
Custom In-House AI | In-House
DALL-E | OpenAI
DEA GenAI R&D Sandbox | DEA / NVIDIA
DOE EV Delivery Parking Identification | DOE / Cisco
DOE ML for Disadvantaged Community Identification | DOE
DOE Soil Moisture Modeling | University of Montana
DOE Traffic Predictive Control | DOE
DOJ Receipt Extraction Tool | DOJ / Microsoft
DOL Auntee Bot | Department of Labor
DRUID AI | DRUID AI
Databricks | Databricks
Dataminr First Alert | Dataminr
DeepEMhancer | Open source (CSIC)
Democratizing Data | Coleridge Institute
Dentsply Sirona CEREC | Dentsply Sirona
Descript | Descript
Digital Science Dimensions | Digital Science
Doble Test Assistant | Doble Engineering
DocketScope | The Regulatory Group, Inc.
Dun & Bradstreet | Dun & Bradstreet
Dynatrace | Dynatrace
EDAV (CDC) | CDC
ELIS | U.S. Citizenship and Immigration Services
ELIS Card Photo Validation Service | U.S. Citizenship and Immigration Services
ELIS Evidence Classifier Service | U.S. Citizenship and Immigration Services
ELIS Name and DOB Harvesting Service | U.S. Citizenship and Immigration Services
ELSAG ALPR | Leonardo
EPA Agency Records Management System | EPA
EPA RCRA PA | EPA
ERNIE Radiological Detection | DHS Countering Weapons of Mass Destruction
EarlySense WAVE Clinical Platform | EarlySense
Edwards Acumen Hypotension Prediction Index | Edwards Lifesciences
Elastic Stack | Elastic
Elsa (FDA) | FDA (internal, vendor-supported)
Elsevier ClinicalKey AI | Elsevier
Emerald Innovations | Emerald Innovations
EnerGPT | Unknown / DOE-targeted vendor
Ephesoft Transact | Ephesoft
Equifax Background Screening | Equifax
Espyr Therapy Chatbot | Espyr
Esri ArcGIS AI | Esri
Everlaw AI Assistant | Everlaw, Inc.
Ex Libris Alma/Primo | Ex Libris (Clarivate)
Exiger DDIQ | Exiger
Expert.ai Cogito | expert.ai
FA.gov PII Picker | State Department / Guidehouse
FA.gov RedactAid | State Department / Guidehouse
FAA NextGen LOA/SOP Analytics | FAA
FBOP Automated Staffing Tool | DOJ FBOP
FBOP Pathfinder | DOJ FBOP
FDA 356H ML Facility Supply Chain Role Classification | FDA / Deloitte
FDA Annual Report CMC Extraction | FDA / Deloitte
FDA Application-DMF Reference Extraction | FDA / Deloitte
FDA CDER Pubs | FDA
FDA CDEROne Analytics | FDA Center for Drug Evaluation and Research
FDA DMF Facilities Extraction | FDA / Deloitte
FDA HIVE AI Pilot | FDA / SAIC
FDA IND Safety Reports OCR | FDA / ThinkTrends
FDA Module 3 Facilities Extraction | FDA / Deloitte
FDA Packaging Materials and Suppliers Extraction | FDA / Deloitte
FDA Real World Data/Evidence Identification | FDA / Deloitte
FDA Regulatory Starting Materials Extraction | FDA / Deloitte
FDA Safety Reports Categorization Bot | FDA / Deloitte
FDA Smart Solution for Docket Management | FDA / Deloitte
FERC Zvolvant Comment Analysis | Zvolvant
FERC Zvolvant Inspection AI | Zvolvant
FERC Zvolvant Interconnection Assistant | Zvolvant
FERC Zvolvant Market Surveillance | Zvolvant
FERC Zvolvant Permitting Assistant | Zvolvant
FINDER (ATF) | DOJ ATF
FLIR 280 HD | Teledyne FLIR
FOIAXpress AI | OPEXUS
FRTIB AVA | FRTIB / Accenture Federal Services
FRTIB Contact Center AI | FRTIB / Accenture Federal Services
FRTIB Fraud Detection | FRTIB / Accenture Federal Services
FS Pro | FS Pro
FSA Aidan Chatbot | U.S. Department of Education / Accenture
FTC GenAI Mail Scan | FTC / Amazon
FTC Sentinel Analytic Sandbox | FTC / Leidos
FTC Sentinel Chatbot | FTC / Leidos
FTC Sentinel Developer Productivity | FTC / Leidos
FTC Sentinel Graph Analytics | FTC / Leidos
FTC Sentinel Network Services | Federal Trade Commission
FTC Sentinel PSC Classification | FTC / Leidos
Federal Docket Management System | GSA
Fiji ImageJ | Open source (NIH ImageJ / Fiji community)
FirstTwo | FirstTwo
Flashpoint | Flashpoint
Flock Safety | Flock Safety
Flowmon | Progress Flowmon
Freed AI Medical Scribe | Freed
GAIA AI | GAIA AI
GE Healthcare AMX Portable X-ray | GE Healthcare
GE Healthcare Critical Care Suite | GE Healthcare
GE Healthcare Discovery MI | GE Healthcare
GE Healthcare EchoPAC | GE Healthcare
GE Healthcare FastStroke CT Perfusion 4D | GE Healthcare
GE Healthcare LOGIQ Ultrasound | GE Healthcare
GE Healthcare Omni Legend PET/CT | GE Healthcare
GE Healthcare SIGNA Artist (AIR Recon DL) | GE Healthcare
GE Healthcare TrueFidelity CT | GE Healthcare
GE Healthcare Venue Fit | GE Healthcare
GE Healthcare Vivid E Ultrasound | GE Healthcare
GE Healthcare Vivid iq | GE Healthcare
GE Healthcare Voluson Expert | GE Healthcare
GE Healthcare Xeleris V | GE Healthcare
Gemini | Google
