fedramp_id,csp,cso,category,confidence,reasoning,status,impact_level,ato_count,candidate_inventory_products,decision_canonical_name,decision_notes
AGENCYAMAZONEW,Amazon,AWS US East/West,ai_featured,medium,"The service description is generic IaaS, but the AWS US East/West FedRAMP boundary includes substantial in-scope AI/ML services (Amazon SageMaker, Bedrock, Comprehend, Textract, Rekognition), making AI a material built-in capability rather than just hostable workloads. Classification rests on product knowledge; the description itself contains no AI claims.",FedRAMP Authorized,Moderate,105,Amazon (1.00); Amazon Q (1.00); AWS Bedrock (0.50); AWS Kendra (0.50); AWS Lex (0.50),,
F1209051525,Microsoft,Azure Commercial Cloud,ai_featured,medium,"The description is generic IaaS/PaaS/SaaS, but the Azure Commercial FedRAMP boundary includes substantial in-scope AI services (Azure Machine Learning, Azure AI/Cognitive Services, Azure OpenAI), making AI a material built-in capability rather than just hostable workloads. Classification rests on product knowledge; the description itself contains no AI claims.",FedRAMP Authorized,High,88,Microsoft (1.00); Microsoft Azure Platform (1.00); Microsoft Azure Authoring Tools (0.67); Microsoft Azure PowerShell (0.67); Azure AI Foundry (0.50),,
F1212191840A,Box Inc.,Box Enterprise Cloud Content Collaboration Platform,ai_featured,high,"Box is a cloud content management and collaboration platform whose primary job is secure file storage and workflow, with Box AI as a material built-in capability: document summarization, insight extraction, and task automation operating inside the FedRAMP High boundary.",FedRAMP Authorized,High,52,,,
F1511207635,Cisco Systems Inc.,Webex for Government,ai_featured,low,"Webex for Government is a UCaaS collaboration suite (meetings, messaging, calling). Its core job is communications, but it mentions AI-enabled software and hardware to optimize collaboration, reflecting Webex's AI meeting features.",FedRAMP Authorized,Moderate,42,Cisco (1.00); Cisco Identity Services Engine (0.50); Cisco Secure Network Analytics (0.50),,
FR2108649352,"Tyler Federal, LLC",Tyler Federal Product Suite,ai_featured,medium,"The Tyler Federal (MicroPact) suite is case-management and BPM software, but entellitrak ships an integrated Natural Language Analytics module — an identifiable NLP capability inside a broader non-AI platform.",FedRAMP Authorized,Moderate,42,,,
F1210011608,Appian,Appian Government Cloud - Moderate,ai_featured,low,"Appian is a low-code process automation platform whose main job is workflow and case management, but the platform ships AI Skills (document classification and extraction, generative AI assistants) as built-in features. The FedRAMP description makes no AI claim, so this rests on product knowledge with reduced confidence about what is in the authorized boundary.",FedRAMP Authorized,Moderate,28,Appian AI (1.00),,
FR1719841002,SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,ai_featured,medium,"SAP NS2 Cloud Intelligent Enterprise hosts SAP S/4HANA, BTP, and SAP Analytics Cloud, the last of which provides AI-driven predictive analytics and insights as a built-in capability of the suite.",FedRAMP Authorized,Moderate,26,Lasso Security (0.50); Microsoft Copilot for Security (0.50); SAP Concur (0.50),,
F1509217359,Cornerstone OnDemand,Cornerstone Galaxy,ai_featured,medium,"Cornerstone Galaxy is a talent/learning-management (HR) platform whose core job is workforce development, but it is described as AI-powered for identifying skills gaps and development opportunities, reflecting Cornerstone's AI-based skills engine.",FedRAMP Authorized,Moderate,22,,,
FR2023864279A,"Datadog, Inc.",Datadog for Government,ai_featured,high,"Datadog for Government is an observability and security platform that delivers AI-powered insights and automated remediation across metrics, traces, and logs; AI is a material feature of a broader monitoring product.",FedRAMP Authorized,High,14,,,
FR1704655535,NICE CXone,NiCE CXone Mpower,ai_featured,high,"NiCE CXone Mpower is a contact-center platform that ships extensive AI: intelligent virtual agents, automatic speech recognition, text-to-speech, voice biometrics, real-time agent guidance, AI-driven forecasting, and speech/text analytics.",FedRAMP Authorized,Moderate,13,,,
F1210161615,Deloitte,Evidence Management System (EMS),ai_featured,high,"An eDiscovery and evidence management service whose core is document collection and review, with material built-in AI: NavigAite uses an LLM to summarize, classify, and redact documents at scale; SmarText combines OCR with LLMs for extraction and redaction identification; and review workflows use active-learning analytics.",FedRAMP Authorized,Moderate,11,Axon Evidence (0.50); Federal Docket Management System (0.50),,
FR1728053006,IBM,IBM Automation Services for Government,ai_featured,medium,"IBM Automation Services for Government bundles Maximo Application Suite, an intelligent EAM platform that uses advanced analytics and IoT for predictive maintenance to optimize asset performance.",FedRAMP Authorized,Moderate,11,IBM ARGOS (0.50); IBM CoreDF (0.50); IBM Watson (0.50),,
FR2100740435,Tango,Tango,ai_featured,medium,Tango is a workplace/real-estate management suite whose Predictive Analytics module combines advanced AI/ML modeling with geospatial data to inform location and capital-investment decisions; AI is a feature within a broader IWMS product.,FedRAMP Authorized,Li-SaaS,11,,,
FR1907847653,TeleTech (TTEC) Services Corporation,Humanify Enterprise - Government (Humanify Enterprise - G),ai_featured,high,"Contact-center platform with multiple concrete AI features: NLP/NLU-driven voice and chat bots in the speech-enabled IVR, speech-to-text analytics, text and sentiment analytics, and an AI-powered Predictive Engine for experience scoring.",FedRAMP Authorized,Moderate,11,,,
FR1820435961,Adobe,"Adobe Document Cloud including Adobe Acrobat, Adobe Acrobat Sign, Adobe Acrobat AI Assistant, Adobe Acrobat Analyzer, and Adobe Acrobat Services (APIs)",ai_featured,high,"Document platform that includes Adobe Acrobat AI Assistant, a generative AI assistant for querying and summarizing documents, plus AI-driven automated document tagging. AI is a material, named feature within a broader document-management product.",FedRAMP Authorized,Li-SaaS,9,Adobe (1.00); Adobe Creative Cloud Suite (0.50); Adobe Firefly (0.50); Adobe Photoshop (0.50); Adobe Sensei (0.50),,
FR1908649566,Aruba Networks,Aruba Central,ai_featured,high,Cloud network management console that explicitly includes AI for wired and wireless operations - Aruba Central's AIOps capability (ML-based anomaly detection and AI Insights for network troubleshooting) inside a broader management product.,FedRAMP Authorized,Moderate,9,Vectra AI (0.50),,
FR2025827270,AvePoint Inc.,AvePoint Online Services for US Government (AOS-UG),ai_featured,medium,"AvePoint Online Services is a Microsoft 365 governance/backup/migration suite that includes the AvePoint Virtual Assistant (AVA), an AI chatbot for data recovery. AI is a feature within a broader data-management platform.",FedRAMP Authorized,Moderate,9,,,
FR2231070252,BeyondTrust,BeyondTrust Identity Security For Government,ai_featured,medium,"BeyondTrust Identity Security is a privileged access management platform; its core is PAM and Zero Trust. Its Identity Security Insights component continuously assesses and maps human, machine, and AI identities to detect privilege risks, a security-analytics feature.",FedRAMP Authorized,Moderate,9,Lasso Security (0.50); Microsoft Copilot for Security (0.50),,
FR1706403967,Collibra,Collibra Platform for Government (CPG),ai_featured,medium,"Collibra is a data-governance/catalog platform; its core is metadata management and data workflows, but it ships ML-based automation for data classification, lineage, and 'automate data workflows.' Specific AI features are not named in this thin description.",FedRAMP Authorized,Moderate,9,,,
F1208031461,IBM,IBM Platform Services for Government,ai_featured,medium,"A device management, identity, and observability suite (MaaS360, Verify, Instana, Turbonomic) whose core jobs are not AI, but IBM Concert provides generative-AI-driven operational recommendations and Turbonomic ships analytics-driven automated resource optimization — material AI features inside a broader platform.",FedRAMP Authorized,Moderate,9,IBM ARGOS (0.50); IBM CoreDF (0.50); IBM Watson (0.50),,
F1603257882,Oracle,Fusion Cloud,ai_featured,low,"Oracle Fusion Cloud is an enterprise SaaS suite (ERP/HCM/SCM/CRM); its core job is business applications, but the description names Oracle Digital Assistant (a conversational AI chatbot) and Oracle Intelligent Advisor as complementary services.",FedRAMP Authorized,Moderate,9,,,
FR2311345531,Figma,Figma for Government,ai_featured,high,"Design and prototyping platform whose authorization boundary explicitly includes Figma Make, Figma's generative-AI prompt-to-app/code feature, making AI a material shipped capability within a broader design product.",FedRAMP Authorized,Moderate,8,,,
