uc_2024_id,uc_2025_id,lineage_status,agency_abbreviation,bureau,name_2024,purpose_benefits,outputs,commercial_ai,dev_method,dev_stage,name_2025,problem_statement_2025,expected_benefits_2025,system_outputs_2025,ai_classification_2025,vendor_name_2025,system_name_2025,bureau_2025,entry_type_2025,is_generative_ai_2025,ai_sophistication_2025,deployment_scope_2025,scope_detail_2025,is_enterprise_wide_2025,is_general_llm_access_2025,is_coding_tool_2025,is_cots_commercial_2025,tool_product_name_2025,tool_vendor_2025,is_microsoft_copilot_2025,is_openai_2025,is_anthropic_2025,is_google_2025,is_github_copilot_2025,is_aws_ai_2025,architecture_type_2025,use_type_2025,is_public_facing_2025,entry_type_2024,is_generative_ai_2024,ai_sophistication_2024,deployment_scope_2024,scope_detail_2024,is_enterprise_wide_2024,is_general_llm_access_2024,is_coding_tool_2024,is_cots_commercial_2024,tool_product_name_2024,tool_vendor_2024,is_microsoft_copilot_2024,is_openai_2024,is_anthropic_2024,is_google_2024,is_github_copilot_2024,is_aws_ai_2024,architecture_type_2024,use_type_2024,is_public_facing_2024,confidence_2024,reasoning_2024,tagged_by_agent_2024
34129,132185,continued,DHS,CBP,Non-Intrusive Inspection (NII) 3D Imaging Tool,"Utilizes AI/ML to generate high resolution, rapid imaging of objects behind occlusions; create 3D images for existing processes without significant slowdowns; and provide a novel narcotics detection capability for the inspection of packages.",Detection alerts for Items of Interest.,None of the above.,Developed with contracting resources.,Implementation and Assessment,Non-Intrusive Inspection (NII) 3D Imaging Tool,"Use millimeter wave data to produce human-interpretable 3D images and cue end users to possible anomalies, helping CBP more effectively and efficiently detect contraband in imported mail at a speed that does not disrupt flow of commerce.","Utilizes AI/ML to generate high resolution, rapid imaging of objects behind occlusions; create 3D images for existing processes without significant slowdowns; and provide a novel narcotics detection capability for the inspection of packages.",Detection alerts for Items of Interest.,Computer Vision,ThruWave,,CBP,bespoke_application,0,computer_vision,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,unknown,administrative,0,custom_system,0,computer_vision,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""Utilizes AI/ML to generate high resolution,"" — computer vision, bureau (CBP).",wave1-C
34130,132190,continued,DHS,CBP,Babel,CBP uses this tool to conduct targeted queries to aid CBP in open source research to monitor potential threats or dangers or identify travelers who may be subject to further inspection for violation of laws CBP is authorized to enforce or administer.,Babel utilizes AI modules for Text detection and translation as well as object and image recognition to provide analysts with possible matches to manually review in a single interface versus doing multiple manual queries. The output is not singly used for action or decision making and are used to identify additional Open Source or Social Media of a person or identify additional selectors (such as phone and emails) that are previously unknown to CBP and compared by an analyst against Government systems to identify additional derogatory information. These factors can often eliminate the traveler from additional screening.,None of the above.,Developed with contracting resources.,Implementation and Assessment,Babel,"Babel utilizes AI modules for text detection and translation as well as object and image recognition to provide analysts with possible matches to manually review in a single interface, versus doing multiple manual queries. The output is not singly used for action or decision making.",CBP uses this tool to conduct targeted queries to aid CBP in open source research to monitor potential threats or dangers or identify travelers who may be subject to further inspection for violation of laws CBP is authorized to enforce or administer.,Babel utilizes AI modules for Text detection and translation as well as object and image recognition to provide analysts with possible matches to manually review in a single interface versus doing multiple manual queries. The output is not singly used for action or decision making and are used to identify additional Open Source or Social Media of a person or identify additional selectors (such as phone and emails) that are previously unknown to CBP and compared by an analyst against Government systems to identify additional derogatory information. These factors can often eliminate the traveler from additional screening.,Natural Language Processing (NLP),Babel Street,Babel Street,CBP,bespoke_application,0,computer_vision,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,custom_trained,administrative,0,custom_system,0,computer_vision,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,1,high,"""CBP uses this tool to conduct"" — computer vision, bureau (CBP).",wave1-C
34132,132228,continued,DHS,CBP,Public Information Compilation for Travel  Threat Analysis (Dataminr),"This tool significantly reduces the amount of time it takes for users to collect and compile commercially available open-source information when attempting to identify  possible threats related to national security, border violence, CBP facilities, CBP employee safety and other topics with a CBP-nexus involving air, sea, and land travel to and/or from the U.S.","The AI output is compiled publicly available information for awareness.  CBP employees further research the information, including reading the source information, to determine if there is a possible threat.",None of the above.,Developed with contracting resources.,Acquisition and/or Development,Public Information Compilation for Travel Threat Analysis (Dataminr),"Provides situational awareness of open-source social media and news reporting to enhance CBP Screening, Vetting and security of the homeland.","This tool significantly reduces the amount of time it takes for users to collect and compile commercially available open-source information when attempting to identify  possible threats related to national security, border violence, CBP facilities, CBP employee safety and other topics with a CBP-nexus involving air, sea, and land travel to and/or from the U.S.","The AI output is compiled publicly available information for awareness.  CBP employees further research the information, including reading the source information, to determine if there is a possible threat.",Natural Language Processing (NLP),Dataminr,Dataminr,CBP,product_deployment,0,nlp_specific,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,unknown,cybersecurity,0,custom_system,0,classical_ml,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0,medium,"""tool significantly reduces the amount of"" — classical ML, bureau (CBP).",wave1-C
34134,132096,continued,DHS,CBP,Advanced Analytics for X-ray Images (AAXI),"AAXI aims to address the problem of anomaly detection in empty commercial vehicles entering the United States at land border ports of entry. The AI models achieve this goal by encoding past X-Ray images of vehicular border crossings in a semantically meaningful way and comparing the current crossing to detect differences amongst the images to identify anomalies. Benefits include enhancement of the capability of humans to consistently detect items of interest/concern present (and possibly concealed) in vehicles crossing into the United States, and increased clearance rate at border crossings so that vehicles operating safely and lawfully may pass through the border faster.",AAXI produces bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,None of the above.,Developed with contracting resources.,Acquisition and/or Development,Advanced Analytics for X-ray Images (AAXI),Reduction of low risk empty commercial vehicles.,"AAXI aims to address the problem of anomaly detection in empty commercial vehicles entering the United States at land border ports of entry. The AI models achieve this goal by encoding past X-Ray images of vehicular border crossings in a semantically meaningful way and comparing the current crossing to detect differences amongst the images to identify anomalies. Benefits include enhancement of the capability of humans to consistently detect items of interest/concern present (and possibly concealed) in vehicles crossing into the United States, and increased clearance rate at border crossings so that vehicles operating safely and lawfully may pass through the border faster.",AAXI compares current crossing images to previous crossings of the same tractor/trailer which have been adjudicated by a CBP Officer and determines recommends further review if warranted.,Computer Vision,,,CBP,custom_system,0,computer_vision,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,unknown,administrative,0,custom_system,0,computer_vision,bureau,CBP,0,0,0,1,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""AAXI aims to address the problem"" — computer vision, bureau (CBP).",wave1-C
34135,132306,continued,DHS,CBP,Automated Data Annotation,"The Automated Data Annotation system is used to manage training data, collaborate on internal annotation strategies, and to process vast amounts of raw data for AI/ML applications collected from several CBP missions.The intended purpose of the AI is used to generate domain specific training data to facilitate model training for specific mission use cases. The expected benefit would be increased accuracy and confidence in model development.","High-quality, labeled datasets in JSON format ready for machine learning. It also provides metadata, including annotation metrics and quality insights, to ensure accuracy and support model training workflows.",None of the above.,,Initiated,Automated Data Annotation,,,,,,,CBP,custom_system,0,classical_ml,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,unknown,administrative,0,custom_system,0,classical_ml,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,custom_trained,mission_critical,0,medium,"""Automated Data Annotation system is used"" — classical ML, bureau (CBP).",wave1-C
34136,132107,continued,DHS,CBP,AI Enabled Autonomous Underwater Vehicle,"Customs and Border Patrol (CBP) Office of Field Operations (OFO) has identified significant potential for parasitic loads on vessels entering and exiting ports of entry. The current identification method is using dive teams or borrowing larger ROV units from Local, State, or Federal partners. Through autonomous systems, OFO can more efficiently and safely identify anomalies/items of interest.","This AI helps a small submarine drone detect possible contraband or safety risks to prioritize additional checks by human divers.


The technology allows for increased shared situational awareness in real time for OFO and strategic partners and improves mission planning and agent and officer safety, while reducing reactionary gaps. 
[this needs to be more clear about the ai system outputs - is the ai outputting suspected loads indicators? imagery? the closed loop fully autonomous navigation implies other self-looping outputs for navigation on obstacles and currents, are there any others?]",None of the above.,,Initiated,AI Enabled Autonomous Underwater Vehicle,"Customs and Border Protection (CBP) desires to identify potential Items of Interest (IoI) on vessels more quickly, efficiently, and safely.  Provides increased shared situational awareness in real time for CBP and strategic partners, and improves mission planning and agent and officer safety while reducing reactionary gaps.","Customs and Border Protection (CBP) intends to identify potential for Items of Interest (IoI) on vessels through the use of autonomous systems, which will allow CBP to more efficiently and safely increase shared situational awareness, improve mission planning and agent/officer safety, and reduce reactionary gaps.","AI output will include object avoidance, automated mission execution, and may include imagery of potential Items of Interest (IoI).",Computer Vision,,,CBP,custom_system,1,agentic,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,unknown,mission_critical,0,custom_system,0,classical_ml,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""Customs and Border Patrol (CBP) Office"" — classical ML, bureau (CBP).",wave1-C
34137,132108,continued,DHS,CBP,Relocatable Multi-Sensor System,"The system uses advanced sensor technology to differentiate valid items of interest (IOI), such as unmanned aircraft systems and humans, from other detections such as animals or other environmental objects. By integrating radar and other sensor data, the system filters out false alarms, ensuring more accurate identification of potential IOI. This capability enhances CBP's ability to focus on legitimate risks while minimizing the time spent on non-threatening activities, improving operational efficiency at border and security checkpoints.","The outputs  include real-time data identifying and categorizing potential items of interests, while filtering out false or non-relevant items of interest like animals. These outputs are used to provide situational awareness and support decision-making for CBP personnel.",None of the above.,,Initiated,Relocatable Multi-Sensor System,"Border security, detection of Small Unmanned Aircraft Systems (SUAS), and multi-sensor fusion.","The system uses advanced sensor technology to differentiate valid items of interest (IOI), such as unmanned aircraft systems and humans, from other detections such as animals or other environmental objects. By integrating radar and other sensor data, the system filters out false alarms, ensuring more accurate identification of potential IOI. This capability enhances CBP's ability to focus on legitimate risks while minimizing the time spent on non-threatening activities, improving operational efficiency at border and security checkpoints.","The outputs  include real-time data identifying and categorizing potential items of interests, while filtering out false or non-relevant items of interest like animals. These outputs are used to provide situational awareness and support decision-making for CBP personnel.",Classical/Predictive Machine Learning,,,CBP,custom_system,0,classical_ml,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,unknown,cybersecurity,0,custom_system,0,computer_vision,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""system uses advanced sensor technology to"" — computer vision, bureau (CBP).",wave1-C
34139,132109,continued,DHS,CBP,Anomaly Detection COV Structure,Anomaly Detection COV Structure is an AI algorithm solution to assist CBP officers in adjudicating  large-scale Non-Intrusive Inspection (NII) x-ray images. The solution will identify regions of interest within the structure of Commercially Owned Vehicles (COV) and detect anomalies within these regions. The algorithm will support the review and analysis conducted by image analysts during NII x-ray image adjudication ultimately reducing overall review time for NII images.,Bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,None of the above.,,Initiated,Anomaly Detection COV Structure,"The Anomaly Detection Algorithm (ADA) models are intended to solve several key problems for U.S. Customs and Border Protection (CBP) related to the screening of passenger and cargo vehicles. Improving the detection of anomalies and contraband, enhancing efficiency in image review, enhance human capability to consistently detect items of interest or concern, addressing high traffic volumes and resource constraints, and supporting the analysis of complex inspections.","CBP is seeking Anomaly Detection Algorithm (ADA) models capable of operating on CBP systems to enable rapid screening of commercially owned vehicles (CoVs). The objective is to develop a suite of algorithms that enhance CBP's Non-Intrusive Inspection (NII) image analysis, improving the detection of anomalies and contraband. These algorithms are intended to assist CBP officers in efficiently reviewing images, with a particular focus on identifying concealed contraband and anomalies in passenger vehicles and cargo conveyances. The implementation of ADA models will enhance human capability to consistently detect items of interest or concern, including concealed objects, in vehicles entering the United States. Additionally, these algorithms will enhance throughput efficiency at ports of entry, enabling the expedited processing of compliant vehicles while maintaining robust security standards.",Bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,Computer Vision,,,CBP,custom_system,0,computer_vision,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,unknown,cybersecurity,0,custom_system,0,computer_vision,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""Anomaly Detection COV Structure is an"" — computer vision, bureau (CBP).",wave1-C
34140,132307,continued,DHS,CBP,Anomaly Detection Homogenous Cargo,Anomaly Detection Homogenous Cargo is an AI algorithm solution to assist CBP officers in adjudicating large scale Non-intrusive Inspection (NII) x-ray images. The solution will identify anomalies within homogenous cargo contained in commercially owned vehicles (COVs). The algorithm will support the review and analysis conducted by CBP image analysts during NII x-ray image adjudication ultimately reducing overall review time for NII images.,Bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,None of the above.,,Initiated,Anomaly Detection Homogenous Cargo,,,,,,,CBP,custom_system,0,classical_ml,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,unknown,cybersecurity,0,custom_system,0,computer_vision,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""Anomaly Detection Homogenous Cargo is an"" — computer vision, bureau (CBP).",wave1-C
34141,132110,continued,DHS,CBP,Anomaly Detection POV Structure,Anomaly Detection POV Structure is an AI algorithm solution to assist CBP officers in adjudicating large-scale Non-Intrusive Inspection (NII) x-ray images. The solution will identify regions of interest within the structure of Privately Owned Vehicles (POV) and detect anomalies within these regions. The algorithm will support the review and analysis conducted by image analysts during NII x-ray image adjudication  ultimately reducing overall review time for NII images while facilitating legitimate trade and travel.,Bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,None of the above.,,Initiated,Anomaly Detection POV Structure,"The Anomaly Detection Algorithm (ADA) models are intended to solve several key problems for U.S. Customs and Border Protection (CBP) related to the screening of privately owned vehicles (PoVs). Improving the detection of anomalies and contraband, enhancing efficiency in image review, enhance human capability to consistently detect items of interest or concern, addressing high traffic volumes and resource constraints, and supporting the analysis of complex inspections.","CBP is seeking Anomaly Detection Algorithm (ADA) models capable of operating on CBP systems to enable rapid screening of passenger and cargo vehicles. The objective is to develop a suite of algorithms that enhance CBP's Non-Intrusive Inspection (NII) image analysis, improving the detection of anomalies and contraband. These algorithms are intended to assist CBP officers in efficiently reviewing images, with a particular focus on identifying concealed contraband and anomalies in passenger vehicles and cargo conveyances. The implementation of ADA models will enhance human capability to consistently detect items of interest or concern, including concealed objects, in vehicles entering the United States. Additionally, these algorithms will enhance throughput efficiency at ports of entry, enabling the expedited processing of compliant vehicles while maintaining robust security standards.",Bounding boxes around an anomaly or unidentifiable object(s) within an image or any portion of the image that cannot be identified or explained.,Computer Vision,,,CBP,custom_system,0,computer_vision,bureau,CBP,0,0,0,0,,,0,0,0,0,0,0,unknown,cybersecurity,0,custom_system,0,computer_vision,bureau,CBP,0,0,0,,,,0,0,0,0,0,0,inference_only,mission_critical,0,high,"""Anomaly Detection POV Structure is an"" — computer vision, bureau (CBP).",wave1-C
