agency,use_case_name,verdict,final_is_general_llm_access,confidence,reasoning
DOC,Global Business Navigator Chatbot,confirm_proposed,0,high,"Public-facing exporter chatbot on trade.gov whose ""knowledge is limited to the public information on the Export Solutions web pages"" — not internal staff LLM access (https://grow.exim.gov/blog/meet-the-ita-global-business-navigator-chatbot)."
DOC,Community-based Messaging with LLM,confirm_proposed,0,medium,"Narrative fields empty; name describes a single messaging-generation workflow (""Community-based Messaging with LLM""), not chat-style staff access."
DOC,Draft Fronts for Surface Analysis,confirm_proposed,0,high,"Narrative empty but name is decisive: drafting weather fronts for surface analysis charts is a fixed forecasting workflow, not arbitrary-prompt access."
DOC,Streamlining Fisheries DevSecOps with Gemini Code Assist,confirm_proposed,0,high,"""Gemini Code Assist"" is a coding-only tool embedded in a DevSecOps pipeline — explicitly excluded by the decision rule."
DOC,AI-powered Chatbot for Federal Funding Assistance (Grants) Guidance Dissemination,confirm_proposed,0,medium,"Narrative empty; name indicates a narrow chatbot over one corpus (federal funding/grants guidance dissemination), not broad staff LLM access."
DOC,Generative AI for Biological Opinions,confirm_proposed,0,high,"Name indicates an LLM document-drafting pipeline for ESA Biological Opinions — a single-workflow integration, not a general assistant."
DOC,LLM-Generated Causal Models,confirm_proposed,0,high,"""LLM-Generated Causal Models"" is a research modeling workflow that happens to use an LLM, not chat-style staff access."
DOC,"Using ChatGPT4 /DALLE3, Adobe Sensei and similar for design ideation and image generation",confirm_proposed,0,medium,"Narrative empty; name scopes use to ""design ideation and image generation"" — a specific creative workflow/user group, not an approved general-purpose FOUO assistant."
DOC,Super-resolution of Satellite Imagery Products using Generative AI,confirm_proposed,0,high,"Super-resolution of satellite imagery is an image-processing pipeline using generative AI, not text-prompt LLM access."
DOC,Integrating NOAA APIs with LLMs for Enhanced Access to Environmental Data and Insights,confirm_proposed,0,medium,"Name describes an API integration scoped to one dataset domain (""Enhanced Access to Environmental Data""), a single-workflow LLM integration."
DOC,AI Pair Programming with GitHub CoPilot,confirm_proposed,0,high,"GitHub Copilot ""AI Pair Programming"" is a coding-only tool — explicitly final=0 under the decision rule."
DOC,Storm Events Knowledge Graph Chatbot,confirm_proposed,0,high,"Chatbot over a single dataset (the storm events knowledge graph) — ""narrow chatbots over one dataset"" are excluded."
