2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
Product Service Code Automation ML Model,Department of State,STATE,A/GO,Mission-Enabling (internal agency support),N/A,N/A,"Developed a proof-of-concept machine learning model to scan unstructured, user entered procurement data such as Requisition Title and Line Descriptions to automatically detect the commodity and service types being purchased for enhanced procurement categorization. This project is retired.",N/A it was a proof of concept that has been cancelled.,Retired,Neither,,,,9/1/2021,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tailored Integration Logistics Management System (ILMS) User Analytics,Department of State,STATE,A/GO,Mission-Enabling (internal agency support),N/A,N/A,Piloted the use of ILMS transactional data and planned transactions to develop tailored user experiences and analytics to meet the specifics needs of the user at that moment. This allowed for the extraction of more meaningful information about users by mining real system actions and clicks. This project is retired.,N/A this was a pilot project that is not in production and was cancelled. ,Retired,Neither,6/1/2022,6/1/2022,6/1/2022,6/14/2022,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Property and Procurement Analytics,Department of State,STATE,A/GO,Mission-Enabling (internal agency support),N/A,N/A,Plan to expand current analytics within the Integrated Logistics Management System (ILMS) through development of a machine learning model for detecting patterns of potential anomalous activity in property and procurement.,Plan to have data on potential anomalous activity.,Planned,Neither,6/1/2022,6/1/2022,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AI input in Translation,Department of State,STATE,A/PRI/LS,Mission-Enabeling ,N/A,None of the above.,Leveraging machine-based tools to streamline workflows in translation work. Machine output is carefully post-edited by professional human translators to ensure highest quality product. ,Very rough suggested language that is carefully reviewed and edited by human professional translators. ,Implementation and Assessment,Neither,1/19/2024,1/19/2024,1/19/2024,N/A,Developed with both contracting and in-house resources.,,No,No,N/A,,,No,N/A,,,In-house curated translation memory for training and fine-tuning models,,,,,,,,,,Yes,,,,,,No,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FOIA Web ML Document Indexer,Department of State,STATE,A/PRI/TI,Mission-Enabling (internal agency support),N/A,N/A,"Development is underway for a machine learning algorithm to generate index metadata for the documents in the Department's online Freedom of Information Act (FOIA) Library, thereby improving document classification and accuracy of search. ",Plan to have a series of prepopulated metadata,Planned,Neither,2/27/2023,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BudgetChat AI Tool,Department of State,STATE,BP/RPBI,Mission-Enabling (internal agency support),N/A,Inputting large amounts of data from paper forms into a digital system using AI.,"BudgetChat (aka BudgetSearch) is expected to consolidate budget documents to make searching and summarizing them easier, thereby streamlining access and analysis of initiatives over multiple years and programs.","Summary of information that will be verified, reviewed, and edited by humans.",Acquisition and/or Development,Neither,7/26/2024,9/12/2024,12/1/2024,N/A,Developed with both contracting and in-house resources.,,,N/A,N/A,N/A,N/A,N/A,N/A,,,Budget documents that have been published from previous and current year. ,Yes,,,N/A,N/A,N/A,,,,Yes,,,,Yes,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Travel.state.gov (TSG) Content Refinement with AI Text Editor,Department of State,STATE,CA/CST,Other,Consular Affairs,Improving the quality of written communications using AI tools.,To assist in rewriting Public Facing content on International Travel Safety & Security to improve readability.,Content rewritten in a simplified manner that will be reviewed and edited by humans. ,Acquisition and/or Development,Neither,5/1/2024,5/1/2024,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Predictive Analytics Platform,Department of State,STATE,CA/CST,Other,Consular Affairs,N/A,"Planned AI Use Cases that will be on the Predictive Analytics platform. The Predictive Analytics platform facilitates AI R&D and AI modeling, LLMs with services like Azure AI services, Azure Machine Learning, Azure Databricks, Azure Synapse and Data Science Virtual Machines etc. Individual AI Use Cases will be on this platform. ",The planned platform to provide the capacity to R&D AI Use Cases.,Acquisition and/or Development,Neither,3/15/2024,8/12/2024,N/A,N/A,Developed with both contracting and in-house resources.,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,,,,Yes,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Consular Affairs Photo Quality Service (PQS) / FaceVACS,Department of State,STATE,CA/CST,Other,Consular Affairs,None of the above.,"To automatically check passport photo quality during the Online Passport Renewal (OPR) process, providing instant feedback to ensure submitted images meet requirements. Applicants are prompted to retake and upload new photos if needed to meet requirements or submit a physical photo through standard processes if an acceptable digital photo cannot be obtained.",Improved outcomes.,Implementation and Assessment,Neither,,,,,Developed with both contracting and in-house resources.,,,N/A,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Innovation and Transformation Measurement and Prediction,Department of State,STATE,CA/CST,Other; Mission-Enabling (internal agency support),Consular Affairs,N/A,"To measure and understand causal impacts of consular service changes and improvements on desired outcomes (e.g., efficiency, effectiveness, customer and employee experiences, actionable behaviors, etc.) using methods such as machine learning and statistical modeling. This will allow Consular Affairs to better predict how these service changes will impact customers and employees before they are implemented.",Improved outcomes.,Initiated,Neither,5/1/2024,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
