slug,agency,bureau,ai_use_case,commercial_product,commercial_examples,band,candidates
doc-using-ai-assisted-tools-in-word-processors,DOC,,Using AI-assisted tools in word processors.,Litera-compare,,1-100,Litera Compare
doe-finding-and-booking-travel-accommodations-using-ai-powered-platforms,DOE,,Finding and booking travel accommodations using AI-powered platforms.,"Enterprise Travel System 2.0, DDSP Travel Request Form,",,101-1000,
doe-generating-code-using-ai,DOE,,Generating code using AI.,GitHub Enterprise 1.0,,"10,000-50,000",UiPath Enterprise RPA; Tableau
doe-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,DOE,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"WebApps, OGC Docket Database, MCG Energy Solutions Integrated Asset Manager (IAM), OATI Transmission Scheduling",,101-1000,
dot-scheduling-and-managing-social-media-posts-using-ai,DOT,,Scheduling and managing social media posts using AI.,Sprout,,1-100,
eac-searching-for-agency-information-using-a-knowledge-retrieval-system,EAC,,Searching for agency information using a knowledge retrieval system.,Copilot,,1-100,Aretec SEARCH; EPA Agency Records Management System
fca-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FCA,,Creating visual representations of data sets for reports or presentations using AI.,Various,,1-100,
fca-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FCA,,"Generating first drafts of documents, briefing, or communication materials using AI.",Various,,1-100,
fca-improving-the-quality-of-written-communications-using-ai-tools,FCA,,Improving the quality of written communications using AI tools.,Various,,1-100,
fca-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FCA,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Various,,101-1000,
fca-planning-travel-routes-using-ai-driven-map-applications,FCA,,Planning travel routes using AI-driven map applications.,Various,,101-1000,Clearview AI
fca-searching-for-agency-information-using-a-knowledge-retrieval-system,FCA,,Searching for agency information using a knowledge retrieval system.,Various,,1-100,Aretec SEARCH; EPA Agency Records Management System; ARC Travel Intelligence
fca-summarizing-the-key-points-of-a-lengthy-report-using-ai,FCA,,Summarizing the key points of a lengthy report using AI.,Various,,1-100,
fca-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FCA,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Various,,1-100,
fca-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FCA,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Various,,101-1000,
fca-using-ai-assisted-tools-in-word-processors,FCA,,Using AI-assisted tools in word processors.,Various,,1-100,NIAID OSPIDA Scientific Coding Assistance Tool; Everlaw AI Assistant
frb-editing-images-videos-or-other-public-affairs-materials-using-ai,FRB,,"Editing images, videos, or other public affairs materials using AI.",External- Creative Production Suite,,1-100,
frb-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FRB,,Finding and booking travel accommodations using AI-powered platforms.,External- Government Travel System,,101-1000,
frb-generating-code-using-ai,FRB,,Generating code using AI.,"External-Generative Coding Assistant, External- Chatbots, Internal Gov Cloud - Chatbots",,1001-5000,
frb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FRB,,"Generating first drafts of documents, briefing, or communication materials using AI.","External- Chatbots, Internal Gov Cloud- Chatbots",,1001-5000,
frb-improving-the-quality-of-written-communications-using-ai-tools,FRB,,Improving the quality of written communications using AI tools.,"External- Chatbots, Internal Gov Cloud- Chatbots",,1001-5000,
frb-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FRB,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",External- Cybersecurity Suites,,1-100,
frb-planning-travel-routes-using-ai-driven-map-applications,FRB,,Planning travel routes using AI-driven map applications.,External- Smartphone OS,,1-100,
frb-searching-for-agency-information-using-a-knowledge-retrieval-system,FRB,,Searching for agency information using a knowledge retrieval system.,Internal Gov Cloud- Chatbots,,1001-5000,Aretec SEARCH
frb-summarizing-the-key-points-of-a-lengthy-report-using-ai,FRB,,Summarizing the key points of a lengthy report using AI.,"External- Chatbots, Internal Gov Cloud- Chatbots",,1001-5000,
frb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FRB,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,External- Smartphone OS,,1001-5000,
ftc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FTC,,"Generating first drafts of documents, briefing, or communication materials using AI.",CoPilot,,1001-5000,
