sub_agency_slug,topic,query,top_url,found_useful,conclusion
nasa-jpl,enterprise GitHub Copilot at JPL,"NASA JPL GitHub Copilot pilot 2025",https://github.com/nasa-jpl,no,JPL has many open-source repos but no public mention of an enterprise GitHub Copilot deployment in 2025; matches the foundation-pack signal of zero coding entries.
doc-nist,NIST coding assistant deployment,"NIST GitHub Copilot OR Amazon Q Developer 2025 inventory",https://www.nist.gov/itl,no,NIST 2025 use cases lean toward AI risk frameworks; no developer coding assistant surfaced in public materials. Confirms foundation-pack zero count.
hhs-fda,FDA enterprise coding tool,"FDA GitHub Copilot 2025 OR FDA Microsoft 365 Copilot developer",https://www.fda.gov/about-fda/data-mining,no,FDA's only coding-specific row is OCS pre-deployment code-generation; no department-wide developer assistant in the 2025 file.
nasa-gsfc,Goddard Code Assistant pilot scope,"NASA Goddard Code Assistant Pilot Study site:nasa.gov",https://www.nasa.gov/goddard,no,Public NASA materials don't elaborate the GSFC code-assistant pilot beyond the inventory description. Foundation-pack counts (2 pre-deployment) treated as authoritative.
doe-llnl,LLNL Amazon Q Developer,"LLNL Amazon Q Developer pilot 2025",https://hpc.llnl.gov,no,LLNL's listed Amazon Q is not Q Developer specifically; treated as generic AWS console assistant per generic-LLM rule.
doe-inl,INL ChatGPT Enterprise coding,"INL ChatGPT Enterprise developer 2025",https://inl.gov,no,INL's ChatGPT Enterprise has code-generation listed as a use but it's generic-LLM access — fails the coding rule per the charter.
sba-ocio,SBA Q Developer + GitHub Copilot side-by-side,"SBA OCIO Amazon Q Developer GitHub Copilot 2025",https://www.sba.gov,no,No public press release; relies on inventory rows. Confirms foundation-pack signal.
ssa-ocio,SSA Windsurf + AveriSource scope,"SSA Windsurf Codeium 2025 OR AveriSource SSA",https://www.ssa.gov,no,No public confirmation beyond the inventory rows themselves; treated as high-confidence per round-1 by_agency conclusions.
treasury-irs,IRS Modular Code Assistant scope,"IRS Modular Code Assistant 2025 modernization",https://www.irs.gov/about-irs,no,Public IRS pages reference modernization but not these specific tools by name.
hhs-cms,CMS GitHub Copilot WETG scope,"CMS GitHub Copilot WETG proof of concept",https://www.cms.gov,no,WETG team-level POC; no enterprise CMS-wide rollout surfaced.
doc-noaa,NOAA Q Developer + Gemini Code Assist,"NOAA Amazon Q Developer Pilot 2025 OR NOAA Gemini Code Assist",https://www.noaa.gov,no,NOAA doesn't publish detail beyond the inventory but the foundation pack already names three vendors across six use cases — strong signal.
