canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets,assigned_categories,assigned_gen_ai,assigned_confidence,assigned_reasoning
FS Pro,FS Pro,productivity,1,0,,Foreign Service productivity tool used at the Department of State,3,1,FS Pro | FS Pro | FS Pro,none,0,low,Foreign Service productivity tool with no specified AI capability.
FTC Sentinel Analytic Sandbox,FTC / Leidos,data_analytics,0,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Leidos Sentinel Network Services Analytic Sandbox' — catalog entry 'FTC Sentinel Analytic Sandbox'.,none,0,low,An analytics sandbox environment for the Sentinel network with no specific AI capability described.
FTC Sentinel Developer Productivity,FTC / Leidos,coding_assistant,1,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Developer Productivity ... Enhance developer productivity by improving code quality' on Leidos Sentinel — catalog entry 'FTC Sentinel Developer Productivity'.,assistant,1,medium,AI coding-productivity/code-quality assistant for developers.
FTC Sentinel Graph Analytics,FTC / Leidos,data_analytics,0,0,FTC Sentinel Network Services,,1,1,product_queue_review_2026-06: 'Graph Analytics ... identify relationships and connections between complaints' on Leidos Sentinel — catalog entry 'FTC Sentinel Graph Analytics'.,none,0,low,Graph analytics linking complaints; relationship analytics does not map to a listed AI capability.
Federal Docket Management System,GSA,document_ai,0,0,,,1,1,Federal Docket Management System,none,0,low,Regulatory docket management system with no specific AI capability described.
FirstTwo,FirstTwo,investigative_data,0,0,,"Geospatial OSINT platform that aggregates address, person, and location data for investigative lookups.",1,1,First Two,none,0,low,OSINT data aggregation for lookups; no listed AI capability class.
Flashpoint,Flashpoint,investigative_data,0,0,,,3,2,flashpoint | Flashpoint | Flashpoint,none,0,low,Threat-intelligence/investigative data platform; security intel does not map to a listed capability.
GAIA AI,GAIA AI,computer_vision,0,0,,,1,1,GAIA AI,vision,0,low,Named computer-vision product with limited detail.
GE Healthcare EchoPAC,GE Healthcare,clinical_decision_support,0,0,,,1,1,via add_product,vision,0,medium,Cardiac ultrasound analysis software with automated AI measurement of echo images.
Gemini,Google,general_llm,1,1,Google,Google's conversational AI,58,15,gemini 1.5 | gemini code assist | gemini,genai_platform|assistant,1,high,"Google's general-purpose LLM offered both as a chat/API surface and as embedded assistants (Code Assist, Workspace)."
Genesys Cloud CX,Genesys,agent_platform,1,0,,,1,1,Genesys Cloud CX,chatbot|assistant,1,medium,Contact-center platform with virtual agents/bots and agent-assist copilots.
Ginnie Mae Automated Draft Narrative Reports,Ginnie Mae / Deloitte,nlp,0,0,,,1,1,product_queue_review_2026-06: 'Automated Draft Narrative Reports' (Deloitte/Ginnie Mae NLG) matches catalog Ginnie Mae Automated Draft Narrative Reports.,nlp,0,low,"Custom NLG system drafting narrative reports from financial data; likely template/analysis-driven generation rather than a generative model, but details are thin."
Ginnie Mae Subledger Data Quality ML,Ginnie Mae / Ernst & Young,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'Subledger Data Quality Machine Learning' (Ernst & Young / Ginnie Mae) matches catalog Ginnie Mae Subledger Data Quality ML.,none,0,low,ML for financial data-quality checks; no listed capability class fits.
GitHub Copilot,Microsoft,coding_assistant,1,0,Microsoft,AI pair programmer for code generation,27,19,github copilot | github copilot | github copilot,assistant,1,high,AI pair-programming copilot embedded in the developer workflow — a rubric-listed assistant.
Glassbeam Clinsights,Glassbeam,data_analytics,0,0,,,1,1,glassbeam clinsights,none,0,low,Medical device machine-data analytics; no listed AI capability class.
Google,Google,productivity,0,0,,,18,10,Google | google | Google,none,0,low,Bare brand placeholder with no specific product named in snippets.
