product_id,canonical_name,vendor,product_type,alias_count,vendor_sibling_count,edge_count,existing_aliases,sample_unlinked_mentions
7767,Microsoft 365,Microsoft,coding_assistant,0,44,6,,
7483,Microsoft Purview,Microsoft,security_tool,2,44,4,Purview | Microsoft Purview,
7579,Microsoft Sentinel,Microsoft,security_tool,1,44,4,Microsoft Sentinel,
7770,Microsoft AI Builder,Microsoft,ml_platform,2,44,4,Microsoft AI Builder | AI Builder Document Scraping,
7786,Microsoft Power BI,Microsoft,data_analytics,2,44,4,Microsoft Power BI | Microsoft Power BI Desktop,
7607,Azure AI Foundry,Microsoft,general_llm,1,44,3,Azure AI Foundry,
7785,Microsoft Outlook,Microsoft,productivity,2,44,3,Microsoft Outlook | Microsoft Outlook MUI,
7862,Visual Studio,Microsoft,developer_tool,2,44,3,Visual Studio | Visual Studio Community,
8066,Microsoft Viva,Microsoft,productivity,1,44,3,Microsoft Viva,
7783,Microsoft OneDrive,Microsoft,productivity,2,44,2,Microsoft OneDrive | Microsoft OneDrive MUI,
7784,Microsoft OneNote,Microsoft,productivity,2,44,2,Microsoft OneNote | Microsoft OneNote MUI,
8062,Azure Synapse Analytics,Microsoft,data_analytics,1,44,2,Azure Synapse Analytics,
7501,Azure Data Factory,Microsoft,data_analytics,2,44,1,ADF | Azure Data Factory,
7608,Azure Speech,Microsoft,transcription,1,44,1,Azure Speech,
7768,Microsoft 365 Apps for Enterprise,Microsoft,coding_assistant,1,44,1,Microsoft 365 Apps for Enterprise,
7771,Microsoft Azure Authoring Tools,Microsoft,developer_tool,1,44,1,Microsoft Azure Authoring Tools,
7773,Microsoft Azure PowerShell,Microsoft,developer_tool,1,44,1,Microsoft Azure PowerShell,
7774,Microsoft Azure Quantum Elements,Microsoft,scientific_ml,1,44,1,Microsoft Azure Quantum Elements,
7778,Microsoft Discovery,Microsoft,scientific_ml,1,44,1,Microsoft Discovery,
7779,Microsoft Dynamics 365,Microsoft,productivity,2,44,1,Microsoft Dynamics 365 | Microsoft Dynamics Online,
7780,Microsoft Edge,Microsoft,consumer_feature,1,44,1,Microsoft Edge,
7781,Microsoft Exchange Server,Microsoft,productivity,1,44,1,Microsoft Exchange Server,
7788,Microsoft PowerPoint,Microsoft,productivity,2,44,1,Microsoft PowerPoint | Microsoft PowerPoint MUI,
7789,Microsoft Project,Microsoft,productivity,1,44,1,Microsoft Project,
7790,Microsoft Purview eDiscovery,Microsoft,ediscovery,2,44,1,Microsoft Purview eDiscovery | Microsoft eDiscovery Attorney-Client Privilege Detection,
7791,Microsoft ScreenSketch,Microsoft,productivity,1,44,1,Microsoft ScreenSketch,
7792,Microsoft Search in Bing,Microsoft,search,1,44,1,Microsoft Search in Bing,
7794,Microsoft Skype,Microsoft,productivity,2,44,1,Microsoft Skype | Microsoft Skype App,
7841,SQL Server Management Studio,Microsoft,developer_tool,1,44,1,SQL Server Management Studio,
7863,Visual Studio Enterprise,Microsoft,developer_tool,1,44,1,Visual Studio Enterprise,
