action,agency_abbreviation,uc_2024_slugs,uc_2025_slugs,confidence,reasoning
confirm_rename,DHS,dhs-fema-ocfo-gpt,dhs-executive-summary-gpt,medium,Both are FEMA internal GenAI tools (Azure OpenAI within the FEMA boundary) that summarize documents and draft responses to support leadership; 2025 reframes it as document upload and executive-summary generation. Plausible rename of the same FEMA OCFO GPT capability.
confirm_rename,DHS,dhs-machine-learning-translation-technology-initiative,dhs-mobile-language-translation-services,medium,2024 Machine Learning Translation Technology Initiative is an ERO machine-translation solution for non-critical communications; 2025 Mobile Language Translation Services is the same ERO translation capability renamed (2025 narrative empty).
confirm_rename,DHS,dhs-open-source-news-aggregation,dhs-open-source-intelligence-for-investigations,medium,Both describe AI/ML processing of large volumes of multilingual open-source/publicly-available online data to surface relevant intelligence; 2025 reframes it under HSI investigations support but the core capability is the same OSINT exploitation.
confirm_rename,DHS,dhs-port-of-entry-risk-assessments,dhs-passenger-security-assessment-model,medium,Both are CBP AI risk-assessment models scoring travelers/vehicles in real time at ports of entry to prioritize high-risk individuals for inspection; 2025 names and narrows it to the passenger security model.
reject_rename,DHS,dhs-advanced-analytic-enabled-forensic-investigation,dhs-mobile-device-forensics-for-investigations,medium,2024 is CISA cyber-event forensic analysis with AI agents for FCEB partners; 2025 is HSI AI tagging/decoding of mobile-device data for criminal investigations. Different components (CISA vs HSI) and forensic domains.
reject_rename,DHS,dhs-advanced-network-anomaly-alerting,dhs-enhanced-lead-identification-and-targeting,high,2024 refines NCPS Einstein network anomaly alerts for SOC analysts; 2025 extracts addresses from rap sheets/warrants to build ERO enforcement leads. Unrelated.
reject_rename,DHS,dhs-agent-portable-surveillance,dhs-license-plate-reader,high,2024 Agent Portable Surveillance is a backpack EO/IR + radar border-detection unit; 2025 License Plate Reader enhances low-quality imagery to extract plate numbers. Different systems.
reject_rename,DHS,dhs-ai-curated-synthetic-data,dhs-automated-incident-creation-it,high,2024 generates synthetic training data for NII threat-recognition algorithms; 2025 Automated Incident Creation triages contact messages to create ServiceNow helpdesk tickets. Entirely different use cases.
reject_rename,DHS,dhs-ai-security-and-robustness,dhs-cargo-security-assessment-model,high,2024 AI Security and Robustness governs trustworthy AI acquisition/deployment (CISA); 2025 Cargo Security Assessment Model scores cargo shipments for inspection risk. Different domains; only 'Security' overlaps.
reject_rename,DHS,dhs-anomaly-detection-in-non-intrusive-inspection,dhs-non-intrusive-vessel-and-object-detection-tool-tethered-aerostat-radar-system-ta,high,2024 detects contraband anomalies inside NII X-ray scan images; 2025 is the TARS aerostat radar tool detecting/classifying maritime vessels and objects. 'Non-intrusive' overlaps but the systems and domains differ.
reject_rename,DHS,dhs-asylum-text-analytics,dhs-ai-resume-ats-app,high,2024 Asylum Text Analytics supports the USCIS asylum program; 2025 AI Resume & ATS App screens disaster-hiring resumes. Unrelated.
reject_rename,DHS,dhs-autonomous-aerostat,dhs-open-metadata,high,2024 Autonomous Aerostat uses AI to launch/recover an aerostat based on weather; 2025 Open Metadata uses an LLM to generate data-catalog field descriptions. Completely unrelated.
reject_rename,DHS,dhs-autonomous-maritime-awareness,dhs-global-maritime-intelligence,medium,2024 Autonomous Maritime Awareness is cold-weather sensor surveillance detecting vessels; 2025 Global Maritime Intelligence is an HSI ML platform linking fragmented maritime activity data to find investigative leads. Both maritime but different systems (sensor surveillance vs. data-fusion analytics) and components.
reject_rename,DHS,dhs-climate-change-assessment-tool,dhs-dhs-asset-assessment-tool,medium,2024 Climate Change Assessment Tool predicts where extreme weather will affect DHS facilities; 2025 DHS Asset Assessment Tool is a natural-language/SQL tool for facility placement and consolidation analysis. Related real-estate domain but a different problem (climate risk vs. SQL-free asset analytics) and tool; insufficient bilateral evidence of the same system.
reject_rename,DHS,dhs-cyber-incident-reporting,dhs-traveler-entity-resolution,high,2024 Cyber Incident Reporting processes CIRCIA cyber-incident data with ML/NLP; 2025 Traveler Entity Resolution matches traveler records for CBP screening. Unrelated.
reject_rename,DHS,dhs-cyber-threat-intelligence-feed-correlation,dhs-dark-web-threat-intelligence-for-cyber-investigations,medium,2024 correlates incoming cyber threat-intelligence feeds for shared enrichment (CISA); 2025 summarizes dark-web data for HSI cyber investigations. Both cyber-threat-intel but different components and a different data source/workflow.
