agency,use_case_name,tool_product_name,stage,tier,rule
DHS,Commercial Generative AI for Code Generation,Unspecified commercial GenAI,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",permission,name:commercial generative ai for
DHS,Commercial Generative AI for Image Generation,,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",permission,name:commercial generative ai for
DHS,Commercial Generative AI for Text Generation (AI Chatbot),,"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",permission,name:commercial generative ai for
DHS,DHS-Chat,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name:dhs-chat
DOC,USAi.gov,,,operated_build,name:usai
DOE,EnerGPT,EnerGPT,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:energpt
DOI,FBMS UPC Chatbot,,Pre-deployment  The use case is in a development or acquisition status.,operated_build,name:chatbot
DOJ,BriefCatch,BriefCatch,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,tool:briefcatch
DOJ,Business Intelligence Tools,Tableau,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,tool:tableau
DOJ,CoPilot,,a) Pre-deployment – The use case is in a development or acquisition status.,tenanted,name:copilot
DOJ,FOIA Production Tools,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,name:foia production tools
DOJ,ServiceNow,ServiceNow Now Assist,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,tool:servicenow
DOJ,Westlaw (AI assisted legal research),Westlaw AI,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,tool:westlaw
DOL,DAISI ( DOL AI Search Insights),Aretec SEARCH,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:aretec
DOL,Generative AI AssistantI  ( AI Center),Custom In-House AI,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:custom in-house
DOT,Conversational Multi-modal Chatbot (Google Gemini),Gemini,Deployed,tenanted,tool:gemini
DOT,DOT Generative AI (GenAI) Policy,,Pre-deployment,permission,name:policy
DOT,"Enterprise ""Ask Dottie"" ChatBot Capability",,Pre-deployment,operated_build,name:ask dottie
DOT,Enterprise Personal Productivity Assistant Capability,,Deployed,operated_build,override
DOT,Report Sumarization (Google NotebookLM),NotebookLM,Deployed,tenanted,tool:notebooklm
DOT,USAi (multi-model large language models),,Pilot,operated_build,name:usai
ED,Department-wide implementation of GSA USAi,,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,operated_build,name:usai
ED,Generative AI - Code Generation,OpenAI API,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:openai api
ED,Generative AI - Idea Suggestion,OpenAI API,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:openai api
ED,Generative AI - Information Summarization,OpenAI API,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:openai api
ED,Generative AI - Text Generation,OpenAI API,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:openai api
ED,MS Copilot - Business Process Improvement,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Collaboration & Communication,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Compliance & Risk Management,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Content Organization & Archiving,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Creative & Productive Work Enhancement,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Data Analysis & Insights,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Document Creation & Editing,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Grant & Program Management,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Process & Workflow Automation,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Project & Task Management,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Research & Knowledge Management,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Security & Privacy,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Summarization,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Technical Assistance & Code Generation,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
ED,MS Copilot - Training & Education,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
FHFA,Workflow automation and predictive analytics using ServiceNow,ServiceNow Now Assist,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,tool:servicenow
FRTIB,Adobe Firefly,Adobe Firefly,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,tool:adobe
FRTIB,Microsoft CoPilot,Microsoft 365 Copilot,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
FRTIB,Sumtotal Chatbot,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name:chatbot
FTC,Microsoft 365 Copilot,Microsoft 365 Copilot,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,tenanted,tool:copilot
GSA,Enterprise Chatbot (GSAi),,c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name:gsai
GSA,Gemini for Google Workspace,Gemini,c)  Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:gemini
HHS,1CDP (SEDRIC) AIP for Advanced Foodborne Outbreak Investigation (AI Summarization and Receipt Reading),Palantir AIP,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:palantir
HHS,ABE (AI-driven. Beneficial. Efficient.),Custom In-House AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,tool:custom in-house
HHS,AI Agent Orchestrator POC,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,default
HHS,AI Audit Resolution Assistant (AIARA),,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,name:assistant
HHS,AI Use Policy Tool,,a) Pre-deployment  The use case is in a development or acquisition status.,permission,name:policy
HHS,AI for Assessing Bioanalytical Study Conduct Alignment with Guidance and Method SOPs,Elsa (FDA),b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,tool:elsa
HHS,AI for Bioanalytical Study Risk Assessment and Inspection Readiness,Elsa (FDA),b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,tool:elsa
HHS,AI for Clinical Study Risk Assessment and Inspection Preparation,Elsa (FDA),b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,tool:elsa
HHS,AI for Regulatory Review (AIRR) Pilot,Custom In-House AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,tool:custom in-house
HHS,AI in Slack,Slack,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,name:slack
HHS,AI to Improve Public Access to the Administrative Appeals Process,,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,default
HHS,AI-Powered Assistant for Pathogen Detection (AIPD),,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,name:assistant
HHS,AI-Powered Meeting Notes for MAG Hearings and AIRC Sessions,Microsoft Teams,a) Pre-deployment  The use case is in a development or acquisition status.,embedded_cots,tool:microsoft teams
HHS,AIP Cyber Incident Ingestion,Palantir AIP,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,tenanted,tool:palantir
HHS,ATSDR Toxicological Assistant chatbot,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name:chatbot
HHS,AWS Exscribo,AWS Bedrock,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,tool:aws bedrock
HHS,Acquisition support: assisting reviews and co-drafting technical evaluation documents,Microsoft 365 Copilot Chat,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
HHS,Acquisition support: co-drafting acquisition packages,Microsoft 365 Copilot Chat,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:copilot
HHS,Adverse Childhood Experiences (ACEs) Literature Review Dashboard,,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",operated_build,default
HHS,Agent/Broker Fraud Analysis (ABCQI),,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,default
HHS,Agentic RAG Chatbot,,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,name:chatbot
HHS,Agentic Web Search,Aretec SEARCH,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,tool:aretec
HHS,Analytics-Driven Supplement Evaluation (ASE),Custom In-House AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:custom in-house
HHS,Analyzing Public Comments on Proposed Rule,,"d) Retired  The use case was reported in the agencys prior years inventory, but its development and/or use has since been discontinued.",operated_build,default
HHS,Applicant Help Chatbot,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name:chatbot
HHS,Ask Aithena,OpenAI API,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,tool:openai api
HHS,Ask HR Policy,Palantir AIP,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,tenanted,tool:palantir
HHS,Assessing Large Language Models for Synthetic Survey Data Generation,,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,default
HHS,Automated Analysis of Injury Control Research Center (ICRC) Annual Progress Reports (APRs) using Large Language Models,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,name:automat
HHS,Automating LIMS Bioinformatics Workflow Configuration and Enhancing Lab Quality Management with AI,,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,name:automat
HHS,Builder Buddy,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,default
HHS,C3PO: CMS Comprehensive Cybersecurity and Privacy Optimization,OpenAI API,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,operated_build,tool:openai api
HHS,CCSQ Now Assist for CSM,ServiceNow Now Assist,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,tool:servicenow
HHS,CCSQ ServiceNow AI Search,ServiceNow Now Assist,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,embedded_cots,tool:servicenow
HHS,CDC Chatbot,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name:chatbot
HHS,CDC Chatbot - Enterprise Data Assistant,,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name:chatbot
HHS,COMET (Consult Memo Assistant),,a) Pre-deployment  The use case is in a development or acquisition status.,operated_build,name:assistant
HHS,CSR Public Chatbot (CPC),,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,operated_build,name:chatbot
