agency,use_case_name,bureau_component,current_is_general_llm_access,current_is_generative_ai,ai_sophistication,tool_product_name,stage_of_development,ai_classification,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
DHS,AI to generate testable synthetic data,CBP,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Improve integration with trade partners and reduce implementation time of new capabilties.,The purpose of using AI to generate test data for trade partners is to create more realistic data for trade partners to use for testing their systems before releasing new ACE capabilities.  Currently there are many data issues where test data does not accurately reflect real production data which results in unrealistic failures when testing which result in wasted time and resources tracking down false positive errors during testing.  By providing trade partners with more realistic test data the expectation is that testing times will be shorter and enhancements and capabilities can be delivered quicker.,The AI capability would generate test data without PII or other trade sensitive data and allow for more accurate simulation of production data.
DHS,AI-Assisted eDiscovery Search,ICE,1,0,general_llm,Aretec SEARCH,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"The use case addresses inefficiencies in traditional document search and retrieval processes, such as time-consuming manual searches, the complexity of crafting SQL queries, low relevance and accuracy in search results, difficulties in digesting lengthy content, and the absence of summarization tools. These challenges hinder users' ability to efficiently access and understand critical information.","The intended purpose of this AI use case is to optimize document search, retrieval, and summarization processes by enabling users to interact with data conversationally and efficiently. The benefits include improved accuracy and relevance in search results, reduced time spent analyzing large datasets, simplified access to complex information, and enhanced decision-making through concise summaries and precise outputs.","The solution’s AI outputs include precise search results and summarized content, enabling users to quickly access information, make informed decisions, and take follow-on actions without requiring technical expertise. The tool does not make legal or case outcomes decisions; it retrieves and summarizes documents, and Office of the Principal Legal Advisor personnel remain responsible for interpreting the results and applying the law."
DHS,Administrative & Productivity Support for IRC Resource Library,FEMA,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Long-term disaster recovery requires analyzing large amounts of information stored in multiple locations. IRC typically reviews past recovery plans and projects, available federal and state funding options, considers community needs, and other recovery strategies used in the event. High-level reviews are necessary for FEMA Program Areas (IA, PA, etc.) on potential funding gaps and cost share support. Synthesizing that information from the various storage locations, including other departments, IRC SharePoint, and TRAX poses some challenges.","This use case is designed to solve these challenges by reducing inconsistency in manual research, improving access to historical knowledge, and helping staff quickly identify relevant recovery resources. The purpose of this tool is to assist in the identification of patterns in current and past disaster events. Earlier identification will expedite situational awareness and the development of recovery needs and strategies. It allows the IRC team to define a recovery approach and deliver funding and resources that match a community’s needs more quickly. 

With faster decision-support for FEMA staff, more consistent analysis across regions, and better use of federal resources to support communities after disasters we are more capable of delivery of the FEMA mission.","The AI tool will produce a set of organized, easy-to-read listings, such as bibliographies, recovery projects summaries, evaluate strategies from similar disasters, and recommended approaches tailored to the current available funding. These out-puts will be used by the IRC teams to inform planning discussions, prevent benefit duplication, and guide technical assistance to states and local governments."
DHS,Draft Report Generation and Formatting for Investigations,ICE,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"The AI is intended to solve the problem of contract managers having to manually review large numbers of contract records to spot possible duplicates, which makes it easy to miss overlapping agreements and contributes to redundant spending.",The use of AI in contract management is expected to reduce the time required for manual contract review and improve the ability to identify duplicative contracts. This implementation supports efforts to reduce contract costs and aligns with federal procurement consolidation and cost-efficiency initiatives.,"The solution’s AI outputs are alerts and reports. When the AI detects a potential duplicate contract, it generates an alert for the user. The system can also produce detailed reports that highlight identified duplicates and provide relevant contract details. These outputs are intended to support contract managers and other personnel in reviewing and resolving potential duplicate contracts. Users may access detailed reports to understand the nature of the duplicates and take appropriate actions, such as consolidating contracts, renegotiating terms, or canceling redundant agreements. The resolution workflow guides users through the process of addressing duplicate contract alerts. The AI component will not itself modify, consolidate, or cancel contracts; all actions are taken by personnel following existing approval and procurement processes."
DHS,Purchase Card Worksheet Analysis,ICE,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"The AI is intended to solve the problem of reviewers having to manually check each purchase card line item against numerous laws, policies, and contract terms, which is time‑consuming and increases the risk of missed compliance issues.","The AI module is expected to help accelerate compliance checks, streamline processes, and assist in identifying potential risks, while continuously improving through a human-in-the-loop feedback system. This integration is intended to help procurement actions better align with relevant legal and policy requirements.","The outputs of the AI module will include a compliance status for each purchase line item (compliant or non-compliant) and detailed reasoning with citations to the specific policies or legal documents used in the evaluation. The Automated Purchase Card Approval System will use these AI-generated compliance statuses and explanations to help route items and flag potential issues within the approval workflow. AI outputs do not themselves approve or deny purchases. Compliant items may proceed through the workflow consistent with existing business rules, while non-compliant items will be flagged for human review. Human reviewers can access detailed reasoning for non-compliant determinations and may choose to correct requests, raise exceptions, or flag inaccuracies."
DHS,Semantic Search and Summarization for Investigative Data,ICE,1,0,general_llm,Aretec SEARCH,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,This use case intends to solve the problem of searching and extracting relevant information from large volumes of unstructured investigative data.,"The benefits of using this AI include increased efficiency, reduced risk of missing valuable information, and enhanced investigative capabilities.",The outputs of this AI technology are the extracted relevant information and summaries.
DHS,"Semantic Search, Summarization, and Data/Spatial Visualization for NCR Watch COP/Dashboard",FEMA,1,0,general_llm,Aretec SEARCH,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"The speed of information, particularly in a developing incident, challenges the capacity of Analysts to collect, sort, source, and validate in real time.  The volume of information required to confirm with confidence requires time to review.  The time focused on these tasks permit less time for moving from basic situational awareness to providing the contextual value to give national capital region (NCR) stakeholders situational understanding, which allows them to fully utilize the information for operational decision-making.  The AI would provide a tool for collection and synthesize of the available data, as well as geospatial context.","Expedited continuous scraping of data from identified official and unofficial open sources and comparison against pre-defined critical information requirements with summarization and sourcing of information for review and approval by the FEMA NCR Watch Analyst for publication improves the efficiency and effectiveness of the NCR Watch by allowing Analysts to focus on consuming and validating information and adding value with context.  The self-designated federal, state, local, and tribal (FSLT) partners in the NCR who receive NCR Watch products would benefit from greater fidelity in provided information and ability to use the information more easily for operational decision-making.  Anticipate the breadth of sources and speed of review through automation to be increased and allow for created contextualization and analysis products by Analysts based on the improved data production, as well as geospatial automation in combination with incident data. Faster Decision-Making: vast amounts of data instantly, enabling rapid identification of critical information for timely responses. Improved Accuracy: potential of reducing human error by filtering irrelevant data and prioritizing actionable insights. Enhanced Situational Awareness: improve the breadth of information analysis and overall awareness of activities in the NCR. Resource Optimization: helps allocate resources efficiently based on real-time needs. Predictive Insights: forecast potential developments, aiding proactive measures, and reduced Information Overload: streamline data, ensuring decision-makers focus on key priorities.","The anticipated output is a Common Operating Picture platform or Dashboard available to FSLT subscribers (free) in the NCR to display incident reporting and associated contextual information, such as the physical location on an ArcGIS map.  Simultaneously, a non-public COP will contain additional contextual information for providing internal FEMA reporting.  

AI will produce continuous data queries and create alerts for Analysts for items meeting configurable critical information requirements and essential elements of information.  AI will deliver configurable summary of sourced material on pre-defined CIRs to Analyst for review and publication to internal and/or external COP/Dashboard.  AI will have tools for additional contextual analysis and spatial and data visualization for use in the internal and/or external COP/Dashboard."
DOE,AI Chat Bot for IT User Services,PPPL - Princeton Plasma Physics Laboratory (SC43 OIM),1,0,general_llm,,Pilot – The use case has been deployed in a limited test or pilot capacity.,Generative AI,,,"Interactive RAG chat bot model trained on existing, updated and new IT resource documentation in the user space. Platform will be used as an informative method for users to handle tier 1 IT issues and help guide to the correct place.","Interactive RAG chat bot model trained on existing, updated and new IT resource documentation in the user space. Platform will be used as an informative method for users to handle tier 1 IT issues and help guide to the correct place.",AI output will be recommendations and instructions based on training data from IT administrators in more user friendly responses
DOE,AI Drafting of Operational Procedures and Training Materials,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),1,0,general_llm,,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,SRNS - OT In House Staff,"""To automate and enhance the drafting of operational  procedures and training materials, reducing time, effort, and errors.""","""Reduced development time, reduced errors, and rework, 
better context understanding, and improved standardization and formatting, cutting time spent on document creation by half.""","""The AI system outputs draft operational procedures and training 
materials which need to be reviewed and corrected by users."""
DOE,AI Enabled Code Review,ORNL - Oak Ridge National Laboratory (SC43 OIM),1,0,general_llm,unspecified,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Enhance application development lifecycle capabilities,Expidited code production,Code
DOE,AI Safety Tool,ORNL - Oak Ridge National Laboratory (SC43 OIM),1,0,general_llm,,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Mitigate workplace ncidents,To reduce workplace incidents and increase employee safety.,Text based warning message
DOE,AI for High Risk Property,ORNL - Oak Ridge National Laboratory (SC43 OIM),1,0,general_llm,,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,Cloud Enclave,,1) Regulatory compliance.  2) Improved identification of high-risk property items and increased productivity.,1) Regulatory compliance.  2) Improved identification of high-risk property items and increased productivity.,Decision for high-risk property categorization
DOE,AI for QA Audit,ORNL - Oak Ridge National Laboratory (SC43 OIM),1,0,general_llm,,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Improve quality assurance at different levels of the Lab.,Improved quality assurance,Reccomendation to existing QA audit submissions
DOE,AI-Enhanced Hub,PNNL - Pacific Northwest National Laboratory (SC43 OIM),1,0,general_llm,Aretec SEARCH,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,R&D User,,Enhance staff matching and profiles with AI-driven HUB search capabilities.,Enhances collaboration and expertise matching across the lab.,"Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,AI-Enhanced Lab Assist,PNNL - Pacific Northwest National Laboratory (SC43 OIM),1,0,general_llm,,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,R&D User,,Detect trends in lab planning/control data to improve efficiency and knowledge sharing.,"Integrating lessons learned into Lab Assist Activity Planning to enhance operational efficiency, improve information sharing leveraging best practices, and foster a culture of continuous improvement.",Leverage AI for trend detection in working planning and control data.
DOE,AI-Tailored Learning Management Solutions,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),1,0,general_llm,,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,SRNS - OT In House Staff,"To improve the quality, relevance, and delivery of training materials, ensuring they are tailored and effective for users.","Improved training materials, dynamic learning tailored to user needs, real-time feedback, comprehensive evaluation, and higher staff effectiveness and readiness.","The AI system outputs training materials with dynamic questions and feedback, detailed performance reports, and personalized learning paths."
DOE,Apple Intelligence,EMLA - EM Los Alamos Field Site (EM),1,0,general_llm,,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,"GSS, ICS",Apple,N/A,AI was automatically integrated into the product without an identified benefit to the organization.,N/A
DOE,Bernie-AI: Infrastructure Planning Support POC,LLNL - Lawrence Livermore National Laboratory (LFO),1,0,general_llm,,Pilot – The use case has been deployed in a limited test or pilot capacity.,Generative AI,Multiple,,"Quick access to specific building, and major asset information to be used for planning and predictive maintenance purposes",Ability to quickly find and access building and asset information to support planning activities,"Specific, data-driven answers to building and major asset use and impacts"
