kind,old_id,agency,name
uc,7402,CFTC,Anomaly Detection for Data Quality
uc,7403,CFTC,Stress Testing Scenarios with Deep Learning
uc,7404,CFTC,MPD Entity Risk Modeling
uc,7405,DHS,Smartphone Information Forensics Triage
uc,7406,DHS,Advanced Analytics for X-ray Images (AAXI)
uc,7407,DHS,Advance RPM Maintenance Operating Reporter (ARMOR)
uc,7408,DHS,AI Resume & ATS App
uc,7409,DHS,Real-Time Language Translation Services
uc,7410,DHS,Automated Target Recognition (ATR) Developments for Standard Screening
uc,7411,DHS,Accessible Property Screening (APS) Checkpoint CT Prohibited Items (PI) Detection
uc,7412,DHS,Walk-Through Metal Detector (WTMD) Alternative Automated Target Recognition (ATR) Developments
uc,7413,DHS,Synthetic data for improved Automated Threat Recognition (ATR) in checkpoint screening
uc,7414,DHS,Electronic Evidence/Video Recording Transcription and Summarization Tool
uc,7415,DHS,USCIS Document Translation Service
uc,7416,DHS,USCIS Speech Translation Service
uc,7417,DHS,AI Enabled Autonomous Underwater Vehicle
uc,7418,DHS,Relocatable Multi-Sensor System
uc,7419,DHS,Anomaly Detection COV Structure
uc,7420,DHS,Anomaly Detection POV Structure
uc,7421,DHS,CBP Common AI Service(CCAIS) Image Analysis and Data Correlation
uc,7422,DHS,Non-intrusive vessel and object detection tool (Tethered Aerostat Radar System (TARS))
uc,7423,DHS,RAPTOR (Rapid Tactical Operations Reconnaissance)
uc,7424,DHS,Semantic Search and Summarization for Investigative Data
uc,7425,DHS,Mobile Device Forensics for Investigations
uc,7426,DHS,Open-Source Intelligence for Lead Identification and Targeting
uc,7427,DHS,Global Maritime Intelligence
uc,7428,DHS,Email Analytics for Investigative Data
uc,7429,DHS,Machine Learning Analysis Applied to Cyber Threat Hunt Data
uc,7430,DHS,Extended Automated Name Harvesting (eANH)
uc,7431,DHS,AI to generate testable synthetic data
uc,7432,DHS,Thermal Power Generation with Geoseismic IoI Detection and Classification
uc,7433,DHS,API Security Vulnerability Technology
uc,7434,DHS,Cyber Threat Detection
uc,7435,DHS,Forced Labor Virtual Consultant
uc,7436,DHS,Multi-media Insight Tool
uc,7437,DHS,Source Code Development Tool
uc,7438,DHS,Open Metadata
uc,7439,DHS,Automated Incident Creation (IT)
uc,7440,DHS,TRM Classification Tool
uc,7441,DHS,FOIA processing automated redaction (RedactAI)
uc,7442,DHS,Speech Assist Virtual Interview Assistant
uc,7443,DHS,Business Automation and Improved Search Ability with AI
uc,7444,DHS,CodeGen
uc,7445,DHS,CounselAI
uc,7446,DHS,Border Infrastructure Center of Excellence AI (BICE AI)
uc,7447,DHS,Integrated Defense and Security Solutions (IDSS)
uc,7448,DHS,Malware Reverse Engineering
uc,7449,DHS,Draft Tailored Summaries of Media Materials for Different Publication Channels
uc,7450,DHS,Spend Plan Analysis GPT
uc,7451,DHS,Administrative & Productivity Support for IRC Resource Library
uc,7452,DHS,Individual Assistance Document Translation
uc,7453,DHS,Grants Manager Artificial Intelligence ChatBot
uc,7454,DHS,RTPD Division Services Desktop Automation
uc,7455,DHS,Program Integrity (RRAD-PI) AI Counter-Fraud Enhancement Measures
uc,7456,DHS,"Semantic Search, Summarization, and Data/Spatial Visualization for NCR Watch COP/Dashboard"
uc,7457,DHS,Title III Semantic Search and Summarization for Translated Content
uc,7458,DHS,Policy Analyst Assistant
uc,7459,DHS,SEVP Response Center Chatbot - SID (SEVIS Interactive Dialog)
uc,7460,DHS,Digital Records Manager (DRM) User Assistance Chatbot
uc,7461,DHS,Burlington Finance Center Voice Bot
uc,7462,DHS,Purchase Card Worksheet Analysis
uc,7463,DHS,Natural Language Search for Legal Case Management
uc,7464,DHS,Duplicate Contract Detection in Contract Tracking Application
uc,7465,DHS,Semantic Search for Digital Forensics Data
uc,7466,DHS,Draft Report Generation and Formatting for Investigations
uc,7467,DHS,Named Entity Resolution for Investigative Data
uc,7468,DHS,ICE Enterprise AI Assistant
uc,7469,DHS,ICE Terminology and Data Asset Discovery Chatbot
uc,7470,DHS,AI-Assisted eDiscovery Search
uc,7471,DHS,JES and Appropriations Insight
uc,7472,DHS,CFO Navigator
uc,7473,DHS,DHS Asset Assessment Tool
uc,7474,DHS,Spending Analysis and Budget Execution Risk (SABER) Model
uc,7475,DHS,MiX Phenotyping
uc,7476,DHS,MiX Indicators
uc,7477,DHS,One Health Threat Detection and Risk Assessment Platform (OH-TREADS) / Planner
uc,7478,DHS,OTA Automated Passenger Screening Gate System
uc,7479,DHS,Answer Engine
uc,7480,DHS,Contract Requirement Automation
uc,7481,DHS,TSA Case Handling Platform
uc,7482,DHS,Automated Field Data Collection
uc,7483,DHS,Plan of Day Staff Optimization
uc,7484,DHS,Document Translation Service (DTS)
uc,7485,DHS,Service Now Predictive Intelligence Tool
uc,7486,DHS,Text Extraction from Uploaded Images
uc,7487,DHS,TSA Contact Center Virtual Assistant
uc,7488,DHS,Risk Management Framework (RMF) Automation
uc,7489,DHS,Sentiment Analysis -FOD Field Offices Complaints and Reviews
uc,7490,DHS,Private Artificial Intelligence (AI) Tech Hub (PAiTH)
uc,7491,DHS,Enterprise WiFi
uc,7492,DHS,FLIR 280 HD
uc,7493,DHS,Acoustic Signature AI for Gunshot Detection
uc,7494,DHS,Facial Recognition for National Security and Transnational Criminal Organizations
uc,7495,DHS,Non-Intrusive Inspection (NII) 3D Imaging Tool
uc,7496,DHS,Hazard Mitigation Assistance Chatbot
uc,7497,DHS,Technical Resource for Mitigation Programs
uc,7498,DHS,Large Language Model (LLM) Guided Data Dictionary Generation
uc,7499,DHS,LIGER Generative AI Toolkit
uc,7500,DHS,Babel
uc,7501,DHS,Passive Body Scanner
uc,7502,DHS,CBP Translate
uc,7503,DHS,Passenger Security Assessment Model
uc,7504,DHS,Cargo Security Assessment Model
uc,7505,DHS,Illicit Trade
uc,7506,DHS,Supervised Traveler Identity Verification Services (Officer Initiated)
uc,7507,DHS,Semi-Supervised Traveler Identity Verification Services (Traveler Initiated)
uc,7508,DHS,3rd Party Traveler Identity Verification Services
uc,7509,DHS,Traveler Self-Service Mobile Identity Verification
uc,7510,DHS,Traveler Identity Verification Services (Vetting)
uc,7511,DHS,Open Source and Social Media Analysis
uc,7512,DHS,Cryptocurrency Analysis
uc,7513,DHS,Traffic Jam
uc,7514,DHS,CBP Link
uc,7515,DHS,Land Border Integration
uc,7516,DHS,Mobile Fortify
uc,7517,DHS,ERNIE
uc,7518,DHS,Unified Processing/Mobile Intake
uc,7519,DHS,Traveler Entity Resolution
uc,7520,DHS,Consular Consolidated Database (CCD) Facial Recognition (FR) On Demand Report (VISA Only)
uc,7521,DHS,Hurricane Score
uc,7522,DHS,Facial Recognition for Locating Vulnerable Populations
uc,7523,DHS,Facial Recognition for National Security Investigations
uc,7524,DHS,Facial Recognition for Investigations of Transnational Criminal Organizations
uc,7525,DHS,AI-Assisted Resume Screening Tool
uc,7526,DHS,Mobile Fortify
uc,7527,DHS,License Plate Capture and Analysis
uc,7528,DHS,Facial Recognition for Investigations of Child Sexual Exploitation and Abuse
uc,7529,DHS,Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening.
uc,7530,DHS,Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor)
uc,7531,DHS,PreCheck Touchless Identity Solution
uc,7532,DHS,Text Analytics Data Science Sentence Similarity Model
uc,7533,DHS,Automated Realtime Global Organization Specialist (ARGOS) for Company Registration Submissions to E-Verify
uc,7534,DHS,Verification Match Model
uc,7535,DHS,I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation)
uc,7536,DHS,Person-Centric Identity Services Deduplication Model
uc,7537,DHS,Criminal Investigations (OBIM)
uc,7538,DHS,The Advanced Trade Analytics Platform (ATAP)
uc,7539,DHS,Public Information Compilation for Travel Threat Analysis (Dataminr)
