id	use_case_name	bureau_component	vendor_name	system_name	ai_classification	development_type	entry_type	deployment_scope	scope_detail	architecture_type	ai_sophistication	product_id	is_general_llm_access	is_coding_tool	is_product_capability_entry	tool_product_name	tool_vendor	use_type	is_enterprise_wide	is_cots_commercial	problem
10148	Comment Letter Review and Analysis	Office of Information Technology (OIT)					custom_system	bureau	Office of Information Technology (OIT)	unknown	classical_ml		0	0	0			administrative	0	0	
10149	Forms Filed	Division of Investment Management (IM)					custom_system	office	Division of Investment Management (IM)	unknown	classical_ml		0	0	0			administrative	0	0	
10150	Tailored Shareholder Report (TSR)	Division of Investment Management (IM), Disclosure Review and Accounting Office (DRAO)					custom_system	bureau	Division of Investment Management (IM), Disclosure Review and Accounting Office (DRAO)	unknown	classical_ml		0	0	0			administrative	0	0	
10151	8-K Filing Solution	Division of Corporate Finance (CF)			Computer Vision	b) Developed in-house	custom_system	office	Division of Corporate Finance (CF)	unknown	computer_vision		0	0	0			administrative	0	0	Business users now can quickly go through the details to make a informed decisions using AWS image recognition AI service
10152	Training Conversation Tool	Office of Human Resources (OHR)	SkillSoft		Natural Language Processing (NLP)	a) Purchased from a vendor	custom_system	bureau	Office of Human Resources (OHR)	unknown	nlp_specific		0	0	0			administrative	0	1	Strictly a training tool for practicing conversations on a variety of topic areas.
10153	Mobile Phone Artificial Intelligence Features	Office of Information Technology (OIT)					custom_system	bureau	Office of Information Technology (OIT)	unknown	classical_ml		0	0	0			administrative	0	0	
10154	CF Staff Review Comments	Division of Corporate Finance (CF)			Classical/Predictive Machine Learning		custom_system	office	Division of Corporate Finance (CF)	unknown	classical_ml		0	0	0			administrative	0	0	The solution will help in classifying comments letters.
10155	EDGAR Filing Certification Review Solution	Office of Information Technology (OIT)					custom_system	bureau	Office of Information Technology (OIT)	unknown	classical_ml		0	0	0			administrative	0	0	
10156	Evaluating Cybersecurity Alerts	Office of Information Technology (OIT)			Agentic AI	b) Developed in-house	custom_system	bureau	Office of Information Technology (OIT)	unknown	agentic		1	0	0			cybersecurity	0	0	Explore different mechanisms leveraging AI to inform and expedite cybersecurity processes.
10157	EDGAR Filing Audit Report Solution	Office of Information Technology (OIT)					custom_system	bureau	Office of Information Technology (OIT)	unknown	classical_ml		0	0	0			administrative	0	0	
10158	EDGAR Technical Support Public Chatbot	EDGAR Business Office (EBO)					custom_system	bureau	EDGAR Business Office (EBO)	unknown	general_llm		1	0	0			mission_critical	0	0	
10159	EDGAR Filing Signature Review Solution	Office of Information Technology (OIT)					custom_system	bureau	Office of Information Technology (OIT)	unknown	classical_ml		0	0	0			administrative	0	0	
10160	EDGAR Filing Risk Disclosure Review Solution	Office of Information Technology (OIT)					custom_system	bureau	Office of Information Technology (OIT)	unknown	classical_ml		0	0	0			administrative	0	0	
10161	Testing Developer Workflows	Strategic Hub for Innocation and Financial Technology (FinHub)					custom_system	bureau	Strategic Hub for Innocation and Financial Technology (FinHub)	agentic_workflow	agentic		1	0	0			administrative	0	0	
10162	Name Matching	Division of Examinations (EXAMS)	Aretec Inc	NEAT	Classical/Predictive Machine Learning	c) Developed with both contracting and in-house resources	custom_system	office	Division of Examinations (EXAMS)	unknown	classical_ml		0	0	0			administrative	0	0	Name Matching - Identifies certain similarities in names across data sources. This allows staff to more easily compare information across data sources.
10163	Parsing of Plain Language Descriptions to Machine-Readable Notations	Division of Examinations (EXAMS)	Aretec Inc	NEAT	Classical/Predictive Machine Learning	c) Developed with both contracting and in-house resources	custom_system	office	Division of Examinations (EXAMS)	unknown	classical_ml		0	0	0			administrative	0	0	Automates conversion of plain-language text into machine-readable standardized notations. This permits ease of analysis
10164	Identification of Potentially Manipulative Trading Activity in Registrant Data	Division of Examinations (EXAMS)			Classical/Predictive Machine Learning		custom_system	office	Division of Examinations (EXAMS)	unknown	classical_ml		0	0	0			administrative	0	0	Identifies potentially manipulative trading activity for further review by an examination team.
10165	Testing of Various AI Algorithms and Models	Division of Examinations (EXAMS)					custom_system	office	Division of Examinations (EXAMS)	unknown	classical_ml		0	0	0			administrative	0	0	
10166	Using Natural Language Processing Techniques to Search and Analyze Certain Filings	Division of Examinations (EXAMS)	Aretec	EDP	Natural Language Processing (NLP)	c) Developed with both contracting and in-house resources	custom_system	office	Division of Examinations (EXAMS)	unknown	nlp_specific		0	0	0			administrative	0	0	Helps search and analyze a corpus of unstructured filings. Staff may consider the results of these efforts in their examination efforts.
10167	Using Machine Learning/Artificial Intelligence Techniques to Predict Entities With Certain Risk Characteristics	Division of Examinations (EXAMS)	IBM	EDP	Classical/Predictive Machine Learning	c) Developed with both contracting and in-house resources	custom_system	office	Division of Examinations (EXAMS)	unknown	classical_ml		0	0	0			administrative	0	0	Analyze data to predict entities with certain risk characteristics. Staff may consider the results of these efforts in their examination efforts.
10168	Developed Parsing Logic for Filings	Division of Examinations (EXAMS), Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)		AI Filing Parser	Reinforcement Learning	b) Developed in-house	custom_system	bureau	Division of Examinations (EXAMS), Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)	unknown	classical_ml		0	0	0			administrative	0	0	Help staff more efficiently search and analyze disclosure text contained in various filings.
10169	Identification of Potentially Manipulative Activity in Certain Accounts	Division of Examinations (EXAMS)	Aretec Inc	NEAT	Classical/Predictive Machine Learning	c) Developed with both contracting and in-house resources	custom_system	office	Division of Examinations (EXAMS)	unknown	classical_ml		0	0	0			administrative	0	0	Identifies accounts with certain activity of interest for further review by an examination team
10170	Using AI to Help with Coding-Related Tasks/Questions	Division of Enforcement (ENF); Division of Economic and Risk Analysis (DERA)					custom_system	office	Division of Enforcement (ENF); Division of Economic and Risk Analysis (DERA)	unknown	classical_ml		0	0	0			administrative	0	0	
