slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
treasury-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,Treasury,Department of the Treasury,,Creating visual representations of data sets for reports or presentations using AI.,N/A,,101-1000,1000,,,100000
treasury-curating-news-articles-and-updates-based-on-user-preferences-using-ai,Treasury,Department of the Treasury,,Curating news articles and updates based on user preferences using AI.,N/A,,1001-5000,5000,,,100000
treasury-editing-images-videos-or-other-public-affairs-materials-using-ai,Treasury,Department of the Treasury,,"Editing images, videos, or other public affairs materials using AI.",N/A,,1-100,100,,,100000
treasury-generating-code-using-ai,Treasury,Department of the Treasury,,Generating code using AI.,N/A,,1001-5000,5000,,,100000
treasury-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,Treasury,Department of the Treasury,,"Generating first drafts of documents, briefing, or communication materials using AI.",N/A,,"5001-10,000",10000,,,100000
treasury-improving-the-quality-of-written-communications-using-ai-tools,Treasury,Department of the Treasury,,Improving the quality of written communications using AI tools.,N/A,,"5001-10,000",10000,,,100000
treasury-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,Treasury,Department of the Treasury,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",N/A,,1-100,100,,,100000
treasury-planning-travel-routes-using-ai-driven-map-applications,Treasury,Department of the Treasury,,Planning travel routes using AI-driven map applications.,N/A,,"50,000+",100000,,,100000
treasury-prioritizing-and-categorizing-incoming-emails-using-ai,Treasury,Department of the Treasury,,Prioritizing and categorizing incoming emails using AI.,N/A,,101-1000,1000,,,100000
treasury-scheduling-and-managing-social-media-posts-using-ai,Treasury,Department of the Treasury,,Scheduling and managing social media posts using AI.,N/A,,1-100,100,,,100000
treasury-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,Treasury,Department of the Treasury,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,N/A,,101-1000,1000,,,100000
treasury-searching-for-agency-information-using-a-knowledge-retrieval-system,Treasury,Department of the Treasury,,Searching for agency information using a knowledge retrieval system.,N/A,,1001-5000,5000,,,100000
treasury-summarizing-the-key-points-of-a-lengthy-report-using-ai,Treasury,Department of the Treasury,,Summarizing the key points of a lengthy report using AI.,N/A,,"5001-10,000",10000,,,100000
treasury-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,Treasury,Department of the Treasury,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",N/A,,"10,000-50,000",50000,,,100000
treasury-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,Treasury,Department of the Treasury,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,N/A,,"10,000-50,000",50000,,,100000
treasury-using-ai-assisted-tools-in-word-processors,Treasury,Department of the Treasury,,Using AI-assisted tools in word processors.,N/A,,101-1000,1000,,,100000
sec-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,SEC,Securities and Exchange Commission,,Creating visual representations of data sets for reports or presentations using AI.,Alteryx,,1-100,100,Alteryx,ml_platform,4600
sec-curating-news-articles-and-updates-based-on-user-preferences-using-ai,SEC,Securities and Exchange Commission,,Curating news articles and updates based on user preferences using AI.,,,101-1000,1000,,,4600
sec-editing-images-videos-or-other-public-affairs-materials-using-ai,SEC,Securities and Exchange Commission,,"Editing images, videos, or other public affairs materials using AI.","Vyond for Government, Adobe 
Firefly, Audiate, Snagit, Davinci Resolve",,101-1000,1000,Adobe Firefly; Techsmith Audiate; Vyond,"computer_vision,media_analysis",4600
sec-generating-code-using-ai,SEC,Securities and Exchange Commission,,Generating code using AI.,"GitHub Copilot, TOAD AIExplain",,101-1000,1000,GitHub Copilot,coding_assistant,4600
sec-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,SEC,Securities and Exchange Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft Copilot 365, Vyond
for Government",,"5001-10,000",10000,Microsoft 365 Copilot; Vyond,"general_llm,media_analysis",4600
sec-improving-the-quality-of-written-communications-using-ai-tools,SEC,Securities and Exchange Commission,,Improving the quality of written communications using AI tools.,"Microsoft Copilot Studio,
Microsoft Copilot 365, Systran Translate Server, Bravozone",,"5001-10,000",10000,Microsoft 365 Copilot; Microsoft Copilot Studio; Systran Translate,"general_llm,agent_platform,translation",4600
sec-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,SEC,Securities and Exchange Commission,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","HackerOne in-platform AI,
NetApp ARP/AI",,1-100,100,NetApp ARP/AI,security_tool,4600
sec-planning-travel-routes-using-ai-driven-map-applications,SEC,Securities and Exchange Commission,,Planning travel routes using AI-driven map applications.,Apple Maps,,"5001-10,000",10000,Apple Maps,consumer_feature,4600
sec-searching-for-agency-information-using-a-knowledge-retrieval-system,SEC,Securities and Exchange Commission,,Searching for agency information using a knowledge retrieval system.,"ServiceNow HR Service Delivery,
Microsoft Copilot 365, Magnet Copilot",,"5001-10,000",10000,Microsoft 365 Copilot; ServiceNow Now Assist; Magnet Forensics,"general_llm,productivity,security_tool",4600
sec-summarizing-the-key-points-of-a-lengthy-report-using-ai,SEC,Securities and Exchange Commission,,Summarizing the key points of a lengthy report using AI.,"VAO Ally, Intelligize+ AI, 
Microsoft Copilot 365, Bloomberg Government, 
Bloomberg Law, Google AI
Mode, Flashpoint Ignite AI, Flashpoint Echosec AI, Magnet Copilot",,"5001-10,000",10000,Microsoft 365 Copilot; Magnet Forensics; Bloomberg Government; VAO Ally; Flashpoint; Google,"general_llm,security_tool,investigative_data,agent_platform,social_listening,productivity",4600
sec-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,SEC,Securities and Exchange Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","YouTube Live, Microsoft Teams
auto caption, WebEx auto caption",,1-100,100,Microsoft Teams,productivity,4600
sec-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,SEC,Securities and Exchange Commission,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,"5001-10,000",10000,Apple Face ID,consumer_feature,4600
sec-using-ai-assisted-tools-in-word-processors,SEC,Securities and Exchange Commission,,Using AI-assisted tools in word processors.,"Microsoft Copilot 365,
Microsoft Copilot Studio",,"5001-10,000",10000,Microsoft 365 Copilot; Microsoft Copilot Studio,"general_llm,agent_platform",4600
fca-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FCA,Farm Credit Administration,,Creating visual representations of data sets for reports or presentations using AI.,Various,,1-100,100,,,
fca-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FCA,Farm Credit Administration,,"Generating first drafts of documents, briefing, or communication materials using AI.",Various,,1-100,100,,,
fca-improving-the-quality-of-written-communications-using-ai-tools,FCA,Farm Credit Administration,,Improving the quality of written communications using AI tools.,Various,,1-100,100,,,
fca-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FCA,Farm Credit Administration,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Various,,101-1000,1000,,,
fca-planning-travel-routes-using-ai-driven-map-applications,FCA,Farm Credit Administration,,Planning travel routes using AI-driven map applications.,Various,,101-1000,1000,,,
fca-searching-for-agency-information-using-a-knowledge-retrieval-system,FCA,Farm Credit Administration,,Searching for agency information using a knowledge retrieval system.,Various,,1-100,100,,,
fca-summarizing-the-key-points-of-a-lengthy-report-using-ai,FCA,Farm Credit Administration,,Summarizing the key points of a lengthy report using AI.,Various,,1-100,100,,,
fca-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FCA,Farm Credit Administration,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Various,,1-100,100,,,
fca-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FCA,Farm Credit Administration,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Various,,101-1000,1000,,,
fca-using-ai-assisted-tools-in-word-processors,FCA,Farm Credit Administration,,Using AI-assisted tools in word processors.,Various,,1-100,100,,,
abilityone-editing-images-videos-or-other-public-affairs-materials-using-ai,AbilityOne,AbilityOne Commission,,"Editing images, videos, or other public affairs materials using AI.",Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,AbilityOne,AbilityOne Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-improving-the-quality-of-written-communications-using-ai-tools,AbilityOne,AbilityOne Commission,,Improving the quality of written communications using AI tools.,Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-prioritizing-and-categorizing-incoming-emails-using-ai,AbilityOne,AbilityOne Commission,,Prioritizing and categorizing incoming emails using AI.,Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-searching-for-agency-information-using-a-knowledge-retrieval-system,AbilityOne,AbilityOne Commission,,Searching for agency information using a knowledge retrieval system.,Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-summarizing-the-key-points-of-a-lengthy-report-using-ai,AbilityOne,AbilityOne Commission,,Summarizing the key points of a lengthy report using AI.,Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,AbilityOne,AbilityOne Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
abilityone-using-ai-assisted-tools-in-word-processors,AbilityOne,AbilityOne Commission,,Using AI-assisted tools in word processors.,Microsoft 365 Copilot GCC,,1-100,100,Microsoft 365 Copilot,general_llm,35
doi-editing-images-videos-or-other-public-affairs-materials-using-ai,DOI,Department of the Interior,,"Editing images, videos, or other public affairs materials using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,70000
doi-generating-code-using-ai,DOI,Department of the Interior,,Generating code using AI.,GitHub Copilot for Visual Studio; Schoology; Claude Code; Splunk AI Assistant for SPL (Splunk Search Processing Language),,101-1000,1000,GitHub Copilot; Claude Code; Splunk; Aretec SEARCH; Visual Studio,"coding_assistant,security_tool,search,developer_tool",70000
doi-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOI,Department of the Interior,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,70000
doi-improving-the-quality-of-written-communications-using-ai-tools,DOI,Department of the Interior,,Improving the quality of written communications using AI tools.,Synthesia; Microsoft Copilot & Copilot Chat,,"50,000+",100000,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; Synthesia,"general_llm,computer_vision",70000
doi-scheduling-and-managing-social-media-posts-using-ai,DOI,Department of the Interior,,Scheduling and managing social media posts using AI.,Hootsuite,,101-1000,1000,Hootsuite,social_listening,70000
doi-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOI,Department of the Interior,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,70000
doi-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOI,Department of the Interior,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Evidence.com,,1-100,100,Axon Evidence,forensics,70000
