canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets
Gemini,Google,general_llm,1,1,Google,Google's conversational AI,58,15,gemini 1.5 | gemini code assist | gemini
Google,Google,productivity,0,0,,,18,10,Google | google | Google
Google Agentspace,Google,general_llm,1,0,Google Vertex AI,,2,2,google agentspace | Google Agentspace / NotebookLM
Google Calendar,Google,productivity,0,0,Google Workspace,,1,1,Google Calendar
Google Chrome Generative AI,Google,consumer_feature,1,0,Google,,1,1,Google Chrome Generative AI
Google Cloud Platform,Google,general_llm,1,0,Google,,21,5,google | Google Cloud Platform | Google Cloud Platform
Google Cloud Vision,Google,computer_vision,0,0,Google Cloud Platform,,1,1,Google Cloud Vision
Google Colab,Google,developer_tool,0,0,Google,,1,1,google colab
Google Coral TPU,Google,developer_tool,0,0,Google,,1,1,google coral tpu
Google Distributed Cloud,Google,other,0,0,,,10,1,"product_queue_review_2026-06: Vendor ""OpenAI & Google Distributed Cloud"" — Google Distributed Cloud is a specific Google product missing from catalog; ""OpenAI"" is vendor-only with no product named (ge | product_queue_review_2026-06: Same vendor string ""OpenAI & Google Distributed Cloud"" — GDC is a real Google product absent from catalog; OpenAI vendor-only, not mapped. | product_queue_review_2026-06: Same vendor string ""OpenAI & Google Distributed Cloud"" — GDC is a real Google product absent from catalog; OpenAI vendor-only, not mapped."
Google Earth Engine,Google,data_analytics,0,0,Google,,4,2,Google | Google | Google Earth Engine
Google Lens,Google,computer_vision,1,0,Google,Google's image-recognition product,2,2,Google Lens | Google Lens
Google Maps,Google,consumer_feature,0,0,Google,Google Maps with AI-powered routing,15,15,Google Maps | Google Maps | Google Maps
Google News Brief,Google,consumer_feature,1,0,Google,,4,4,Google News Brief | Google News Brief | Google News Brief
Google Pixel,Google,consumer_feature,0,0,Google,"Google Pixel with on-device AI features (Face Unlock, Magic Eraser)",2,2,Google Pixel | Google Pixel
Google Translate,Google,translation,0,0,Google,,2,2,Google Translate | Google Translate
Google Vertex AI,Google,general_llm,1,0,Google Cloud Platform,,3,3,google | Google Vertex AI Document workbench | google
Google Workspace,Google,productivity,0,0,Google,Google's productivity suite,1,1,Google Workspace
NotebookLM,Google,general_llm,1,0,Google,Google's Gemini-powered research notebook for document Q&A and synthesis,7,4,Google NotebookLM | Google NotebookLM | product_queue_review_2026-06: 'Google Agentspace / NotebookLM ... enable large-scale agent deployment with Google Agentspace' - both catalog entries.
reCAPTCHA,Google,security_tool,0,0,Google,Google reCAPTCHA bot detection service that uses behavioral signals and risk scoring.,1,1,reCAPTCHA
Lexis+ AI,LexisNexis,legal_research,1,0,LexisNexis,Legal research AI,2,2,LexisNexis | LexisNexis
Lexis+ Protege,LexisNexis,legal_research,1,0,Lexis+ AI,LexisNexis Protege is a personalized generative AI legal assistant; distinct from the broader Lexis+ AI platform.,1,1,Lexis Protege
LexisNexis,LexisNexis,investigative_data,0,0,,,6,4,LexisNexis | LexisNexis | lexisnexis
LexisNexis Risk Solutions,LexisNexis,investigative_data,0,0,LexisNexis,,1,1,REX DBA Lexis Nexis
NexisXplore,LexisNexis,investigative_data,0,0,LexisNexis,,1,1,NexisXplore
CoCounsel,Thomson Reuters,legal_research,1,0,Thomson Reuters,"Thomson Reuters CoCounsel is a generative AI legal assistant for research, document review, and drafting.",3,3,Cocounsel AI | Thomson Reuters | CoCounsel
ProLaw,Thomson Reuters,legal_research,0,0,Thomson Reuters,Thomson Reuters ProLaw legal practice management with integrated search and AI features.,1,1,ProLaw
Thomson Reuters,Thomson Reuters,legal_research,0,0,,,3,1,Thomson Reuters | thomson reuters | Thomson Reuters
Thomson Reuters CLEAR,Thomson Reuters,data_analytics,0,0,Thomson Reuters,,5,2,Thomson Reuters CLEAR | Thomson Reuters CLEAR | product_queue_review_2026-06: 'CLEAR is used to assist with fraud investigations. It searches and retrieves publicly available data on individuals and businesses' — Thomson Reuters CLEAR public-record
Westlaw AI,Thomson Reuters,legal_research,1,0,Thomson Reuters,Legal research with AI,16,9,Westlaw | Westlaw | westlaw
Brainlab Cirq Alignment,Brainlab,clinical_decision_support,0,0,,,1,1,via add_product
Brainlab Cranial Navigation,Brainlab,clinical_decision_support,0,0,,,1,1,via add_product
