AI Use Case,Commercial Examples,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"Calendly, Reclaim.AI",N,,
Logging and analyzing time spent on tasks using AI-powered time management tools.,"Timely, Asana",N,,
"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Otter.ai, Evernote, Fireflies",Y,Microsoft teams (Recording),101-1000
Prioritizing and categorizing incoming emails using AI.,"SaneBox, OpenPaas",N,,
"Editing images, videos, or other public affairs materials using AI.","Adobe Firefly, Instagram Edits",Y,"Photoshop, Adobe Premier, Microsoft Paint Limited Copilot","5001-10,000"
Scheduling and managing social media posts using AI.,"ContentStudio, Sprout Social",Y,Sprout Social,1-100
"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT, Gemini",N,,
 Improving the quality of written communications using AI tools.,"Grammarly, ProWritingAid",Y,Thomas Reuters/Westlaw Drafting Assistant,101-1000
Summarizing the key points of a lengthy report using AI.,"ChatGPT, Perplexity",Y,Microsoft Power BI,"5001-10,000"
Creating visual representations of data sets for reports or presentations using AI.,"Tableau Agent, Julius AI",Y,"Microsoft Power BI, Tableau","5001-10,000"
Using AI-assisted tools in word processors.,"Grammarly, Microsoft Copilot",Y,,
Generating code using AI.,"Poolside, GitHub Copilot",Y,"GitHub Copilot, Appian",101-1000
Searching for agency information using a knowledge retrieval system.,"ChatGPT, Gemini",Y,"Relativity Server, Relativity One, Cloudlocker, Microsoft Purview, Rasa",1001-5000
Identifying and cataloging items in a storage room using AI-driven image recognition.,Google Lens,Y,,
"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon, Microsoft Defender",Y,"Falcon EDR, Splunk Clowd, Tenable, Opentext, ServiceNow","5001-10,000"
Managing and prioritizing internal service or help desk tickets using AI.,"Supportbench, ServiceDesk Plus",N,,
Curating news articles and updates based on user preferences using AI.,"MediaViz AI, Google News Brief",N,,
Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",Y,"Google Maps, Apple Maps","5001-10,000"
Finding and booking travel accommodations using AI-powered platforms.,"SAP Concur, Navan",Y,CWTSatoTravel,1001-5000
Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Google Pixel",Y,"Apple iPhone, Apple iPad","5001-10,000"
