use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34448,wave1-D,bespoke_application,1,general_llm,department,medium,"""Large Language Model"" indicates LLM/chatbot deployment.; department scope, in-house wrap on third-party model",1,,0,,,,,,,,,0,inference_only,0,mission_critical,0,OCIO
34449,wave1-D,bespoke_application,1,general_llm,department,high,"""Azure OpenAI"" indicates LLM/chatbot deployment.; department scope, in-house wrap on third-party model",1,,1,Azure OpenAI,OpenAI/Microsoft,,1,,,,,0,inference_only,0,mission_critical,0,OCIO
34450,wave1-D,bespoke_application,1,general_llm,pilot,high,"""Azure OpenAI"" indicates LLM/chatbot deployment.; pilot/prototype, in-house wrap on third-party model",1,,1,Azure OpenAI,OpenAI/Microsoft,,1,,,,,0,inference_only,0,mission_critical,1,OCIO
34451,wave1-D,custom_system,0,predictive_analytics,department,medium,"""estimating"" → predictive/forecasting model.; department scope",,,0,,,,,,,,,0,unknown,0,administrative,0,OS - Office of the Secretary of the Interior
34452,wave1-D,product_deployment,1,general_llm,bureau,high,"""Firefly"" indicates generative-AI use.; Adobe (Firefly/Acrobat AI) deployment",,,1,Adobe (Firefly/Acrobat AI),Adobe,,,,,,,0,inference_only,0,mission_critical,0,NPS
34453,wave1-D,generic_use_pattern,1,general_llm,bureau,medium,"""chatbot"" indicates LLM/chatbot deployment.",1,,0,,,,,,,,,0,rag_pipeline,0,mission_critical,0,OCIO
34454,wave1-D,custom_system,0,predictive_analytics,bureau,medium,"""forecasts"" → predictive/forecasting model.",,,0,,,,,,,,,0,unknown,0,mission_critical,0,NPS
34455,wave1-D,custom_system,0,nlp_specific,bureau,medium,"""machine learning"" → text/NLP processing.",,,0,,,,,,,,,0,unknown,0,mission_critical,0,ONRR
34456,wave1-D,product_deployment,0,nlp_specific,bureau,high,"""Machine Learning"" → text/NLP processing.; MS Power Platform deployment",,,1,MS Power Platform,Microsoft,,,,,,,0,custom_trained,1,mission_critical,0,ONRR
34457,wave1-D,custom_system,0,computer_vision,bureau,medium,"""object detection"" → imagery/CV model.",,,0,,,,,,,,,0,unknown,0,mission_critical,0,NPS
34458,wave1-D,custom_system,1,general_llm,bureau,medium,"""Image Generation and Audio Video"" indicates generative-AI use.",,,0,,,,,,,,,0,inference_only,0,mission_critical,0,ONRR
34459,wave1-D,custom_system,0,computer_vision,bureau,medium,"""Use of AI for developing"" → imagery/CV model.",,,0,,,,,,,,,0,unknown,0,mission_critical,0,NPS
34460,wave1-D,product_deployment,0,classical_ml,bureau,high,"""machine learning"" → classical ML model.; Alteryx deployment",,,1,Alteryx,Alteryx,,,,,,,0,custom_trained,1,mission_critical,0,ONRR
34461,wave1-D,custom_system,1,general_llm,bureau,medium,"""NPS Acquisition Management Workload Software"" indicates generative-AI use.",,,0,,,,,,,,,0,inference_only,0,mission_critical,0,NPS
34462,wave1-D,product_deployment,0,computer_vision,bureau,high,"""Caseguard Studio"" → imagery/CV model.; CaseGuard Studio deployment",,,1,CaseGuard Studio,CaseGuard,,,,,,,0,unknown,0,mission_critical,0,NPS
34463,wave1-D,custom_system,0,classical_ml,department,low,"""Azure based Internal Controls Testing"" → classical ML model.; department scope",,,0,,,,,,,,,0,unknown,0,administrative,0,OS - Office of the Secretary of the Interior
34464,wave1-D,custom_system,0,classical_ml,department,medium,"""AI model"" → classical ML model.; department scope, in-house build",,,0,,,,,,,,,0,custom_trained,1,administrative,1,OS - Office of the Secretary of the Interior
34465,wave1-D,custom_system,0,computer_vision,department,medium,"""Potential Applications of AI Models"" → imagery/CV model.; department scope",,,0,,,,,,,,,0,unknown,0,mission_critical,0,OS - Office of the Secretary of the Interior
34466,wave1-D,custom_system,1,general_llm,department,medium,"""Retrieval Augmented"" indicates generative-AI use.; department scope",,,0,,,,,,,,,0,rag_pipeline,0,mission_critical,0,OS - Office of the Secretary of the Interior
34467,wave1-D,custom_system,0,nlp_specific,department,medium,"""Public Comment Analysis Tool (PCAT):"" → text/NLP processing.; department scope",,,0,,,,,,,,,0,unknown,0,mission_critical,0,OS - Office of the Secretary of the Interior
34468,wave1-D,custom_system,1,general_llm,pilot,medium,"""machine learning"" indicates generative-AI use.; pilot/prototype, in-house build",,,0,,,,,,,,,0,inference_only,0,mission_critical,0,FWS
34469,wave1-D,custom_system,1,general_llm,bureau,medium,"""Summarization of documents and output"" indicates generative-AI use.",,,0,,,,,,,,,0,inference_only,0,mission_critical,0,FWS
34470,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""predictions"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,FWS
34471,wave1-D,custom_system,0,computer_vision,bureau,high,"""computer vision"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,FWS
34472,wave1-D,custom_system,0,nlp_specific,bureau,high,"""Deep learning"" → text/NLP processing.; in-house build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,FWS
34473,wave1-D,custom_system,0,computer_vision,bureau,high,"""remote sensing"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,FWS
34474,wave1-D,custom_system,1,general_llm,bureau,medium,"""LLM"" indicates generative-AI use.",,,0,,,,,,,,,0,inference_only,0,mission_critical,0,BOEM
34475,wave1-D,custom_system,1,general_llm,bureau,medium,"""ONRR Video Hosting Platform [OVHP]"" indicates generative-AI use.",,,0,,,,,,,,,0,inference_only,0,mission_critical,0,ONRR
34476,wave1-D,custom_system,1,general_llm,bureau,medium,"""Video Creation and Editing"" indicates generative-AI use.",,,0,,,,,,,,,0,inference_only,0,mission_critical,0,ONRR
34477,wave1-D,custom_system,0,computer_vision,bureau,high,"""imagery"" → imagery/CV model.; contracted build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,FWS
34478,wave1-D,custom_system,1,general_llm,bureau,medium,"""Generative AI"" indicates generative-AI use.",,,0,,,,,,,,,0,inference_only,0,mission_critical,0,BTFA
34479,wave1-D,custom_system,0,nlp_specific,bureau,medium,"""machine learning"" → text/NLP processing.",,,0,,,,,,,,,0,unknown,0,administrative,0,IBC
34480,wave1-D,custom_system,0,computer_vision,bureau,high,"""deep learning"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,BOR
34481,wave1-D,custom_system,0,predictive_analytics,pilot,high,"""prediction"" → predictive/forecasting model.; pilot/prototype, in-house build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,BOR
34482,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""forecasts"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,BOR
34483,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""estimate"" → predictive/forecasting model.; contracted build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,BOR
34484,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""forecasting"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,it_operations,0,BOR
34485,wave1-D,custom_system,0,classical_ml,bureau,medium,"""machine learning"" → classical ML model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,BOR
34486,wave1-D,custom_system,0,computer_vision,bureau,high,"""machine learning"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,BOR
34487,wave1-D,custom_system,0,computer_vision,bureau,high,"""machine learning"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,mission_critical,0,BOR
34488,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""Prediction"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34489,wave1-D,custom_system,0,computer_vision,bureau,high,"""image classification"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34490,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""time series"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34491,wave1-D,custom_system,0,predictive_analytics,pilot,high,"""estimate"" → predictive/forecasting model.; pilot/prototype, in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34492,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""prediction"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34493,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""estimates"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34494,wave1-D,custom_system,0,nlp_specific,bureau,high,"""FEMA mixed population flood-frequency analysis"" → text/NLP processing.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34495,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""simulate"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34496,wave1-D,custom_system,0,predictive_analytics,pilot,high,"""forecasts"" → predictive/forecasting model.; pilot/prototype, in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34497,wave1-D,custom_system,0,computer_vision,bureau,high,"""computer vision"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34498,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""predictions"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34499,wave1-D,generic_use_pattern,1,general_llm,bureau,high,"""ChatGPT"" indicates commercial LLM (OpenAI) wrap.; in-house build",,,1,ChatGPT/OpenAI,OpenAI,,1,,,,,0,inference_only,0,research,0,USGS
34500,wave1-D,custom_system,0,classical_ml,bureau,medium,"""Deep learning"" → classical ML model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34501,wave1-D,custom_system,0,computer_vision,bureau,high,"""AI/ML"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34502,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""estimate"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34503,wave1-D,custom_system,0,classical_ml,pilot,medium,"""National Temperature Observations"" → classical ML model.; pilot/prototype, in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34504,wave1-D,custom_system,0,computer_vision,bureau,high,"""remote sensing"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,administrative,0,USGS
34505,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""predictions"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34506,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""Model development"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34507,wave1-D,custom_system,0,computer_vision,bureau,high,"""imagery"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34508,wave1-D,custom_system,0,computer_vision,bureau,high,"""Delineating sub-surface drainage using satellite"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34509,wave1-D,custom_system,0,computer_vision,bureau,high,"""satellite imagery"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34510,wave1-D,custom_system,0,computer_vision,bureau,high,"""imagery"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34511,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""reinforcement learning"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34512,wave1-D,custom_system,0,classical_ml,bureau,medium,"""artificial intelligence"" → classical ML model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34513,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""predicts"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34514,wave1-D,custom_system,0,classical_ml,bureau,medium,"""artificial intelligence"" → classical ML model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34515,wave1-D,custom_system,0,computer_vision,bureau,high,"""Population and critical habitat modeling"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34516,wave1-D,custom_system,0,computer_vision,bureau,high,"""deep learning"" → imagery/CV model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34517,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""estimate"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,administrative,0,USGS
34518,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""predictions"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34519,wave1-D,custom_system,0,predictive_analytics,bureau,high,"""estimates"" → predictive/forecasting model.; in-house build",,,0,,,,,,,,,0,custom_trained,1,research,0,USGS
34520,wave1-D,custom_system,0,computer_vision,bureau,high,"""Automating blood smear cell counts"" → imagery/CV model.; in-house build",,,1,AWS AI,AWS,,,,,,1,0,custom_trained,1,research,0,USGS
