use_case_id_2024,tagged_by_agent,entry_type,is_generative_ai,ai_sophistication,deployment_scope,confidence,reasoning,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,is_enterprise_wide,architecture_type,has_model_training,use_type,is_public_facing,scope_detail
34225,agentE,bespoke_application,0,nlp_specific,bureau,medium,"Vendors vetted by USCG/DHS S&T for 'voice to voice translations'; speech/MT, not generative.",,,0,,,,,,,,,,unknown,0,mission_critical,0,ICE ERO
34253,agentE,custom_system,0,predictive_analytics,office,medium,'anomaly detection' and 'risk identification and disease prediction' on health data.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,OHS One Health
34257,agentE,custom_system,0,nlp_specific,department,high,"'topic modeling, sentiment analysis' on 'DHS Pulse Survey' responses, developed in-house.",,,0,,,,,,,,,,custom_trained,1,administrative,0,DHS-wide HR survey
34315,agentE,custom_system,0,classical_ml,bureau,high,Two ML models 'BEACON and SINCT' for 'real-time classification' of NAICS write-ins.,,,0,,,,,,,,,,custom_trained,1,mission_critical,1,Census Bureau
34353,agentE,generic_use_pattern,1,general_llm,office,low,"'documentation generation, responses to data calls' implies LLM-assisted cyber workflow.",,,0,,,,,,,,,,unknown,0,cybersecurity,0,NOAA cyber
34431,agentE,bespoke_application,1,general_llm,office,high,'leverages Retrieval-Augmented Generation' with 'AI (LLM) summarizes' for public data catalog.,,,0,,,,,,,,,,rag_pipeline,0,mission_critical,1,NREL
34432,agentE,custom_system,0,nlp_specific,office,high,"'reading and tagging 100,000 Energy.gov webpages' via topic modeling.",,,0,,,,,,,,,,custom_trained,1,administrative,0,DOE Public Affairs
34600,agentE,custom_system,0,computer_vision,bureau,high,'geospatial artificial intelligence' to 'map annual land cover'; in-house deep learning.,,,0,,,,,,,,,,custom_trained,1,mission_critical,1,USGS
34668,agentE,product_feature,1,general_llm,team,high,"'MetaAI offer search and chatbot' inside Facebook app, AI 'cannot be turned off'.",,,1,Meta AI,Meta,,,,,,,,inference_only,0,administrative,0,DOL PR team
34704,agentE,custom_system,0,classical_ml,department,high,"'machine learning model predicts records schedules' across EPA, developed in-house.",,,0,,,,,,,,,,custom_trained,1,administrative,0,EPA-wide records
34711,agentE,custom_system,0,predictive_analytics,office,high,'Risk scoring' for NPDES facilities that 'don't submit DMRs'.,,,0,,,,,,,,,,custom_trained,1,mission_critical,0,EPA Enforcement
34722,agentE,product_deployment,0,nlp_specific,department,high,'document repository by Tanjo (tanjo.ai)' — semantic discovery COTS.,,,1,Enterprise Brain,Tanjo,,,,,,,,inference_only,0,administrative,0,GSA IT
34840,agentE,product_feature,0,classical_ml,office,medium,"'native Salesforce AI capabilities' for Recommender and Sentiment Analysis, retired.",,,1,Salesforce Einstein,Salesforce,,,,,,,,inference_only,0,administrative,0,CMS RECON
34858,agentE,bespoke_application,0,nlp_specific,office,medium,'normalizing labor categories' across acquisition proposals via NLP.,,,0,,,,,,,,,,unknown,0,administrative,0,CMS OAGM
