queue_id,canonical_product_id,proposed_alias,source_vendor,source_label,llm_confidence,llm_reasoning,review_disposition
967,,Palantir,Palantir,Palantir Decision and Analytics Platform (DNA-P),high,"Reject applies to the BARE 'Palantir' alias only, to prevent collapsing distinct product lines (CMA, Federal Cloud Service, DNA-P, etc.). Specific Palantir sub-products (queue_ids 906, 925, 1046) remain in seed_now as their own canonical rows.",reject
995,,Elastic Stack (ELK),Elastic,Elastic Stack Technology (ELK),high,"Elastic Stack (ELK) search tool, not in canonical list. [moved to reject: Elastic Stack (ELK) is generic logging/search infrastructure, not an AI product]",reject
1017,,Tesseract OCR,Open Source,Tesseract,medium,"Tesseract OCR used for georeferencing; not in canonical list. [moved to reject: Tesseract OCR is open-source, not a commercial AI product]",reject
1021,,PEST,Open Source,PEST,high,"PEST is groundwater modeling software, generic capability. [moved to reject: PEST is groundwater modeling software, not an AI product]",reject
1067,,Ultralytics YOLO,Ultralytics,Ultralytics,high,"Ultralytics (YOLO) AI framework named; not in canonical list. [moved to reject: Ultralytics YOLO is an open-source computer vision library, not a commercial product alias]",reject
848,,Acoustic Signature AI for Gunshot Detection,Invariant Corporation,Invariant Corporation  Acoustic Signature AI for Gunshot Detection,high,"Invariant Corp custom gunshot detection for DHS; contractor-built one-off, not reusable commercial product.",reject
873,,AIS Resume Screening,AIS,AIS,high,"AIS is vague vendor label; resume screening appears agency-specific deployment, no distinct commercial product name.",reject
877,,Low-Pfa Screening Algorithm,Leidos / Rohde & Schwarz,"Leidos, Rohde & Schwarz  Low Probability of False Alarm (Low-Pfa) Algorithm",high,"Low-Pfa screening algorithm is custom Leidos/R&S build for DHS TSA, not reusable commercial product.",reject
879,,CBP Traveler Verification Service (TVS),NEC,"CBP TVS, NEC Algorithm CBP TVS PreCheck Touchless Identity Solution",high,CBP TVS is agency-specific system (CBP Traveler Verification Service) built on NEC algorithm; agency wrapper.,reject
880,,Text Analytics Sentence Similarity Model,Inadev,Inadev Text Analytics Text Analytics Data Science Sentence Similarity Model,high,"Inadev custom sentence similarity model; contractor-built for agency, not named commercial product.",reject
881,,ARGOS (Automated Real-Time Global Organization Specialist),IBM,IBM ARGOS (Automated Real-Time Global Organization Specialist),high,"ARGOS is DHS-specific IBM-built tool; acronym suggests custom agency implementation, not reusable product.",reject
882,,Verification Information System (VIS),IBM,IBM Verification Information System,high,"VIS is USCIS-specific verification system; agency system name, not commercial product.",reject
883,,Customer Profile Management System / IDENT Facial Recognition,Pluribus Digital,Pluribus Digital Customer Profile Management System I-765 - USCIS Facial Recognition through IDENT,high,"USCIS Customer Profile Management System is agency system; Pluribus is contractor integrator, not product vendor.",reject
884,,Person Centric Identity Services (PCIS),MetroIBR,MetroIBR Person Centric Identity Services,high,"PCIS is SSA/agency identity services system; custom agency build, not commercial product.",reject
885,,Automated Biometric Identification System (IDENT/OBIM),NEC,NEC Automated Biometric Identification System (IDENT),high,IDENT/OBIM is DHS agency system; NEC provided algorithm but system itself is agency-specific.,reject
886,,Advanced Trade Analytics Platform (ATAP),Elder Research / DevTech / Guidehouse,"Elder Research Inc, DevTech Systems Inc., Guidehouse ATAP The Advanced Trade Analytics Platform (ATAP)",high,ATAP is CBP-specific trade analytics platform built by contractors; agency wrapper system.,reject
891,,Traveler Verification Service (TVS),NEC,NEC Traveler Verification Service,high,TVS is CBP-specific Traveler Verification Service; agency system built on NEC tech.,reject
892,,PDRI Exam Proctor Support,PDRI,PDRI  Customs Broker License Exam - Proctor Support,high,PDRI custom exam proctor support for CBP broker exam; agency-specific contractor build.,reject
895,,JHU APL Vessel Detection System,Johns Hopkins APL,JHU APL  Vessel Detection,high,"JHU APL vessel detection is FFRDC custom research build, not commercial product.",reject
896,,Traveler Verification Service (TVS),NEC,NEC Traveler Verification Service,high,"Duplicate of 891; TVS is CBP agency system, not commercial product.",reject
898,,Automated Targeting System (ATS),ManTech,ManTech Automated Targeting System (ATS),high,"ATS is CBP's Automated Targeting System, flagship agency system; ManTech is integrator, not product vendor.",reject
899,,Automated Targeting System (ATS),ManTech,ManTech Automated Targeting System (ATS),high,"Duplicate ATS proposal; same CBP agency system, not commercial product.",reject
900,,Repository for Analytics in a Virtualized Environment (RAVEn),Sandia National Laboratories,Sandia National Laboratories Repository for Analytics in a Virtualized Environment,high,"RAVEn is Sandia/DHS-ICE analytics environment; FFRDC-built agency wrapper, not commercial product.",reject
901,,RAVEn Translation and Transcription,Booz Allen Hamilton,"Booz Allen Repository for Analytics in a Virtualized Environment, Translation and Transcription",high,RAVEn is DHS/HSI agency-specific analytics environment built by Booz Allen; not a commercial cross-agency product.,reject
908,,Vetting Identities for an Enterprise Workforce (VIEW/CVAS),CANDA Solutions,CANDA Solutions Vetting Identities for an Enterprise Workforce,high,CANDA VIEW/CVAS appears to be agency-specific contractor build for insider threat; limited commercial reuse evidence.,reject
909,,Biometrics Enrollment Tool (BET),Pluribus Digital,Pluribus Digital Biometrics Enrollment Tool,high,Biometrics Enrollment Tool (BET) is USCIS agency-specific custom build by Pluribus Digital; agency wrapper.,reject
910,,Electronic Immigration System (ELIS),SAIC / DV United,SAIC and DV United ELIS,high,"ELIS is USCIS Electronic Immigration System; agency-specific name and build, not commercial product.",reject
911,,Electronic Immigration System (ELIS),SAIC / DV United,SAIC and DV United ELIS,high,Same ELIS USCIS agency-specific system; duplicate of 910.,reject
914,,Person Centric Identity Services (PCIS),MetroIBR,MetroIBR Person Centric Identity Services,high,PCIS is USCIS agency-specific Person Centric Identity Services system; not commercial product.,reject
917,,Starlo Position Description Tool,Starlo / Deloitte,Starlo and Deloitte  Position Description Generation and Evaluation,high,Custom OPM position description tool by Deloitte/Starlo; agency-specific contractor build.,reject
929,,RAVEn (Repository for Analytics in a Virtualized Environment),Booz Allen,Booz Allen Repository for Analytics in a Virtualized Environment,medium,RAVEn is DHS/HSI agency-specific analytics environment; duplicate of 901.,reject
937,,ELIS Evidence Classifier Service,SAIC / DV United,SAIC and DV United ELIS,medium,ELIS Evidence Classifier is USCIS agency-specific service within ELIS; not commercial product.,reject
