uc_2024_id,uc_2025_id,lineage_status,agency_abbreviation,name_2024,name_2025,canonical_wave,category,diverged_fields,tag2024_is_generative_ai,tag2024_ai_sophistication,tag2024_deployment_scope,tag2024_entry_type,tag2025_is_generative_ai,tag2025_ai_sophistication,tag2025_deployment_scope,tag2025_entry_type
34129,132185,continued,DHS,Non-Intrusive Inspection (NII) 3D Imaging Tool,Non-Intrusive Inspection (NII) 3D Imaging Tool,1,persistent_disagreement,entry_type,0,computer_vision,bureau,custom_system,0,computer_vision,bureau,bespoke_application
34130,132190,continued,DHS,Babel,Babel,1,persistent_disagreement,entry_type,0,computer_vision,bureau,custom_system,0,computer_vision,bureau,bespoke_application
34132,132228,continued,DHS,Public Information Compilation for Travel  Threat Analysis (Dataminr),Public Information Compilation for Travel Threat Analysis (Dataminr),1,persistent_disagreement,ai_sophistication|entry_type,0,classical_ml,bureau,custom_system,0,nlp_specific,bureau,product_deployment
34134,132096,continued,DHS,Advanced Analytics for X-ray Images (AAXI),Advanced Analytics for X-ray Images (AAXI),1,aligned,,0,computer_vision,bureau,custom_system,0,computer_vision,bureau,custom_system
34135,132306,continued,DHS,Automated Data Annotation,Automated Data Annotation,1,aligned,,0,classical_ml,bureau,custom_system,0,classical_ml,bureau,custom_system
34136,132107,continued,DHS,AI Enabled Autonomous Underwater Vehicle,AI Enabled Autonomous Underwater Vehicle,3,expected_drift,is_generative_ai|ai_sophistication,0,classical_ml,bureau,custom_system,1,agentic,bureau,custom_system
34137,132108,continued,DHS,Relocatable Multi-Sensor System,Relocatable Multi-Sensor System,1,persistent_disagreement,ai_sophistication,0,computer_vision,bureau,custom_system,0,classical_ml,bureau,custom_system
34138,132121,renamed,DHS,AI/LLM to generate testable synthetic data,AI to generate testable synthetic data,3,expected_drift,is_generative_ai,1,general_llm,bureau,custom_system,0,general_llm,bureau,custom_system
34139,132109,continued,DHS,Anomaly Detection COV Structure,Anomaly Detection COV Structure,1,aligned,,0,computer_vision,bureau,custom_system,0,computer_vision,bureau,custom_system
34140,132307,continued,DHS,Anomaly Detection Homogenous Cargo,Anomaly Detection Homogenous Cargo,1,persistent_disagreement,ai_sophistication,0,computer_vision,bureau,custom_system,0,classical_ml,bureau,custom_system
34141,132110,continued,DHS,Anomaly Detection POV Structure,Anomaly Detection POV Structure,1,aligned,,0,computer_vision,bureau,custom_system,0,computer_vision,bureau,custom_system
34142,132257,continued,DHS,CBP Careers Bot - Leo,CBP Careers Bot - Leo,3,expected_drift,is_generative_ai|ai_sophistication|entry_type,0,nlp_specific,bureau,custom_system,1,general_llm,bureau,bespoke_application
34143,132308,continued,DHS,Computer Vision for Aerial Detection of Land and Open Water Items of Interest,Computer Vision for Aerial Detection of Land and Open Water Items of Interest,1,persistent_disagreement,ai_sophistication,0,computer_vision,bureau,custom_system,0,classical_ml,bureau,custom_system
34144,132309,continued,DHS,AI for Software Delivery,AI for Software Delivery,1,aligned,,0,classical_ml,bureau,custom_system,0,classical_ml,bureau,custom_system
34145,132310,continued,DHS,Optical Counter - UAS Detection,Optical Counter - UAS Detection,1,aligned,,0,classical_ml,bureau,custom_system,0,classical_ml,bureau,custom_system
34146,132122,continued,DHS,Thermal Power Generation with Geoseismic IoI Detection and Classification,Thermal Power Generation with Geoseismic IoI Detection and Classification,3,expected_drift,is_generative_ai|ai_sophistication,0,classical_ml,bureau,custom_system,1,agentic,bureau,custom_system
34147,132311,continued,DHS,Underwater ROV,Underwater ROV,1,aligned,,0,classical_ml,bureau,custom_system,0,classical_ml,bureau,custom_system
